Date,CPI,REAL GDP,IAK,Unemployed,Interest Rate (Fed Funds),SPY,CS
12/31/2014,0.008,17608.14,50.01,5.6,0.12,205.54,93.6
3/31/2015,-0.0001,17779.86,49.49,5.4,0.11,206.43,93
6/30/2015,0.0001,17951.58,50.532,5.3,0.13,205.89,96.1
9/30/2015,0,18123.3,48.604,5,0.14,191.59,87.2
12/31/2015,0.007,18295.02,51.15,5,0.24,203.87,92.6
3/31/2016,0.009,18422.4925,49.9,5,0.36,205.52,91
6/30/2016,0.01,18549.965,50.632,4.9,0.38,209.48,93.5
9/30/2016,0.015,18677.4375,52.88,5,0.4,216.3,91.2
12/31/2016,0.021,18804.91,59.33,4.7,0.54,223.53,98.2
3/31/2017,0.024,19006.7075,60.618,4.4,0.79,235.74,96.9
6/30/2017,0.016,19208.505,62.617,4.3,1.04,241.8,95
9/30/2017,0.022,19410.3025,63.72,4.3,1.15,251.23,95.1
12/31/2017,0.021,19612.1,66.6,4.1,1.3,266.86,95.9
3/31/2018,0.024,19873.205,64.54,4,1.51,263.15,101.4
6/30/2018,0.029,20134.31,61.49,4,1.82,271.28,98.2
9/30/2018,0.023,20395.415,66.33,3.7,1.95,290.72,100.1
12/31/2018,0.019,20656.52,57.72,3.9,2.27,249.92,98.3
3/31/2019,0.019,20872.74,63.62,3.8,2.41,282.48,98.4
6/30/2019,0.016,21088.96,70.71,3.6,2.38,293,98.2
9/30/2019,0.017,21305.18,72.04,3.5,2.04,296.77,93.2
12/31/2019,0.023,21521.4,71.33,3.6,1.55,321.86,99.3
3/31/2020,0.015,21471.7875,49.57,4.4,0.65,257.75,89.1
6/30/2020,0.006,21422.175,55.01,11,0.08,308.36,78.1
9/30/2020,0.014,21372.5625,55.74,7.8,0.09,334.89,80.4
12/31/2020,0.014,21322.95,67.5,6.7,0.09,373.88,80.7
3/31/2021,0.026,21890.72,74.26,6.1,0.07,396.33,84.9
6/30/2021,0.054,22458.49,77.405,5.9,0.08,428.06,85.5
9/30/2021,0.054,23026.26,78.2,4.7,0.08,429.14,72.8
12/31/2021,0.07,23594.03,83.572,3.9,0.08,474.96,70.6
3/31/2022,0.085,24131.55,91.22,3.6,0.2,451.64,59.4
6/30/2022,0.091,24669.07,82.97,3.6,1.21,377.25,50
9/30/2022,0.082,25206.59,79.09,3.5,2.56,357.18,58.6
12/31/2022,0.065,25744.11,91.4,3.5,4.1,382.43,59.8
3/31/2023,0.05,26148.3175,85.62,3.5,4.65,409.39,62
6/30/2023,0.03,26552.525,87.89,3.6,5.08,443.28,64.2
9/30/2023,0.037,26956.7325,91.65,3.8,5.33,427.48,67.8
12/31/2023,0.034,27360.94,100.125,3.7,5.33,475.31,69.7
3/31/2024,0.035,27890.6478,117.39,3.8,5.33,523.07,79.4
