Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,121401,22648,1149,18637,4363,428,8923,-1302,102764
3/31/2015,115581,23052,1144,17018,3103,422,6448,-236,98563
6/30/2015,117455,23451,933,17255,3520,430,5916,1061,100200
9/30/2015,118256,24007,1168,17708,4350,427,5912,2109,100548
12/31/2015,127766,24565,1225,20021,3449,443,5814,449,107745
3/31/2016,141287,24944,945,22550,3700,467,5835,48,118737
6/30/2016,144101,25404,1048,22785,5270,476,6818,2196,121316
9/30/2016,129819,25981,1188,20482,4859,433,5886,2185,109337
12/31/2016,133650,26400,960,20340,4205,444,6732,1688,113310
3/31/2017,135394,26942,1106,21503,4264,442,5915,2874,113891
6/30/2017,136083,27489,1134,21977,4927,439,5770,4237,114106
9/30/2017,137217,29895,1058,24598,3491,434,5895,4906,112619
12/31/2017,147356,30183,1038,24287,4080,448,10740,2175,123069
3/31/2018,141986,30809,1185,23800,3847,448,9027,3989,118186
6/30/2018,137941,31461,1199,23234,3429,435,7250,5702,114707
9/30/2018,140406,31788,780,23462,4337,443,6831,8120,116944
12/31/2018,145679,32513,1300,26049,3892,559,7870,6029,119630
3/31/2019,151400,33130,1166,28241,3019,562,7791,6269,123159
6/30/2019,154137,33710,1093,29438,4216,562,8422,6561,124699
9/30/2019,152768,34291,1114,28959,4896,581,8445,8062,123809
12/31/2019,151616,34599,775,26402,4148,586,9727,8307,125214
3/31/2020,157087,35204,1133,29420,5528,584,10046,10124,127667
6/30/2020,160955,37460,1216,32479,5563,584,9320,12276,128476
9/30/2020,165086,37984,1278,33559,5141,601,8863,12303,131527
12/31/2020,158157,39277,1665,32103,4990,578,9984,11687,126054
3/31/2021,161492,40162,1435,33735,5469,563,11255,11052,127757
6/30/2021,160597,40830,1170,33552,6208,542,10931,11923,127045
9/30/2021,157542,41381,1289,33253,5051,538,10172,11783,124289
12/31/2021,147046,42413,1350,29527,4275,538,10182,11715,117519
3/31/2022,135629,43547,1763,26387,5173,512,11019,12662,109242
6/30/2022,128100,44892,1388,24152,4710,488,10829,12581,103948
9/30/2022,131738,44367,593,20140,3943,530,9834,15332,111598
12/31/2022,134966,45555,1390,19784,3809,528,11363,14142,115182
3/31/2023,130626,46937,1876,20439,4720,500,12357,13479,110187
6/30/2023,125111,48257,1854,22669,5502,445,12204,13268,102442
9/30/2023,126724,47993,337,21985,4306,445,9286,15778,104739
12/31/2023,124742,49872,2217,23537,5098,418,11761,14285,101205
3/31/2024,120168,51345,2069,26047,6060,398,12374,9053,94121
