Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,515581,29775,1530,107272,1758,0,31217,28182,408309
3/31/2015,520701,32073,4169,108367,1823,0,31999,27118,412334
6/30/2015,509987,33707,3131,104642,1937,0,30360,32574,405345
9/30/2015,501985,33122,551,99619,1569,0,30719,28957,402366
12/31/2015,496842,30943,-2102,90210,1629,0,29249,28421,406632
3/31/2016,502777,30396,327,89081,1499,0,31952,27989,413696
6/30/2016,510349,31951,3038,90537,1784,0,33329,27544,419812
9/30/2016,514568,32077,1128,89165,2498,0,32277,29042,425403
12/31/2016,498264,28711,-4239,76858,1868,0,30912,28953,421406
3/31/2017,500162,29591,2294,74667,1918,0,30747,26819,425495
6/30/2017,499762,30420,2053,74324,2517,0,31812,26732,425438
9/30/2017,503073,28389,-2420,73012,2433,0,31039,27100,430061
12/31/2017,498301,21457,1076,65708,2362,0,31640,22716,432593
3/31/2018,499143,22671,1523,63357,2103,0,33619,26903,435786
6/30/2018,496829,23318,1757,61797,2135,0,33784,23734,435032
9/30/2018,504860,21749,-1162,59177,2741,0,34594,27523,445683
12/31/2018,491984,20884,-90,57309,2873,0,34540,26441,434675
3/31/2019,512922,21259,1543,62093,2565,0,35776,25253,450829
6/30/2019,522269,22077,844.0833333,66105,2935,0,36291,23793,456164
9/30/2019,525122,22439,1892,67445,3361,0,35262,23177,457677
12/31/2019,525064,23084,853,67427,2856,0,35350,21932,457637
3/31/2020,510477,24062,3484,61843,2738,0,36710,22011,448634
6/30/2020,569388,15847,-797,62818,3408,0,39280,-21356,506570
9/30/2020,577230,15838,613,64607,3191,0,38237,-22222,512623
12/31/2020,586481,15504,-563,67199,2827,906,38534,-23043,519282
3/31/2021,584390,19121,5184,63560,2796,0,35648,-14148,520830
6/30/2021,598250,18935,570,66908,2760,0,35727,-16464,531342
9/30/2021,594800,20320,2592,65659,2699,0,31550,-12599,529141
12/31/2021,596112,23785,3028,68912,2198,1000,31363,-19105,527200
3/31/2022,573513,27764,5925,58103,2537,0,29938,-7349,515410
6/30/2022,538938,30550,2836.9,46824,2378,0,28438,-326,492114
9/30/2022,522932,33009,4441,41001,2294,0,30432,1142,481931
12/31/2022,522228,34893,1266,43454,2043,880,28279,5506,478774
3/31/2023,536627,34690,487,46306,1923,0,26044,1747,490321
6/30/2023,537138,35916,905,46491,2283,0,24145,2856,490647
9/30/2023,521521,37689,3971,43213,1994,0,24055,3518,478308
12/31/2023,539306,37516,-1051,51301,2155,1100,23306,2610,488005
3/31/2024,544121,38466,780,49110,1816,0,21935,-3962,495011
