Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,31562,4809,104.12,5181,1319,277.65,1267,10127.94,26381
3/31/2015,30800,4840,96.97,5128,1065,286.19,1264,10258.86,25672
6/30/2015,30842,4852,53.8,4828,1297,289.42,1267,10793.9,26014
9/30/2015,30586,4824,-18.47,4684,1544,286.75,1222,10935.74,25902
12/31/2015,30036,4857,107.22,4524,1288,298.41,1165,11046.85,25512
3/31/2016,30287,5045,322.5,4565,2061,312.32,1415,12981.45,25723
6/30/2016,29804,5181,267.4,4608,1233,327.86,1165,12096.35,25196
9/30/2016,30284,5296,234.9,4505,1117,337.1,1166,12351.76,25779
12/31/2016,29709,5297,91.5,4098,1032,343.6,1067,12572,25611
3/31/2017,29568,5411,227.7,4159,874.5,348.8,1067,12235.3,25409
6/30/2017,30059,5501,191.1,4225,848.2,355.5,1137,12380.1,25834
9/30/2017,32405,5415,-95.4,4138,992.8,358.4,1226,14018.8,28267
12/31/2017,31843,5697,170.6,4282,1067,347.6,1519,13118.1,27562
3/31/2018,32428,5815,165.5,4501,2372,355.2,2004,14582,27927
6/30/2018,42361,5846,139.6,5333,1289,370.6,2005,14673.8,37028
9/30/2018,43443,5777,112.6,5240,1432,381.7,2005,16057.3,38203
12/31/2018,41089,5760,97.3,5134,1317,392.5,3323,14660.1,35955
3/31/2019,42237,5880,243.5,5472,1385,482.8,3692,14795.7,36765
6/30/2019,43140,5981,209.8,5760,1575,495.9,3709,15353.2,37379
9/30/2019,43752,5883,39,5690,1814,494.6,3700,16297.9,38061
12/31/2019,44291,5966,233.7,5682,1900,503.2,3686,16755.1,38609
3/31/2020,43423,6061,125.6,5386,2035,438.1,3821,17533.6,38037
6/30/2020,44233,6194,236,5985,2152,450.1,3713,17280.5,38249
9/30/2020,43583,6126,138,5940,2203,468.4,2009,17852.4,37643
12/31/2020,44650,3549,195.9,5955,2208,513.1,2331,15702.1,38695
3/31/2021,44411,3636,213.2,5826,1651,469.1,2204,15875,38585
6/30/2021,45995,3640,268.5,5908,2746,495.2,2551,17360.6,40086
9/30/2021,33625,4219,236.4,5744,2028,529,2202,16311.7,27880
12/31/2021,33921,4041,197.5,5464,2041,609.1,2263,15167.6,28457
3/31/2022,33023,3977,202.1,5021,1251,585.3,2203,15434.3,28002
6/30/2022,31729,3774,98.2,4460,1182,608.8,2129,15955.5,27269
9/30/2022,33246,3679,34.8,4099,1430,617.6,2129,17530.1,29147
12/31/2022,33117,3699,185.1,4229,1537,674.7,2170,17130.9,28889
3/31/2023,32915,3776,180.4,4396,1526,671.2,2129,16851.6,28519
6/30/2023,33105,3877,230.2,4486,1402,642.7,2129,17066.2,28619
9/30/2023,33209,3991,255.8,4491,1425,664.4,2080,17336,28718
12/31/2023,33635,4028,287.7,4810,1627,708.8,2116,17192.4,28826
3/31/2024,33225,4194,319.7,4920,1282,706.1,2081,16941.2,28305
