Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,9731,636,70,3220,276.8,190.6,2336,156.1,6511
3/31/2015,10716,710.8,85.1,3712,321.7,198.2,2372,356,7005
6/30/2015,10510,778.4,177.4,3708,369.7,200.7,2393,290.9,6803
9/30/2015,10911,774.5,123.4,3688,480.4,249,2454,26.6,7222
12/31/2015,10713,753.4,107.1,3652,425.4,218.2,2523,-82.9,7060
3/31/2016,11384,835.2,91.4,3656,411.1,213.9,2731,101.9,7729
6/30/2016,11200,889.8,183.8,3741,531.8,213.9,2786,-185.2,7459
9/30/2016,11490,916.4,132.8,3656,545.5,377.6,2848,-195.6,7834
12/31/2016,11781,901.8,110.7,3727,564,375.5,2944,-301.5,8053
3/31/2017,12570,1003,239.8,3910,587.8,387.6,3113,249.2,8660
6/30/2017,12810,1062,91.8,4172,564.9,413.4,3023,382.2,8638
9/30/2017,14910,1222,119.5,4300,681.2,412.2,3133,539.2,10610
12/31/2017,16128,1427,85.6,4585,697.9,424.2,3273,790.9,11543
3/31/2018,16231,1466,277.2,4513,652.2,427.6,3487,796.4,11717
6/30/2018,16115,1518,122.9,4613,605,429.3,3531,661.4,11502
9/30/2018,16334,1559,139.6,4570,607.2,436.9,3623,425.1,11764
12/31/2018,18631,1810,91.3,4958,871.5,819,4626,1032,13673
3/31/2019,19200,1839,302.8,4948,512.3,826.4,4830,614.9,14253
6/30/2019,19174,1884,158.6,4912,578.9,843.3,4971,417.7,14262
9/30/2019,19635,1901,169.2,5216,604.8,860.9,4996,196.5,14419
12/31/2019,20837,2161,138.7,5070,352.8,829.1,5354,689.4,15766
3/31/2020,21306,2228,319.4,5535,349.7,823.6,5033,896.4,15772
6/30/2020,21815,2317,252.5,5818,629.9,805.1,4954,1083,15997
9/30/2020,22331,2372,282.2,6233,664.6,824.6,4931,989.2,16099
12/31/2020,24415,2659,267.4,6780,526.3,819.4,4858,1152,17635
3/31/2021,27817,2749,469.4,8354,3204,813.2,6391,3918,19463
6/30/2021,26916,2874,292.4,8470,2735,784.8,5792,3479,18446
9/30/2021,33345,2882,345.4,8560,402.6,859.4,6606,935.4,24785
12/31/2021,43162,3213,248.6,9043,528.6,887.3,6518,1375,34118
3/31/2022,39990,3389,678.6,8862,523.6,932.8,6762,1240,31129
6/30/2022,38668,3536,410.7,8629,553.7,909.2,6550,1340,30039
9/30/2022,38358,3562,400.8,9190,738.4,922.9,6415,946.6,29168
12/31/2022,45094,3930,506.1,9858,1550,936.4,7168,1682,35236
3/31/2023,54365,4045,803.2,10440,952.3,1018,7466,1257,43925
6/30/2023,53204,4206,415.8,10510,1028,1016,7049,1464,42694
9/30/2023,51616,4053,411.8,10815,971.5,1127,8407,1051,40801
12/31/2023,60976,4529,717,11344,1763,1091,8620,1843,49632
3/31/2024,63008,4681,964.6,11599,1415,1038,8614,1704,51408
