Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,525867,163620,6562,243027,60975,129207,79890,72527,282840
3/31/2015,531076,168784,8423,244839,61720,130661,83795,5148,286237
6/30/2015,540774,172797,6716,249202,64254,132615,84578,5907,291572
9/30/2015,545468,182225,14832,251321,60857,134042,84911,5188,294147
12/31/2015,552257,187703,8210,258627,60049,135819,84289,82801,293630
3/31/2016,586315,193292,7288,261837,56279,140010,101539,3425,324478
6/30/2016,592816,198293,7790,266258,64824,141049,101413,16167,326558
9/30/2016,604038,205491,11240,272615,72162,142331,101798,26266,331423
12/31/2016,620854,210846,9513,285428,27520,143084,101644,99756,335426
3/31/2017,654451,215837,6370,296280,23946,143922,103956,35122,358171
6/30/2017,665590,220099,7180,304093,25104,145118,102270,37198,361497
9/30/2017,681554,224166,6460,311852,39695,146892,101490,43956,369702
12/31/2017,702095,255786,5200,351954,31583,158219,102587,122194,350141
3/31/2018,702651,315952,-949,351052,54109,152192,99085,69553,351599
6/30/2018,711932,327963,15728,361758,61281,153164,96773,70162,350174
9/30/2018,736459,346503,23781,379419,39803,154744,97640,62026,357040
12/31/2018,707794,321112,-28539,352500,30361,166706,97490,121905,355294
3/31/2019,738724,342773,28470,372591,26139,173624,103203,75107,366133
6/30/2019,760108,356846,18627,386391,44634,175560,105841,80406,373717
9/30/2019,788482,373334,20830,401558,74776,177486,108046,85570,386924
12/31/2019,817729,402493,37650,428563,64175,180282,109250,139845,389166
3/31/2020,760448,352359,-62325,375235,42640,173421,104233,97927,385213
6/30/2020,788133,378654,47302,397253,36074,174789,106689,96703,390880
9/30/2020,829946,408791,38665,419215,26817,176253,107691,80712,410731
12/31/2020,873729,444626,46079,451336,47990,192596,122364,148400,422393
3/31/2021,884393,456337,15327,456176,60054,187356,118615,75878,428217
6/30/2021,912493,484431,36650,478800,42298,188311,115223,74274,433693
9/30/2021,920758,494775,13163,481075,69989,188875,114965,80251,439683
12/31/2021,958784,534421,49832,514930,88184,196373,119253,162855,443854
3/31/2022,969506,539881,7652,516865,39113,191760,119661,33796,452641
6/30/2022,909860,496126,-54425,469653,30608,192413,119081,48660,440207
9/30/2022,902296,493438,-3581,463747,32626,192989,116496,56948,438549
12/31/2022,948465,511127,22343,481681,35811,201940,127683,153873,466784
3/31/2023,997072,546631,45282,516260,26747,205855,123624,67410,480812
6/30/2023,1041573,582543,46173,551761,50055,209188,125347,76972,489812
9/30/2023,1019933,569776,-15961,534727,30840,211498,124781,92562,485206
12/31/2023,1069978,607350,47702,570770,38022,221870,133570,173170,499208
3/31/2024,1070035,619925,16529,577785,35549,217500,122754,119906,492250
