Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,4839,1809,104.22,2061,340.73,83.22,1174,223.91,2777
3/31/2015,5021,1855,108.41,2113,412.61,82.81,1167,219.11,2908
6/30/2015,5002,1907,122.21,2186,448.82,81.34,1160,279.3,2816
9/30/2015,5004,1947,105.8,2150,443.42,81.75,1145,208.84,2855
12/31/2015,4993,1993,107.74,2199,401.85,80.9,1139,213.27,2794
3/31/2016,5207,2042,121.31,2252,453.94,80.49,1125,189.61,2955
6/30/2016,5522,2096,129.57,2325,488.68,77.77,1112,272.94,3197
9/30/2016,5263,2135,108.42,2360,515.65,75.81,1074,290.97,2903
12/31/2016,5197,2186,104.06,2416,546.72,72.61,1060,359.06,2782
3/31/2017,5279,2233,121.89,2458,600.3,72.75,985.39,359.4,2821
6/30/2017,7414,2290,129.57,2484,546.52,71.3,980.74,284.87,4931
9/30/2017,5748,2457,115.48,2583,573.38,77.09,976.14,254.68,3165
12/31/2017,5615,2644,127.04,2771,558.25,81.13,971.55,439.97,2844
3/31/2018,5702,2697,110.03,2831,477.93,85.21,866.96,384.5,2870
6/30/2018,5803,2783,151.18,2939,422.97,89.77,862.36,380.45,2863
9/30/2018,6689,2834,111.21,3001,438.96,100.4,1507,384.33,3688
12/31/2018,6806,2925,164.35,3098,322.48,291.94,1694,347.68,3708
3/31/2019,7165,2995,134.41,3181,432.55,306.54,1691,384.44,3984
6/30/2019,7681,3088,157.4,3315,497.51,322.31,1787,458.01,4366
9/30/2019,7623,3141,116.26,3350,542.17,332.92,1767,449.44,4273
12/31/2019,7582,3269,208.17,3480,385.79,352.95,1762,393.22,4103
3/31/2020,8201,3342,143.48,3584,623.24,364.7,1846,446.7,4618
6/30/2020,8795,3452,185.74,3702,1070,373.92,2324,923.3,5093
9/30/2020,8966,3521,136.03,3754,817.4,388.11,2312,603.9,5212
12/31/2020,8911,3694,254.1,3831,678.74,386.71,2290,552.05,5080
3/31/2021,9358,3808,196.9,3946,850.23,388.78,2270,390.92,5412
6/30/2021,9629,3928,235.1,4108,943.97,396.17,2260,509.14,5522
9/30/2021,9795,4001,171.3,4197,693.2,409,2246,662.9,5599
12/31/2021,11273,4192,283.9,4335,1695,418.7,3770,1870,6938
3/31/2022,12280,4308,231.8,4283,2384,417.9,4453,2431,7997
6/30/2022,13658,4440,233.8,4311,579.5,453.7,4346,612.2,9348
9/30/2022,13974,4553,229.2,4607,650,454.8,4183,399.4,9367
12/31/2022,13400,4756,329,4845,563.5,451.6,4164,543.2,8555
3/31/2023,14072,4914,297,5073,627.9,449.6,4048,737.3,8999
6/30/2023,13983,5057,302,5199,755.7,448.2,3931,254.7,8784
9/30/2023,14883,5289,247.3,5579,700.3,469.1,4020,173,9305
12/31/2023,14806,5544,394,5787,581,469,4107,125,9019
3/31/2024,15944,5764,343,6037,1107,482,4341,698,9907
