Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,7819,672.28,66.19,2607,878.4,396.35,585.55,-2259.16,5213
3/31/2015,8354,737.98,148.89,2659,1270,394.06,584.54,-2312.59,5694
6/30/2015,8121,785.86,122.68,2693,894.43,398.95,584.95,-2388.23,5428
9/30/2015,8237,838.15,129.71,2753,1027,409.97,581.05,-1657.58,5484
12/31/2015,8279,870.12,83.39,2846,975.88,410.35,580.47,-2284.34,5433
3/31/2016,8837,943.2,161.4,2944,1242,413.17,579.47,-2441.71,5893
6/30/2016,9246,1012,174.77,3029,1443,430.63,737.94,-2325.12,6218
9/30/2016,8832,1047,98.54,3014,1006,434.05,736.69,-1615.88,5817
12/31/2016,8874,1067,92.6,3078,1047,428.98,735.55,-2230.83,5797
3/31/2017,9314,1151,193.14,3198,1167,433.04,734.46,-2390.69,6116
6/30/2017,9347,1129,27.07,3298,1142,438.14,734.09,-2304.91,6049
9/30/2017,9573,1311,173.81,3483,1387,439.57,732.81,-1536.3,6090
12/31/2017,9547,1385,102.29,3472,1177,435.87,731.45,-2354.49,6074
3/31/2018,9959,1497,211.97,3571,1227,446.29,832.56,-2365.84,6388
6/30/2018,11380,1600,206.36,3676,2205,457.55,821.76,-2764,7704
9/30/2018,10631,1644,129.9,3745,1467,457.84,808.33,-2344.38,6885
12/31/2018,11160,1707,153.61,3881,1337,767.63,1193,-2951.43,7280
3/31/2019,11443,1846,241.41,4088,1412,756.4,1245,-2861.23,7355
6/30/2019,11804,1985,257.55,4246,1711,740.25,1281,-2563.85,7558
9/30/2019,11519,2161,300.26,4425,1486,737.96,1329,-1694.66,7094
12/31/2019,11675,2174,84.42,4369,1050,783.88,1614,-2626.54,7307
3/31/2020,12288,2295,238.74,4576,1523,741.01,1799,-2316.17,7712
6/30/2020,12639,2427,332.62,4735,1512,714.78,1840,-2218.13,7904
9/30/2020,12796,2655,379.23,4922,1275,715,1823,-1651,7874
12/31/2020,14432,2837,323,4966,2026,700.44,1938,-3248.64,9466
3/31/2021,15427,3089,415,5275,2223,705.25,1897,-3719.72,10152
6/30/2021,16686,3477,623,5613,1954,716.22,2509,-4312.13,11073
9/30/2021,16451,3680,353,5783,1228,757,2460,-3778,10668
12/31/2021,16527,3721,149.5,5379,1704,766,2471,-4522,11148
3/31/2022,16262,3775,161.1,4933,1745,824,2359,-4659,11329
6/30/2022,16486,3722,20.8,4531,2361,851,2266,-4571,11955
9/30/2022,14955,3714,87.3,4681,1224,888.3,2281,-4084.8,10274
12/31/2022,15384,3712,88.7,4779,1983,907,2162,-4464.9,10605
3/31/2023,15731,3796,212.4,4787,2246,943.6,2242,-4399.9,10944
6/30/2023,14678,3739,34.1,4542,1579,967.9,2177,-4305.5,10136
9/30/2023,16803,3711,71.7,4863,3605,982.1,2194,-3337,11940
12/31/2023,14698,3702,92.6,4806,1506,984,2320,-3978.1,9892
3/31/2024,15157,3762,187,4833,2049,996.9,2278,-3940.6,10325
