Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,13845,1150,284,6788,564,635,2803,3322,7057
3/31/2015,13721,1183,182,6631,445,568,2906,2031,7090
6/30/2015,14397,1300,295,7111,977,555,2829,2611,7286
9/30/2015,14036,1294,272,6949,770,487,2811,2308,7087
12/31/2015,13931,1374,257,6932,672,510,2793,3465,6999
3/31/2016,13943,1390,165,6919,728,541,2742,2520,7024
6/30/2016,14438,1530,253.5,7013,614,607,2785,2348,7425
9/30/2016,14386,1629,265,7108,649,610,2754,2221,7278
12/31/2016,14521,1784,338,7242,718,192,987,4898,7279
3/31/2017,14178,1788,146,7234,904,606,2722,2303,6944
6/30/2017,14202,2016,290,7263,904,594,2438,2475,6939
9/30/2017,10501,1289,253,5713,664,428,890,1611,4788
12/31/2017,9151,217,228,4811,635,193,759,2237,4340
3/31/2018,9018,360,133,4823,540,177,748,1359,4195
6/30/2018,9254,529,286,4973,827,177,734,1839,4281
9/30/2018,9371,681,286,5032,991,164,836,1926,4339
12/31/2018,9301,641,86,4972,845,164,836,2486,4329
3/31/2019,9647,762,276,5109,823,563,1256,1722,4538
6/30/2019,10189,942,365,5296,1102,570,1266,1968,4893
9/30/2019,10419,1107,325,5465,1048,567,1260,1897,4954
12/31/2019,10677,1356,508,5709,992,586,1280,2137,4968
3/31/2020,10204,1204,-74,5460,584,581,1278,1277,4744
6/30/2020,48001,1417,422,6693,2026,566,2860,-593,41308
9/30/2020,49885,1698,568,7182,2482,569,3094,-121,42703
12/31/2020,50455,2394,958,8392,2449,554,3076,730,42063
3/31/2021,51489,2893,785,8226,2743,537,3061,-182,43263
6/30/2021,54520,3343,741,8888,2986,542,3064,-34,45632
9/30/2021,58506,3961,953,9374,4454,559,3506,1843,49132
12/31/2021,60690,4369,718,9457,3880,561,3510,2809,51233
3/31/2022,60857,4642,656,8118,2272,560,3505,156,52739
6/30/2022,61230,4901,573,6746,1840,575,3523,1002,54484
9/30/2022,62164,5069,463,5799,2051,579,3128,1714,56365
12/31/2022,65143,5225,-29,6569,2044,555,3656,1921,58574
3/31/2023,69654,5044,27,6648,2478,544,4106,1658,63006
6/30/2023,73021,5140,345,6677,2708,537,4107,1975,66344
9/30/2023,74002,5444,598,6584,2813,521,4107,2401,67418
12/31/2023,80614,5244,-8,7460,2505,516,4281,1695,73154
3/31/2024,84496,5361,369,7837,3290,515,4293,1406,76659
