Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,246960,11583,703,19077,500,848,6209,18215,227883
3/31/2015,241020,11921,556,18227,493,874,5840,19500,222793
6/30/2015,231453,12215,432,18204,665,932,5841,20336,213249
9/30/2015,228348,12550,621,17642,448,974,5804,20963,210706
12/31/2015,227493,12789,452,18112,479,995,5775,18981,209381
3/31/2016,227616,12923,240,18559,461,1005,5814,18880,209057
6/30/2016,228430,13282,598,18658,810,1001,5705,18864,209772
9/30/2016,224576,13114,1,16903,328,991,5141,-168298,207673
12/31/2016,225388,13406,472,17009,337,984,5450,17223,208379
3/31/2017,225863,13282,-212,17288,362,974,5166,16308,208575
6/30/2017,224211,13434,252,17233,333,962,5667,17855,206978
9/30/2017,225260,9642,507,13494,180,1034,5256,-164615,211766
12/31/2017,216666,10156,591,13143,228,1018,5405,-157032,203523
3/31/2018,60775,10649,613,12546,147,1013,4899,-1049,48229
6/30/2018,61437,10973,592,12729,102,997,4894,-1411,48708
9/30/2018,62307,11055,278,13101,112,1006,4812,725,49206
12/31/2018,63324,11572,839,14340,104,1145,4789,-908,48984
3/31/2019,69472,11836,519,15292,226,1222,4993,40,54180
6/30/2019,70256,12251,838,16078,207,1194,5124,769,54178
9/30/2019,70817,12685,776,16270,185,1181,5109,1872,54547
12/31/2019,68724,12819,405,15266,211,1161,4437,2025,53458
3/31/2020,70990,13167,642,17072,291,1135,4436,2086,53918
6/30/2020,72319,13503,682,17802,173,1144,4430,2112,54517
9/30/2020,74111,13918,684,18556,151,1122,4643,2874,55555
12/31/2020,74201,14036,361,17702,176,1092,4398,2380,56499
3/31/2021,74732,14813,1147,18244,177,1067,4407,2968,56488
6/30/2021,76290,15169,614,17862,232,1047,4988,2351,58428
9/30/2021,76578,15764,954,17843,205,1027,5173,3417,58735
12/31/2021,75252,16077,590,15897,223,995,4975,2364,59355
3/31/2022,72402,16388,593,14226,258,970,4375,4223,58176
6/30/2022,71801,16598,480,12955,175,941,4365,4054,58846
9/30/2022,73008,17058,799,13676,229,927,4487,4965,59332
12/31/2022,74249,17454,709,14340,152,904,4358,3610,59909
3/31/2023,73895,17865,729,14152,150,884,4363,4463,59743
6/30/2023,74516,18382,867,13679,111,894,4361,3942,60837
9/30/2023,76780,19007,1011,15327,126,896,4500,4938,61453
12/31/2023,77710,19614,966,15468,274,879,4360,3729,62242
3/31/2024,79046,20209,967,15680,154,878,4363,3613,63366
