Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,902337,32020,2685,72659,10808,1000,113157,54821,829678
3/31/2015,919790,33754,2970,74409,8127,0,65208,59433,845381
6/30/2015,898409,34376,1630,69989,8074,0,77312,61611,828420
9/30/2015,882460,35153,2282,71067,10216,0,64853,64574,811393
12/31/2015,877933,35519,1762,68496,12752,900,114374,58047,809437
3/31/2016,917428,37301,3221,75965,13290,0,69772,67021,841463
6/30/2016,942567,36924,1,79373,17067,0,73316,71394,863194
9/30/2016,952904,37054,1459,78466,15883,0,71600,64789,874438
12/31/2016,898764,34683,-822,67702,12651,1300,97924,44111,831062
3/31/2017,914687,34863,1353,68108,17411,0,76662,68771,846579
6/30/2017,925199,35270,1304,69669,17319,0,61994,68800,855530
9/30/2017,720515,24410,758,56944,13023,0,51327,55166,663571
12/31/2017,719892,26527,1381,58870,12701,1400,99023,50215,661022
3/31/2018,712584,26453,1950,56508,13927,0,83431,58831,656076
6/30/2018,706333,26870,1419,53832,16312,0,97797,60980,652501
9/30/2018,698451,27331,1363,51809,12490,0,95639,57482,646642
12/31/2018,687538,28926,2758,52958,15821,1400,92513,57253,634580
3/31/2019,713188,29944,1985,58738,14506,1521,96277,53630,654450
6/30/2019,732167,31209,2584,64046,18435,1494,97694,59325,668121
9/30/2019,742812,32948,3054,68619,19452,1543,99257,64422,674193
12/31/2019,740463,33078,233,66382,16598,2788,99161,57360,674081
3/31/2020,737741,36919,5865,70463,24094,0,110625,63352,667278
6/30/2020,767583,36568,428,75940,24289,0,111070,61175,691643
9/30/2020,780492,36782,1151,73569,24405,0,112251,61047,706923
12/31/2020,795146,36491,394,74817,19795,2614,108777,58618,720329
3/31/2021,769814,36373,519,66137,19635,0,107848,58765,703677
6/30/2021,773253,39318,4714,69423,25037,0,109641,61136,703830
9/30/2021,761664,40426,2281,69333,18956,0,109487,54814,692331
12/31/2021,759708,41197,1529,67749,20047,2210,109092,57265,691959
3/31/2022,724284,41406,720,54237,23488,0,110151,61255,670047
6/30/2022,662893,41101,456,37367,20548,0,102809,60158,625526
9/30/2022,650104,41032,689,25330,22200,0,104196,64617,624774
12/31/2022,663072,40332,1756,30125,20195,3461,61338,57862,632947
3/31/2023,674266,39957,699,32423,18456,0,98483,60964,641843
6/30/2023,677279,39928,-131,30492,15417,0,106976,57527,646787
9/30/2023,652120,39958,2,25895,14912,0,107168,56424,626225
12/31/2023,687584,40146,1637,30253,20639,3561,66404,69977,657331
3/31/2024,677576,40350,615,28796,19840,0,40485,69794,648780
