Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,25200,2582,208.6,7663,1960,421.39,2254,4298.5,17537
3/31/2015,25253,2754,268.83,7933,1958,0,2250,4436.74,17321
6/30/2015,25366,2843,129.57,7802,1853,0,2247,4461.95,17564
9/30/2015,25182,2943,182.75,7754,2261,0,2241,4629.19,17427
12/31/2015,24939,3137,294.13,7904,2630,430.84,2239,4795.75,17036
3/31/2016,25685,3293,245.18,8314,2284,0,2300,4886.63,17371
6/30/2016,26336,3355,193.69,8512,2008,0,2602,4567.47,17824
9/30/2016,26404,3434,152.63,8605,2156,0,2589,4525.76,17799
12/31/2016,25875,3526,231.14,8541,1739,412.4,2575,3928.3,17334
3/31/2017,26401,3558,127.35,8739,1853,0,2582,4348.14,17661
6/30/2017,27203,3666,240.46,9039,2315,0,2486,5009.51,18164
9/30/2017,28519,3379,-329.91,9060,2076,0,2471,4803.37,19459
12/31/2017,32805,3777,178.7,9668,2198,501.62,3099,5646.66,23137
3/31/2018,32866,5928,105.01,9477,2049,0,3048,5871.49,23390
6/30/2018,33247,6184,326.19,9633,1945,0,3024,5964.24,23614
9/30/2018,33958,6577,555.61,9939,2347,0,2993,6324.75,24019
12/31/2018,33306,5782,-747.84,9274,2014,551.5,3010,5924.43,24032
3/31/2019,34737,6339,794.83,9966,2415,243.4,3331,6554.07,24770
6/30/2019,36422,6808,666.45,10564,2221,237.4,3887,6819.39,25857
9/30/2019,37036,6989,262.25,10800,2715,230.47,4151,7194.38,26236
12/31/2019,37474,7457,753.82,11256,3073,588.6,3534,7575.49,26218
3/31/2020,36049,6039,-1805,9888,3835,0,3594,8438.26,26161
6/30/2020,39068,6948,1242,11625,4834,0,3606,10007.44,27443
9/30/2020,40170,7377,692.39,12149,4593,0,3498,9362.66,28021
12/31/2020,41710,8195,1145,13060,4342,632,4049,9650.5,28650
3/31/2021,43043,8755,745.36,13420,3882,0,3565,8952.4,29623
6/30/2021,45642,9504,1079,14226,3679,0,4160,9453.13,31415
9/30/2021,46696,9650,241.69,14272,3939,0,4268,9520.52,32424
12/31/2021,48477,10447,1177,15202,3978,1100,4933,10404.31,33276
3/31/2022,48985,10278,-40.26,14587,3891,0,4429,10735.36,34398
6/30/2022,47947,9290,-1177,13263,3699,0,4502,11117.52,34684
9/30/2022,48421,9256,66.93,12872,3541,0,4131,10985.06,35550
12/31/2022,49791,9833,1137,13737,4137,1200,4658,11821.28,36054
3/31/2023,50942,10255,753.9,14281,4032,0,3897,11353.27,36661
6/30/2023,52184,10819,970.06,14704,4306,0,3814,12435.05,37481
9/30/2023,52749,10779,72.81,14523,4355,0,3769,12296.95,38226
12/31/2023,55046,11353,1132,15526,3747,1300,4437,11546.06,39520
3/31/2024,57286,12185,1336,16318,3627,0,3855,11631.42,40969
