Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,17793,10335,536,7133,1958,809,3379,1856,10660
3/31/2015,16834,10515,735,6863,1104,794,3889,2424,9971
6/30/2015,17413,10768,629,6872,930,807,3936,2091,10541
9/30/2015,17724,10928,461,6343,1330,786,4484,2122,11381
12/31/2015,18216,11302,594,6602,1374,773,4414,1336,11614
3/31/2016,18128,11460,733,6771,918,757,5013,1639,11357
6/30/2016,18076,11751,726,6705,974,736,4757,1426,11371
9/30/2016,18358,11953,572,6754,1388,717,4756,1384,11604
12/31/2016,18190,12388,633,6272,1026,725,4807,802,11918
3/31/2017,18969,12606,809,6619,930,722,5891,1393,12350
6/30/2017,19442,12915,764,7074,966,721,5641,1533,12368
9/30/2017,19690,13113,597,7131,1078,728,5488,1401,12559
12/31/2017,20429,13140,722.375,7442,1205,712,5487,1300,12987
3/31/2018,21379,13812,974,8021,1168,713,6327,2148,13358
6/30/2018,21159,14131,756,7797,1036,698,6252,1959,13362
9/30/2018,21129,14196,604,7538,951,707,6150,1239,13591
12/31/2018,21578,14347,642,7584,1066,701,5824,1010,13994
3/31/2019,30137,14642,1002,7986,1117,2341,14915,6936,22151
6/30/2019,32116,14741,750,8337,1294,2815,15450,1144,23779
9/30/2019,31097,14811,536,7797,1213,2773,14866,852,23300
12/31/2019,31357,15199,1226,7943,1155,2779,14224,389,23414
3/31/2020,31391,15490,1134,7451,1480,2735,15872,890,23940
6/30/2020,32169,16060,948,8392,1711,2748,15435,2169,23777
9/30/2020,32681,15902,600,8752,2388,2748,14985,1782,23929
12/31/2020,33049,16272,981,9260,2089,2750,13579,1599,23789
3/31/2021,32273,16780,1429,9596,1120,2654,13449,1426,22677
6/30/2021,32953,17597,1299,10264,888,2799,13107,1757,22689
9/30/2021,32982,17589,809,9888,1398,2723,12983,1218,23094
12/31/2021,34388,18389,1215,11222,1752,2715,13162,1610,23166
3/31/2022,33688,18916,1507,11156,772,2690,13905,1201,22532
6/30/2022,33440,19880,1423,10917,909,2607,13864,1153,22523
9/30/2022,32023,19837,848,9791,802,2480,13284,282,22232
12/31/2022,44114,20301,1193,10749,1442,2433,13472,1127,33365
3/31/2023,34358,20949,1750,11196,1006,2453,14981,1199,23162
6/30/2023,46566,21980,1527,12139,1171,2439,14630,989,34427
9/30/2023,48000,22007,1063,11586,2901,2378,15595,1674,36414
12/31/2023,48030,22759,1397,12370,3358,2423,15436,1953,35660
3/31/2024,47572,23456,2016,12622,1452,2371,15379,2639,34950
