Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,778612,16173,2725,45574,19119,0,44458,-8267,733038
3/31/2015,762731,17314,1998,42292,17038,0,45716,-1258,720439
6/30/2015,754527,18515,2176,42770,20207,0,45439,-1797,711757
9/30/2015,757255,18931,2150,41923,17612,0,40785,8692,715332
12/31/2015,772995,19843,1732,49265,22492,0,35932,-6099,723730
3/31/2016,796490,20451,1343,55178,24142,0,33734,-13063,741312
6/30/2016,819865,21969,2315,56974,24728,0,34254,-11187,762891
9/30/2016,783962,21946,1795,46088,14127,0,33263,1393,737874
12/31/2016,797365,22983,1745,46974,13308,0,34197,-9056,750391
3/31/2017,812590,23146,607,48640,16605,0,34434,-9965,763950
6/30/2017,821131,25060,3021,50565,14541,0,33870,-12221,770566
9/30/2017,832136,28671,2587,54511,14490,0,32824,4657,777625
12/31/2017,829677,28898,1693,52175,15676,0,33425,-660,777502
3/31/2018,819860,28713,251,48592,14918,0,33572,484,771268
6/30/2018,822748,30005,1838,47082,12466,0,34576,862,775666
9/30/2018,815078,30470,1342,49031,15353,0,34689,8369,766047
12/31/2018,849324,30966,1140,55450,14699,527,36600,-7405,793874
3/31/2019,873825,31263,877,62153,15421,561,36311,-12766,811672
6/30/2019,885626,32269,1727,66314,18289,524,36407,-14168,819312
9/30/2019,896552,32991,1368,63719,16327,554,36341,1896,832833
12/31/2019,873712,32176,-336,61072,31646,0,37892,-9573,812640
3/31/2020,915387,29326,-2332,66508,21149,0,36424,-22545,848879
6/30/2020,911589,30372,1491,66890,20658,0,36469,-20179,844699
9/30/2020,940722,30749,919,68210,13701,466,35852,-1397,872512
12/31/2020,907280,33110,3412,58776,16099,0,34939,-7609,848504
3/31/2021,926461,34808,2713,63684,15145,0,34851,-12359,862777
6/30/2021,932582,35887,1806,62559,15605,0,34159,-5447,870023
9/30/2021,937582,36652,2448,62608,12888,0,34486,3814,874974
12/31/2021,878066,36159,-657,44678,14086,0,34349,5400,833388
3/31/2022,695599,35137,-1061,28918,14359,0,34149,13775,666681
6/30/2022,677756,34399,-126,17180,20104,0,34971,21670,660576
9/30/2022,689029,31714,-1435,31919,17251,0,34116,16454,657110
12/31/2022,709269,32708,1847,32447,17425,0,34163,16369,676822
3/31/2023,697304,32756,621,29455,14652,0,31345,14508,667849
6/30/2023,681254,31493,-1058,26947,16892,0,31897,14710,654307
9/30/2023,721123,32352,4167,29787,19419,0,33718,15533,691336
12/31/2023,725823,33014,1390,29414,18735,0,37254,12411,696409
3/31/2024,715196,33737,1415,30105,17111,0,43158,8347,685091
