Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,103078,27251,1552,24836,374,0,6349,4189,78242
3/31/2015,102691,27906,1240,24847,308,0,6349,8459,77844
6/30/2015,101664,28524,1168,24121,317,0,6350,8978,77543
9/30/2015,102110,29263,1401,24033,344,0,6743,8365,78077
12/31/2015,100184,29945,1304,23598,380,0,6344,4479,76586
3/31/2016,101680,30454,1008,24166,361,0,6344,4719,77514
6/30/2016,102446,30921,980,24714,265,0,6436,4523,77732
9/30/2016,102787,31443,1036,24439,269,0,6436,3930,78348
12/31/2016,100245,32196,1266,23221,307,0,6437,4627,77024
3/31/2017,101246,32623,849,23612,249,0,6438,5024,77634
6/30/2017,102669,33016,882,23858,328,0,6920,5389,78811
9/30/2017,104311,33110,415,23738,379,0,6921,5161,80573
12/31/2017,103483,33462,953,23731,344,0,6571,5157,79752
3/31/2018,103676,33981,867,22979,397,0,6963,5760,80697
6/30/2018,103523,34296,721,22623,415,0,6464,5834,80900
9/30/2018,104390,34799,892,22460,359,0,6564,5366,81930
12/31/2018,104233,35204,833,22894,373,0,6564,5691,81339
3/31/2019,107246,35795,1055,24340,357,320,7441,6074,82906
6/30/2019,108572,36135,754,25321,416,0,6953,6560,83251
9/30/2019,110241,36317,516,25607,508,0,6949,6131,84634
12/31/2019,110122,36977,1157,25943,494,0,6558,5710,84179
3/31/2020,109436,37325,912,25204,544,0,6925,6611,84232
6/30/2020,113337,37069,1005.363636,26943,623,0,7395,6809,86394
9/30/2020,116384,37679,1073,27849,583,0,7387,6121,88535
12/31/2020,116764,38771,1699,29201,721,0,6550,5861,87563
3/31/2021,117032,39285,973,28269,663,0,6550,6163,88763
6/30/2021,119759,39998,1214,29156,689,0,7290,6439,90603
9/30/2021,120706,40438,873,28474,818,0,7290,5910,92232
12/31/2021,120466,41555,1738,28887,761,0,7290,6104,91579
3/31/2022,118592,42359,1269,25531,752,0,7291,6351,93061
6/30/2022,116587,42684,745,22874,710,0,7291,7151,93713
9/30/2022,114317,42917,616,19906,773,0,7291,7047,94411
12/31/2022,115717,43516,1075,21560,799,0,7292,7694,94157
3/31/2023,118352,44273,1016,23052,767,0,7292,8592,95300
6/30/2023,120573,44026,44,21855,605,0,8031,9249,98718
9/30/2023,121384,44198,570,19978,593,0,8031,8735,101406
12/31/2023,125978,45591,2117,24921,650,0,8274,8765,101057
3/31/2024,127410,46483,1468,25022,667,0,8032,9391,102388
