Date,Total Assets,Retained Earnings,EBIT,Shareholders' Equity,Cash & Equivalents,"Property, Plant & Equipment",Total Debt,Working Capital,Total Liabilities
12/31/2014,62450,7302,-416.1,8522,102.5,531.7,2801,8544.4,53928
3/31/2015,63015,7473,340.8,8688,84.1,537.5,2797,8499.6,54327
6/30/2015,61707,7656,357.8,8516,122.6,535.7,2785,8082.8,53191
9/30/2015,61504,7814,337,8581,109.3,529.6,2736,7646.7,52923
12/31/2015,60564,7995,355.5,8664,112.9,523.9,2814,7852.5,51900
3/31/2016,61968,8161,342.8,8920,120.7,515.2,2802,7934.3,53048
6/30/2016,63853,8353,382.6,9157,93.8,510.9,3400,7949.8,54696
9/30/2016,63905,8542,377.3,9361,87.9,509.7,3026,8305,54544
12/31/2016,61942,8744,411,8968,100.4,500.6,3007,8467.6,52974
3/31/2017,62525,8927,370.1,9107,107,501.2,2992,8537.5,53417
6/30/2017,63382,9127,401.5,9317,117,497.1,2973,8580.3,54065
9/30/2017,63806,9327,406.9,9449,70.1,489.9,2958,8362.7,54357
12/31/2017,64013,9542,385.4,9575,77.4,504.8,2943,8457.2,54438
3/31/2018,63012,9778,381.3,9500,308.9,508.4,2929,8675.6,53513
6/30/2018,62367,10012,397.2,9446,99.5,510.8,3205,8554.5,52920
9/30/2018,62250,9671,-335.1,8518,214.2,521,2991,8843.7,53732
12/31/2018,61876,9863,351.7,8622,94,546.9,2977,8914.6,53254
3/31/2019,63922,10083,395.4,9061,62.1,664.2,2963,8763.8,54861
6/30/2019,65844,10309,394.6,9453,60.8,667.6,3343,8860.8,56391
9/30/2019,66956,10492,370.7,9632,77,674.7,3551,8453.9,57324
12/31/2019,67013,10729,426.1,9965,84.1,642.7,3327,8407.4,57048
3/31/2020,65336,10812,247.8,9803,337.2,540.7,3314,8499.1,55533
6/30/2020,69305,11019,397.8,10561,165.6,518.1,3793,8392.3,58744
9/30/2020,69616,11192,349,10892,103.8,508.8,3379,8658.7,58724
12/31/2020,70626,11270,170.3,10871,197,580.9,3346,14890.2,59755
3/31/2021,69257,11363,243.2,10570,561.8,500.6,3347,16232,58687
6/30/2021,70808,11488,389.1,10948,123.1,499.8,3441,15416.4,59860
9/30/2021,70598,11755,466.7,11118,121.7,462.5,3441,15094.7,59480
12/31/2021,70116,11853,242.3,11416,75,511.8,3477,14753.3,58699
3/31/2022,66472,12044,342.6,10623,106.6,454.9,3478,14477.6,55849
6/30/2022,63121,12354,486.6,9705,151.4,447.5,3473,14314,53416
9/30/2022,60867,12698,692.8,8660,143.3,442.4,3486,14199.3,52207
12/31/2022,61149,13141,420.7,8735,119.2,489.4,3504,13737.9,52414
3/31/2023,62424,13430,499.4,9247,123.1,456.1,3480,13790,53176
6/30/2023,61904,13758,547.3,9246,108.3,460,3507,13698.7,52659
9/30/2023,59955,13889,310.3,9618,165.9,463.3,3645,12973.8,50336
12/31/2023,63255,11432,477.9,9651,146,521.1,3609,13439.9,53604
3/31/2024,62488,11754,545.2,10220,279.1,483.9,3578,13237.3,52268
