Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.320890311,0.15236677,0.003298904,0.196391342,7.56,0.008,50.01
3/31/2015,0.33307987,0.157142857,0.003148377,0.199750701,7.04,-0.0001,49.49
6/30/2015,0.349974061,0.157317943,0.001744375,0.185592373,3.9,0.0001,50.532
9/30/2015,0.357540705,0.157719218,-0.000603871,0.180835457,-1.34,0,48.604
12/31/2015,0.367786989,0.161705953,0.003569716,0.177328316,9.01,0.007,51.15
3/31/2016,0.428614587,0.166573117,0.010648133,0.177467636,24.28,0.009,49.9
6/30/2016,0.405863307,0.173835727,0.00897195,0.182886172,16.49,0.01,50.632
9/30/2016,0.407864219,0.174877823,0.007756571,0.174754645,16.78,0.015,52.88
12/31/2016,0.42317143,0.178296139,0.003079875,0.160009371,4.93,0.021,59.33
3/31/2017,0.413802083,0.183001894,0.007700893,0.16368216,18.07,0.024,60.618
6/30/2017,0.411860009,0.183006753,0.006357497,0.163544167,15.41,0.016,62.617
9/30/2017,0.432612251,0.167103842,-0.00294399,0.146389783,-7.82,0.022,63.72
12/31/2017,0.411961813,0.178909022,0.005357535,0.155358827,13.87,0.021,66.6
3/31/2018,0.449673122,0.17932034,0.005103614,0.161170194,7.35,0.024,64.54
6/30/2018,0.34639881,0.138004296,0.003295484,0.144026142,4.01,0.029,61.49
9/30/2018,0.36961766,0.132978846,0.002591902,0.137162003,3.86,0.023,66.33
12/31/2018,0.356788922,0.140183504,0.00236803,0.142789598,2.57,0.019,57.72
3/31/2019,0.350301868,0.139214433,0.005765087,0.148837209,9.08,0.019,63.62
6/30/2019,0.355892443,0.138641632,0.004863236,0.15409722,7.97,0.016,70.71
9/30/2019,0.3725064,0.134462425,0.000891388,0.14949686,0.19,0.017,72.04
12/31/2019,0.378295816,0.134700052,0.005276467,0.147167759,7.23,0.023,71.33
3/31/2020,0.403786012,0.139580407,0.002892476,0.141598969,5.16,0.015,49.57
6/30/2020,0.390669862,0.140031198,0.005335383,0.156474679,9.34,0.006,55.01
9/30/2020,0.409618429,0.140559392,0.003166372,0.157798263,0.78,0.014,55.74
12/31/2020,0.351670773,0.079484882,0.004387458,0.153895852,7.58,0.014,67.5
3/31/2021,0.357456486,0.081871608,0.004800612,0.150991318,8.31,0.026,74.26
6/30/2021,0.377445374,0.079139037,0.005837591,0.147383126,9.97,0.054,77.405
9/30/2021,0.48510632,0.125472119,0.007030483,0.206025825,34.35,0.054,78.2
12/31/2021,0.447144837,0.119129743,0.005822352,0.192008996,6.74,0.07,83.572
3/31/2022,0.467380311,0.120431215,0.006119977,0.179308621,7.51,0.085,91.22
6/30/2022,0.502868039,0.118944814,0.00309496,0.163555686,3.57,0.091,82.97
9/30/2022,0.527284485,0.110659929,0.001046742,0.140631969,1.32,0.082,79.09
12/31/2022,0.517284174,0.1116949,0.005589274,0.146387899,4.45,0.065,91.4
3/31/2023,0.511973264,0.114719733,0.005480784,0.154142852,6.45,0.05,85.62
6/30/2023,0.515517293,0.117112219,0.006953632,0.156749013,8.51,0.03,87.89
9/30/2023,0.522027161,0.120178265,0.007702731,0.156382756,9.47,0.037,91.65
12/31/2023,0.511146128,0.119756206,0.00855359,0.166863248,9.46,0.034,100.125
3/31/2024,0.509893153,0.126230248,0.009622272,0.17382088,11.93,0.035,117.39
6/30/2024,0.511355225,0.127616735,0.007722145,0.173937224,9.72,0.03,112.92
