Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.054660664,0.057750383,0.002967526,0.262722595,2.95,0.008,50.01
3/31/2015,0.052079792,0.06159581,0.008006514,0.262813641,12.08,-0.0001,49.49
6/30/2015,0.063872216,0.066093842,0.006139372,0.258155398,9.16,0.0001,50.532
9/30/2015,0.057684991,0.065982051,0.001097642,0.247583046,0.48,0,48.604
12/31/2015,0.057203296,0.062279356,-0.004230721,0.22184678,-8.62,0.007,51.15
3/31/2016,0.055668815,0.060456226,0.000650388,0.215329614,0.21,0.009,49.9
6/30/2016,0.05397091,0.062606177,0.005952789,0.21566082,9.87,0.01,50.632
9/30/2016,0.056439576,0.062337728,0.00219213,0.209601249,3.33,0.015,52.88
12/31/2016,0.05810775,0.057622064,-0.008507538,0.182384684,-12.2,0.021,59.33
3/31/2017,0.053620627,0.059162831,0.004586514,0.175482673,6.71,0.024,60.618
6/30/2017,0.053489461,0.060868974,0.004107955,0.174699956,6.78,0.016,62.617
9/30/2017,0.053868922,0.056431174,-0.004810435,0.169771265,-8.76,0.022,63.72
12/31/2017,0.045586904,0.043060319,0.002159337,0.15189335,4.07,0.021,66.6
3/31/2018,0.053898382,0.04541985,0.00305123,0.145385579,5.39,0.024,64.54
6/30/2018,0.047770963,0.046933653,0.003536428,0.142051619,5.21,0.029,61.49
9/30/2018,0.054516103,0.04307927,-0.002301628,0.13277823,-3.8,0.023,66.33
12/31/2018,0.053743618,0.042448535,-0.000182933,0.131843331,-0.86,0.019,57.72
3/31/2019,0.049233607,0.041446848,0.003008255,0.137730714,3.5,0.019,63.62
6/30/2019,0.045556983,0.04227132,0.001616185,0.144914987,5.32,0.016,70.71
9/30/2019,0.04413641,0.042731023,0.003602972,0.147363752,3.71,0.017,72.04
12/31/2019,0.041770146,0.043964164,0.001624564,0.1473373,4.18,0.023,71.33
3/31/2020,0.043118495,0.047136306,0.006824989,0.137847332,8.47,0.015,49.57
6/30/2020,-0.037506937,0.027831637,-0.001399749,0.124006554,-25.92,0.006,55.01
9/30/2020,-0.038497653,0.027437936,0.001061968,0.126032191,1.96,0.014,55.74
12/31/2020,-0.039290275,0.026435639,-0.000959963,0.129407528,-0.66,0.014,67.5
3/31/2021,-0.02420986,0.032719588,0.008870788,0.122035981,14.67,0.026,74.26
6/30/2021,-0.027520267,0.031650648,0.000952779,0.125922664,1.28,0.054,77.405
9/30/2021,-0.02118191,0.034162744,0.004357767,0.124086019,7.42,0.054,78.2
12/31/2021,-0.032049346,0.03990022,0.005079582,0.130713202,20.97,0.07,83.572
3/31/2022,-0.012814008,0.048410411,0.010331065,0.112731612,21.25,0.085,91.22
6/30/2022,-0.000604893,0.056685556,0.005263871,0.095148685,14.53,0.091,82.97
9/30/2022,0.00218384,0.06312293,0.0084925,0.085076494,13.64,0.082,79.09
12/31/2022,0.010543288,0.066815644,0.002424228,0.090760985,3.42,0.065,91.4
3/31/2023,0.00325552,0.06464453,0.00090752,0.094440173,0.63,0.05,85.62
6/30/2023,0.005317069,0.066865498,0.001684856,0.094754477,12.92,0.03,87.89
9/30/2023,0.006745654,0.072267464,0.007614267,0.090345551,11.17,0.037,91.65
12/31/2023,0.004839553,0.069563476,-0.001948801,0.105123923,-1.88,0.034,100.125
3/31/2024,-0.007281469,0.070693835,0.001433505,0.099209917,7.41,0.035,117.39
6/30/2024,0.09021383,0.203853714,0.005521472,0.360369485,-29.68,0.03,112.92
