Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.046271957,0.37383757,0.021537508,0.742167807,16.44,0.008,50.01
3/31/2015,0.043638717,0.369448317,0.021591316,0.726616231,4.83,-0.0001,49.49
6/30/2015,0.055837665,0.381247501,0.024432227,0.776278409,10.52,0.0001,50.532
9/30/2015,0.041734612,0.389088729,0.021143086,0.753064799,11.43,0,48.604
12/31/2015,0.042713799,0.399158822,0.021578209,0.787043665,12.42,0.007,51.15
3/31/2016,0.036414442,0.392164394,0.023297484,0.762098139,10.65,0.009,49.9
6/30/2016,0.049427744,0.379572619,0.023464325,0.727244292,11.36,0.01,50.632
9/30/2016,0.055285959,0.40566217,0.020600418,0.812952118,12.09,0.015,52.88
12/31/2016,0.06908986,0.420627285,0.02002309,0.868439971,12.84,0.021,59.33
3/31/2017,0.068081076,0.42299678,0.0230896,0.871322226,10.62,0.024,60.618
6/30/2017,0.038423253,0.308875101,0.017476396,0.503751774,12.46,0.016,62.617
9/30/2017,0.044307585,0.427453027,0.020090466,0.816113744,11.94,0.022,63.72
12/31/2017,0.078356189,0.470881567,0.022625111,0.974331927,14.25,0.021,66.6
3/31/2018,0.06743248,0.472991933,0.019296738,0.98641115,12.35,0.024,64.54
6/30/2018,0.065560917,0.479579528,0.026052042,1.026545582,13.25,0.029,61.49
9/30/2018,0.057457019,0.42368067,0.016625804,0.813720174,11.04,0.023,66.33
12/31/2018,0.051084337,0.429767852,0.024147811,0.835490831,16.9,0.019,57.72
3/31/2019,0.053655269,0.418004187,0.018759246,0.798443775,9.46,0.019,63.62
6/30/2019,0.059628955,0.402030986,0.020492123,0.759276225,10.77,0.016,70.71
9/30/2019,0.058958415,0.412042503,0.015251213,0.783992511,8.58,0.017,72.04
12/31/2019,0.051862305,0.43115273,0.027455816,0.848159883,10.31,0.023,71.33
3/31/2020,0.054468967,0.407511279,0.017495427,0.776093547,7.44,0.015,49.57
6/30/2020,0.104980102,0.392495736,0.021118818,0.726880031,14.42,0.006,55.01
9/30/2020,0.06735445,0.392705777,0.01517176,0.720260936,10.37,0.014,55.74
12/31/2020,0.061951521,0.414543822,0.028515318,0.754133858,12.98,0.014,67.5
3/31/2021,0.041773883,0.406924557,0.021040821,0.729120473,8.86,0.026,74.26
6/30/2021,0.052875688,0.407934365,0.024415827,0.743933357,15.67,0.054,77.405
9/30/2021,0.067677386,0.408473711,0.017488515,0.749598143,12.43,0.054,78.2
12/31/2021,0.165883083,0.371861971,0.025184068,0.624819833,13.13,0.07,83.572
3/31/2022,0.197964169,0.350814332,0.018876221,0.535575841,9.69,0.085,91.22
6/30/2022,0.044823547,0.3250842,0.017118172,0.461168164,15.48,0.091,82.97
9/30/2022,0.028581652,0.325819379,0.016401889,0.491833031,6.52,0.082,79.09
12/31/2022,0.040537313,0.354925373,0.024552239,0.566335476,6.25,0.065,91.4
3/31/2023,0.052394827,0.349204093,0.021105742,0.563729303,5.28,0.05,85.62
6/30/2023,0.018214975,0.361653436,0.021597654,0.591871585,7.26,0.03,87.89
9/30/2023,0.011624001,0.355371901,0.016616274,0.599570124,6.29,0.037,91.65
12/31/2023,0.008442523,0.374442793,0.026610833,0.641645415,6.1,0.034,100.125
3/31/2024,0.043778224,0.361515304,0.021512795,0.609367114,8.41,0.035,117.39
6/30/2024,0.054436519,0.340142653,0.018659058,0.58669081,8.58,0.03,112.92
