Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.016041517,0.065358134,0.007193505,0.494547689,2.02,0.008,50.01
3/31/2015,0.033221351,0.06633072,0.007941396,0.529907209,1.8,-0.0001,49.49
6/30/2015,0.027678402,0.074062797,0.016879163,0.545053653,5.62,0.0001,50.532
9/30/2015,0.002437907,0.070983411,0.011309687,0.510661867,4.83,0,48.604
12/31/2015,-0.007738262,0.070325772,0.0099972,0.517280453,1.87,0.007,51.15
3/31/2016,0.00895116,0.073366128,0.008028812,0.473023677,2.72,0.009,49.9
6/30/2016,-0.016535714,0.079446429,0.016410714,0.501541762,5.85,0.01,50.632
9/30/2016,-0.017023499,0.07975631,0.011557876,0.466683686,4.06,0.015,52.88
12/31/2016,-0.025592055,0.076546982,0.009396486,0.462808891,2.3,0.021,59.33
3/31/2017,0.01982498,0.079793158,0.019077168,0.451501155,7.23,0.024,60.618
6/30/2017,0.029836066,0.082903981,0.007166276,0.482982172,2.45,0.016,62.617
9/30/2017,0.036163649,0.081958417,0.008014755,0.40527804,3.22,0.022,63.72
12/31/2017,0.049038938,0.088479663,0.00530754,0.397210431,1.71,0.021,66.6
3/31/2018,0.049066601,0.090320991,0.01707843,0.385166852,8.35,0.024,64.54
6/30/2018,0.041042507,0.094197952,0.007626435,0.401060685,3.8,0.029,61.49
9/30/2018,0.026025468,0.095445084,0.00854659,0.388473308,3.17,0.023,66.33
12/31/2018,0.055391552,0.097149911,0.004900435,0.362612448,1.9,0.019,57.72
3/31/2019,0.032026042,0.09578125,0.015770833,0.347154985,8.57,0.019,63.62
6/30/2019,0.021784708,0.098258058,0.008271618,0.344411723,3.1,0.016,70.71
9/30/2019,0.010007639,0.096816909,0.008617265,0.36174492,3.23,0.017,72.04
12/31/2019,0.033085377,0.103709747,0.006656428,0.321578079,2.6,0.023,71.33
3/31/2020,0.042072656,0.104571482,0.014991082,0.350938372,7.87,0.015,49.57
6/30/2020,0.04964474,0.106211322,0.011574605,0.363693192,4.27,0.006,55.01
9/30/2020,0.044297165,0.106220053,0.012637141,0.387166905,5.12,0.014,55.74
12/31/2020,0.047184108,0.108908458,0.010952283,0.384462716,3.57,0.014,67.5
3/31/2021,0.140849121,0.09882446,0.016874573,0.429224683,9.25,0.026,74.26
6/30/2021,0.129253975,0.106776638,0.010863427,0.459178142,4.75,0.054,77.405
9/30/2021,0.028052182,0.08642975,0.010358375,0.345370184,4.61,0.054,78.2
12/31/2021,0.031856726,0.07444048,0.005759696,0.265050706,2.65,0.07,83.572
3/31/2022,0.031007752,0.084746187,0.016969242,0.284686305,9.41,0.085,91.22
6/30/2022,0.034653977,0.091445123,0.010621185,0.287259895,6.44,0.091,82.97
9/30/2022,0.024678033,0.092861984,0.010448929,0.315071311,5.88,0.082,79.09
12/31/2022,0.037299863,0.087151284,0.011223223,0.279770689,2.91,0.065,91.4
3/31/2023,0.023121494,0.074404488,0.014774211,0.23767786,9.92,0.05,85.62
6/30/2023,0.027516728,0.079054206,0.007815202,0.246170422,4.81,0.03,87.89
9/30/2023,0.020361903,0.078522164,0.007978146,0.265067033,5.97,0.037,91.65
12/31/2023,0.030225007,0.074275125,0.011758725,0.228562218,0.04,0.034,100.125
3/31/2024,0.027044185,0.074292153,0.015309167,0.225626362,9.33,0.035,117.39
6/30/2024,0.036388729,0.08491868,0.008743427,0.271134501,4.86,0.03,112.92
