Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.114575171,0.348841711,0.012140599,0.258822164,18.01,0.008,50.01
3/31/2015,0.117939369,0.355002591,0.010725126,0.258240671,15.81,-0.0001,49.49
6/30/2015,0.121362622,0.360045558,0.005760057,0.248173481,8.21,0.0001,50.532
9/30/2015,0.125405058,0.369091819,0.00977808,0.240248404,14.08,0,48.604
12/31/2015,0.11950581,0.376595704,0.007634536,0.236615425,10.86,0.007,51.15
3/31/2016,0.118502648,0.372875117,0.004068072,0.237597393,5.86,0.009,49.9
6/30/2016,0.117063122,0.369328138,0.004269043,0.236974092,6.22,0.01,50.632
9/30/2016,0.118549435,0.368445783,0.007757723,0.238964419,11.48,0.015,52.88
12/31/2016,0.117364884,0.374532732,0.012365344,0.233685837,17.34,0.021,59.33
3/31/2017,0.117186579,0.37379244,0.010023312,0.237503508,12.91,0.024,60.618
6/30/2017,0.117620529,0.375429577,0.00879448,0.240600242,11.25,0.016,62.617
9/30/2017,0.11952619,0.370714235,0.009389961,0.241703365,12.7,0.022,63.72
12/31/2017,0.117281315,0.383928413,0.012390813,0.250926328,21.42,0.021,66.6
3/31/2018,0.118943587,0.397487841,0.012040004,0.258598853,16.22,0.024,64.54
6/30/2018,0.122273285,0.401414849,0.008856036,0.256207963,11.43,0.029,61.49
9/30/2018,0.123652721,0.403336536,0.011110141,0.260112044,15.37,0.023,66.33
12/31/2018,0.123626937,0.392279664,-0.005514526,0.234360051,-7.77,0.019,57.72
3/31/2019,0.119826648,0.389764663,0.014848835,0.25339768,20.52,0.019,63.62
6/30/2019,0.117069627,0.386934631,0.010323213,0.260665829,14.15,0.016,70.71
9/30/2019,0.115632717,0.384288817,0.010241755,0.27535209,15.5,0.017,72.04
12/31/2019,0.113622343,0.40078366,0.019799917,0.27671577,26.67,0.023,71.33
3/31/2020,0.116272059,0.416219522,0.0114205,0.26293863,10.17,0.015,49.57
6/30/2020,0.112174888,0.407203998,0.018216153,0.286232499,20.28,0.006,55.01
9/30/2020,0.110207739,0.410069246,0.014680244,0.285515306,19.78,0.014,55.74
12/31/2020,0.162715201,0.418828927,0.023684983,0.315516341,41.23,0.014,67.5
3/31/2021,0.14190631,0.393703153,0.024412415,0.260068531,-7.78,0.026,74.26
6/30/2021,0.150094615,0.395527845,0.014987598,0.269906463,22.84,0.054,77.405
9/30/2021,0.154241607,0.395203837,0.002383094,0.250222518,9.09,0.054,78.2
12/31/2021,0.159211585,0.535941271,0.015325825,0.338123881,14.29,0.07,83.572
3/31/2022,0.172300566,0.552629954,0.009222851,0.31262498,10.77,0.085,91.22
6/30/2022,0.1654904,0.543975091,-0.012734821,0.262348348,-14.69,0.091,82.97
9/30/2022,0.168526557,0.527150989,-0.008302961,0.219197404,-9.53,0.082,79.09
12/31/2022,0.16132423,0.520160426,-0.003081979,0.215352368,-3.65,0.065,91.4
3/31/2023,0.169304734,0.505746203,-0.002940852,0.211201342,-3.71,0.05,85.62
6/30/2023,0.1714786,0.485166245,-0.016147004,0.180545442,-16.6,0.03,87.89
9/30/2023,0.178915948,0.479273741,0.0015221,0.166576347,0.75,0.037,91.65
12/31/2023,0.165883013,0.480989145,0.018981831,0.205640834,18.09,0.034,100.125
3/31/2024,0.173135945,0.481390333,0.014927642,0.212998928,16.3,0.035,117.39
6/30/2024,0.169311974,0.468016389,0.004992249,0.206837797,5.22,0.03,112.92
