Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.137918903,0.311143312,0.01247844,0.859238439,7.96,0.008,50.01
3/31/2015,0.009693528,0.317815153,0.015860254,0.855371598,9.66,-0.0001,49.49
6/30/2015,0.010923232,0.319536442,0.012419236,0.854684263,6.95,0.0001,50.532
9/30/2015,0.009511099,0.334070926,0.027191329,0.85440613,17.15,0,48.604
12/31/2015,0.149932006,0.339883424,0.014866267,0.880792153,10.05,0.007,51.15
3/31/2016,0.00584157,0.329672616,0.012430178,0.806948391,6.45,0.009,49.9
6/30/2016,0.027271531,0.334493334,0.013140671,0.815346738,11.03,0.01,50.632
9/30/2016,0.043484019,0.340195484,0.018608101,0.822559086,10.96,0.015,52.88
12/31/2016,0.160675457,0.339606413,0.015322443,0.850941787,12.59,0.021,59.33
3/31/2017,0.053666355,0.329798564,0.009733349,0.827202649,6.26,0.024,60.618
6/30/2017,0.055887258,0.330682552,0.010787422,0.841204768,5.02,0.016,62.617
9/30/2017,0.064493789,0.328904239,0.009478339,0.843522621,5.46,0.022,63.72
12/31/2017,0.174041974,0.364318219,0.007406405,1.005177914,11.73,0.021,66.6
3/31/2018,0.098986552,0.449657084,-0.001350599,0.99844425,-0.63,0.024,64.54
6/30/2018,0.098551547,0.460666187,0.022091998,1.033080697,16.71,0.029,61.49
9/30/2018,0.084221932,0.470498697,0.032291003,1.062679252,25.19,0.023,66.33
12/31/2018,0.172232316,0.453680026,-0.040321054,0.99213609,-32.7,0.019,57.72
3/31/2019,0.10167126,0.464006855,0.038539427,1.017638399,28.83,0.019,63.62
6/30/2019,0.105782336,0.469467497,0.024505728,1.033913362,18.8,0.016,70.71
9/30/2019,0.108524989,0.473484493,0.026417851,1.037821381,21.67,0.017,72.04
12/31/2019,0.171016315,0.492208299,0.046042148,1.101234435,37.99,0.023,71.33
3/31/2020,0.128775406,0.463357126,-0.081958267,0.974097447,-60.62,0.015,49.57
6/30/2020,0.122698834,0.48044429,0.060017789,1.016304237,36.23,0.006,55.01
9/30/2020,0.097249701,0.492551323,0.046587368,1.020655855,38.65,0.014,55.74
12/31/2020,0.169846714,0.508883189,0.05273832,1.068521495,43.68,0.014,67.5
3/31/2021,0.085796699,0.515988933,0.017330531,1.065291663,14.71,0.026,74.26
6/30/2021,0.081396789,0.53088736,0.040164692,1.104006751,33.89,0.054,77.405
9/30/2021,0.087157538,0.537356178,0.01429583,1.094140551,12.54,0.054,78.2
12/31/2021,0.169855776,0.557394575,0.051974167,1.160133738,50.37,0.07,83.572
3/31/2022,0.03485899,0.556861948,0.007892679,1.141887279,7.61,0.085,91.22
6/30/2022,0.053480755,0.545277295,-0.059816895,1.066891258,-50.23,0.091,82.97
9/30/2022,0.063114543,0.54686932,-0.003968764,1.057457662,-2.99,0.082,79.09
12/31/2022,0.162233714,0.538899169,0.023557011,1.031914119,20.27,0.065,91.4
3/31/2023,0.067607956,0.548236236,0.045414975,1.073725281,37.53,0.05,85.62
6/30/2023,0.073899765,0.559291571,0.044330066,1.126475056,37.15,0.03,87.89
9/30/2023,0.09075302,0.558640617,-0.015649067,1.102061805,-12.62,0.037,91.65
12/31/2023,0.161844449,0.567628493,0.044582225,1.143351068,37.64,0.034,100.125
3/31/2024,0.112058017,0.579350208,0.015447158,1.173763332,12.84,0.035,117.39
6/30/2024,0.181205923,0.586433815,0.035274967,1.213783892,31.88,0.03,112.92
