Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.073756884,0.046902332,0.002846615,0.083714011,6.12,0.008,50.01
3/31/2015,0.080906149,0.049460626,0.002306863,0.081811368,7.65,-0.0001,49.49
6/30/2015,0.087862331,0.052775293,0.00186647,0.085364996,6.28,0.0001,50.532
9/30/2015,0.091802862,0.054959973,0.002719533,0.083728038,5.41,0,48.604
12/31/2015,0.083435534,0.056217114,0.001986874,0.086502596,7.51,0.007,51.15
3/31/2016,0.082946717,0.056775446,0.001054407,0.088774832,5.43,0.009,49.9
6/30/2016,0.082581097,0.058144727,0.00261787,0.088944187,3,0.01,50.632
9/30/2016,-0.74940332,0.058394486,4.45284E-06,0.081392381,7.14,0.015,52.88
12/31/2016,0.076414893,0.059479653,0.002094167,0.081625308,-3.99,0.021,59.33
3/31/2017,0.072203061,0.058805559,-0.000938622,0.082886252,6.95,0.024,60.618
6/30/2017,0.079634808,0.059916775,0.001123941,0.083260057,-1.14,0.016,62.617
9/30/2017,-0.730777768,0.042803871,0.002250732,0.063721277,4.42,0.022,63.72
12/31/2017,-0.724765307,0.04687399,0.002727701,0.064577468,-33.91,0.021,66.6
3/31/2018,-0.017260387,0.175220074,0.010086384,0.260133944,9.6,0.024,64.54
6/30/2018,-0.022966616,0.178605726,0.009635887,0.261332841,9.67,0.029,61.49
9/30/2018,0.011635932,0.177427897,0.004461778,0.266248019,8.75,0.023,66.33
12/31/2018,-0.014338955,0.18274272,0.013249321,0.292748653,3.39,0.019,57.72
3/31/2019,0.000575772,0.170370797,0.007470636,0.282244371,13.11,0.019,63.62
6/30/2019,0.010945684,0.174376566,0.011927807,0.296762524,8.24,0.016,70.71
9/30/2019,0.026434331,0.179123657,0.010957821,0.298274882,10.75,0.017,72.04
12/31/2019,0.029465689,0.186528724,0.005893138,0.28556998,11.4,0.023,71.33
3/31/2020,0.02938442,0.185476828,0.009043527,0.316628955,6.38,0.015,49.57
6/30/2020,0.029203944,0.186714418,0.00943044,0.326540345,11.39,0.006,55.01
9/30/2020,0.038779668,0.187799382,0.009229399,0.33401134,10.17,0.014,55.74
12/31/2020,0.032075039,0.189161871,0.004865164,0.31331528,12.44,0.014,67.5
3/31/2021,0.039715249,0.198214955,0.015348177,0.322971251,6.32,0.026,74.26
6/30/2021,0.030816621,0.198833399,0.008048237,0.305709591,20.47,0.054,77.405
9/30/2021,0.044621171,0.205855468,0.012457886,0.303788201,11.05,0.054,78.2
12/31/2021,0.031414447,0.213642162,0.007840323,0.267829164,15.66,0.07,83.572
3/31/2022,0.058327118,0.226347338,0.008190381,0.244533828,9.73,0.085,91.22
6/30/2022,0.056461609,0.231166697,0.006685144,0.220150902,11.86,0.091,82.97
9/30/2022,0.068006246,0.233645628,0.010944006,0.230499562,9.64,0.082,79.09
12/31/2022,0.048620183,0.235073873,0.00954895,0.239363034,15.7,0.065,91.4
3/31/2023,0.060396509,0.24176196,0.009865349,0.236881308,14.06,0.05,85.62
6/30/2023,0.05290139,0.246685276,0.011635085,0.224846722,14.44,0.03,87.89
9/30/2023,0.064313623,0.247551446,0.013167492,0.249410118,17.26,0.037,91.65
12/31/2023,0.047986102,0.252399949,0.012430833,0.248513865,20.39,0.034,100.125
3/31/2024,0.045707563,0.255661261,0.012233383,0.247451315,19.22,0.035,117.39
6/30/2024,0.041702065,0.256516332,0.012410889,0.264876735,19.24,0.03,112.92
