Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.170575397,0.102460317,0.008277778,0.436961852,6.86,0.008,50.01
3/31/2015,0.175691601,0.10905635,0.010645468,0.457998961,9.07,-0.0001,49.49
6/30/2015,0.175902783,0.112079161,0.005108019,0.444204054,4.39,0.0001,50.532
9/30/2015,0.183829323,0.116869192,0.007257168,0.444941757,6.02,0,48.604
12/31/2015,0.19229921,0.12578692,0.011793977,0.463958676,9.41,0.007,51.15
3/31/2016,0.190252287,0.128207125,0.009545649,0.478613782,7.84,0.009,49.9
6/30/2016,0.173430665,0.127392163,0.007354572,0.477558348,4.38,0.01,50.632
9/30/2016,0.171404333,0.130056052,0.005780564,0.483454127,4.62,0.015,52.88
12/31/2016,0.151818357,0.136270531,0.008932947,0.492731049,6.6,0.021,59.33
3/31/2017,0.164696034,0.134767622,0.004823681,0.494819093,3.78,0.024,60.618
6/30/2017,0.184152851,0.134764548,0.008839466,0.49763268,7.53,0.016,62.617
9/30/2017,0.168427014,0.118482415,-0.011568077,0.465594327,-10.25,0.022,63.72
12/31/2017,0.172128029,0.115134888,0.00544734,0.417858841,4.93,0.021,66.6
3/31/2018,0.178649364,0.18036877,0.003195095,0.405173151,2.1,0.024,64.54
6/30/2018,0.179391825,0.186001745,0.009811111,0.40793597,10.79,0.029,61.49
9/30/2018,0.186252135,0.193680429,0.016361682,0.41379741,14.68,0.023,66.33
12/31/2018,0.177878761,0.173602354,-0.022453612,0.38590213,-22.52,0.019,57.72
3/31/2019,0.188676915,0.182485534,0.022881366,0.402341542,19.16,0.019,63.62
6/30/2019,0.187232716,0.186919993,0.018298007,0.408554743,16.53,0.016,70.71
9/30/2019,0.194253699,0.188708284,0.007080948,0.411648117,6.55,0.017,72.04
12/31/2019,0.202153226,0.198991301,0.020115814,0.429323366,16.01,0.023,71.33
3/31/2020,0.234077506,0.167521984,-0.050070737,0.377967203,-38.45,0.015,49.57
6/30/2020,0.256154397,0.17784376,0.031790724,0.423605291,26.66,0.006,55.01
9/30/2020,0.233075927,0.183644511,0.017236495,0.433567681,14.63,0.014,55.74
12/31/2020,0.231371374,0.196475665,0.02745145,0.455846422,23.82,0.014,67.5
3/31/2021,0.207987361,0.20340125,0.017316637,0.453026365,18.03,0.026,74.26
6/30/2021,0.207114719,0.208229263,0.023640507,0.452841,22.67,0.054,77.405
9/30/2021,0.203882988,0.206655816,0.005175818,0.440167777,6.22,0.054,78.2
12/31/2021,0.214623636,0.21550426,0.024279555,0.456845775,24.53,0.07,83.572
3/31/2022,0.219156068,0.209819332,-0.000821884,0.424065353,-0.41,0.085,91.22
6/30/2022,0.231871024,0.193755605,-0.024547938,0.382395341,-22.07,0.091,82.97
9/30/2022,0.226865616,0.19115673,0.001382252,0.362081575,2.61,0.082,79.09
12/31/2022,0.237418007,0.197485489,0.022835452,0.381011816,19.05,0.065,91.4
3/31/2023,0.222866593,0.201307369,0.014799183,0.38954202,13.59,0.05,85.62
6/30/2023,0.238292388,0.207324084,0.018589223,0.392305435,19.79,0.03,87.89
9/30/2023,0.233121955,0.204345106,0.001380311,0.379924659,2.28,0.037,91.65
12/31/2023,0.209752934,0.206245685,0.020564619,0.392864372,23.39,0.034,100.125
3/31/2024,0.203041232,0.212704675,0.023321579,0.398301155,29.93,0.035,117.39
6/30/2024,0.219702562,0.206498074,0.006866187,0.379461707,7.54,0.03,112.92
