Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,-0.288932089,0.085980304,0.008465277,0.500095914,20.66,0.008,50.01
3/31/2015,-0.276824276,0.08833852,0.0178226,0.466982789,9.12,-0.0001,49.49
6/30/2015,-0.294080778,0.096768871,0.015106514,0.496131172,20.45,0.0001,50.532
9/30/2015,-0.201235887,0.101754279,0.015747238,0.502005835,16.8,0,48.604
12/31/2015,-0.275919797,0.10509965,0.010072473,0.523835818,16.95,0.007,51.15
3/31/2016,-0.276305307,0.106733054,0.018264117,0.499575768,10.67,0.009,49.9
6/30/2016,-0.251473069,0.109452736,0.018902228,0.487134127,20.68,0.01,50.632
9/30/2016,-0.182957428,0.118546196,0.011157156,0.518136496,22.29,0.015,52.88
12/31/2016,-0.251389452,0.1202389,0.010434979,0.530964292,10.28,0.021,59.33
3/31/2017,-0.256677045,0.12357741,0.020736526,0.522890778,10.65,0.024,60.618
6/30/2017,-0.246593559,0.120787418,0.002896116,0.545214085,21.52,0.016,62.617
9/30/2017,-0.160482607,0.136947665,0.018156273,0.571921182,2.99,0.022,63.72
12/31/2017,-0.246620928,0.14507175,0.010714361,0.571616727,18.41,0.021,66.6
3/31/2018,-0.237557988,0.150316297,0.021284265,0.559016907,11.1,0.024,64.54
6/30/2018,-0.24288225,0.14059754,0.018133568,0.477154725,21.19,0.029,61.49
9/30/2018,-0.220522999,0.154642084,0.012218982,0.543936093,19.16,0.023,66.33
12/31/2018,-0.264465054,0.152956989,0.013764337,0.533104396,11.69,0.019,57.72
3/31/2019,-0.250041947,0.161321332,0.02109674,0.555812373,12.85,0.019,63.62
6/30/2019,-0.217201796,0.168163334,0.021818875,0.561788833,20.22,0.016,70.71
9/30/2019,-0.147118673,0.187603091,0.026066499,0.623766563,21.01,0.017,72.04
12/31/2019,-0.224971306,0.18620985,0.007230835,0.597919803,25.06,0.023,71.33
3/31/2020,-0.188490397,0.186767578,0.019428711,0.593360996,6.93,0.015,49.57
6/30/2020,-0.175498853,0.192024685,0.026316955,0.599063765,17.68,0.006,55.01
9/30/2020,-0.129024695,0.207486715,0.029636605,0.62509525,16.15,0.014,55.74
12/31/2020,-0.225099778,0.196577051,0.02238082,0.524614409,25.61,0.014,67.5
3/31/2021,-0.241117521,0.200233357,0.026900888,0.519602049,19,0.026,74.26
6/30/2021,-0.258428023,0.208378281,0.037336689,0.506908697,25.81,0.054,77.405
9/30/2021,-0.229651693,0.223694608,0.021457662,0.542088489,32.53,0.054,78.2
12/31/2021,-0.273612876,0.22514673,0.009045804,0.482508073,17.24,0.07,83.572
3/31/2022,-0.286496126,0.232136269,0.009906531,0.435431194,7.58,0.085,91.22
6/30/2022,-0.277265559,0.225767318,0.001261677,0.379004601,8.11,0.091,82.97
9/30/2022,-0.273139418,0.248345035,0.005837513,0.455616118,0.85,0.082,79.09
12/31/2022,-0.290230109,0.241289652,0.005765731,0.450636492,2.94,0.065,91.4
3/31/2023,-0.279696141,0.241306973,0.013502002,0.437408626,3.04,0.05,85.62
6/30/2023,-0.293330154,0.254734978,0.002323205,0.448105762,6.25,0.03,87.89
9/30/2023,-0.198595489,0.220853419,0.004267095,0.407286432,0.94,0.037,91.65
12/31/2023,-0.270655872,0.251871003,0.006300177,0.485847149,2.15,0.034,100.125
3/31/2024,-0.259985485,0.248202151,0.012337534,0.468087167,2.7,0.035,117.39
6/30/2024,-0.210086925,0.217372933,-0.00653145,0.44614176,5.27,0.03,112.92
