Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.060754463,0.035485633,0.002975607,0.087574939,21.63,0.008,50.01
3/31/2015,0.064615836,0.036697507,0.003228998,0.088018302,7.28,-0.0001,49.49
6/30/2015,0.068577897,0.038263196,0.001814318,0.084484923,3.64,0.0001,50.532
9/30/2015,0.073174988,0.039835233,0.002585953,0.08758641,4.07,0,48.604
12/31/2015,0.066117802,0.040457529,0.002006987,0.08462178,17.62,0.007,51.15
3/31/2016,0.073053144,0.040658231,0.003510902,0.090277291,10.36,0.009,49.9
6/30/2016,0.075744218,0.039173873,1.06093E-06,0.091952678,0.67,0.01,50.632
9/30/2016,0.067991109,0.038885344,0.001531109,0.089733063,2.89,0.015,52.88
12/31/2016,0.049079625,0.038589663,-0.000914589,0.081464439,2.76,0.021,59.33
3/31/2017,0.075185282,0.038114677,0.001479195,0.08045085,3.75,0.024,60.618
6/30/2017,0.07436238,0.038121528,0.001409427,0.081433731,4.39,0.016,62.617
9/30/2017,0.076564679,0.033878545,0.001052025,0.08581448,3.14,0.022,63.72
12/31/2017,0.069753519,0.036848583,0.001918343,0.089059063,4.81,0.021,66.6
3/31/2018,0.082560091,0.037122641,0.002736519,0.086130265,0.15,0.024,64.54
6/30/2018,0.086333217,0.038041547,0.002008967,0.082501023,2.77,0.029,61.49
9/30/2018,0.082299259,0.039130877,0.001951461,0.080120066,3.34,0.023,66.33
12/31/2018,0.083272488,0.042071856,0.004011415,0.083453623,19.25,0.019,57.72
3/31/2019,0.075197564,0.041986124,0.002783277,0.0897517,8.44,0.019,63.62
6/30/2019,0.081026596,0.042625521,0.003529249,0.095859882,9.36,0.016,70.71
9/30/2019,0.086727193,0.044355772,0.004111404,0.101779461,13.49,0.017,72.04
12/31/2019,0.077465046,0.04467205,0.000314668,0.098477779,-255.84,0.023,71.33
3/31/2020,0.085872955,0.050043308,0.007949944,0.105597667,26.41,0.015,49.57
6/30/2020,0.079698222,0.047640451,0.000557594,0.109796528,1.83,0.006,55.01
9/30/2020,0.078216048,0.047126684,0.001474711,0.104069326,5.02,0.014,55.74
12/31/2020,0.073719795,0.045892201,0.000495506,0.103865039,-226.33,0.014,67.5
3/31/2021,0.076336622,0.047249076,0.000674189,0.093987724,2.25,0.026,74.26
6/30/2021,0.079063385,0.050847523,0.006096323,0.098636034,20.66,0.054,77.405
9/30/2021,0.071966116,0.053075897,0.002994759,0.100144295,9.49,0.054,78.2
12/31/2021,0.075377645,0.054227414,0.002012615,0.09790898,36.28,0.07,83.572
3/31/2022,0.084573178,0.057168183,0.000994085,0.080945068,4.18,0.085,91.22
6/30/2022,0.090750694,0.062002465,0.000687894,0.059736925,0.94,0.091,82.97
9/30/2022,0.099394866,0.063116055,0.00105983,0.04054266,4.99,0.082,79.09
12/31/2022,0.087263525,0.060825974,0.00264828,0.047594822,7.94,0.065,91.4
3/31/2023,0.090415355,0.059259995,0.001036683,0.050515469,1.97,0.05,85.62
6/30/2023,0.084938408,0.058953548,-0.000193421,0.047143805,-0.77,0.03,87.89
9/30/2023,0.086523953,0.061273999,3.06692E-06,0.041350952,-0.29,0.037,91.65
12/31/2023,0.101772293,0.058387048,0.0023808,0.046023997,3,0.034,100.125
3/31/2024,0.103005419,0.059550515,0.000907647,0.044384845,3.93,0.035,117.39
6/30/2024,0.106516511,0.060485834,0.001889766,0.042486559,4.65,0.03,112.92
