Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.239942217,0.083062477,0.020512821,0.961881819,21.16,0.008,50.01
3/31/2015,0.148021281,0.086218206,0.013264339,0.935260931,5.39,-0.0001,49.49
6/30/2015,0.181357227,0.09029659,0.02049038,0.975981334,9.06,0.0001,50.532
9/30/2015,0.164434312,0.092191508,0.01937874,0.980527727,7.26,0,48.604
12/31/2015,0.248725863,0.098628957,0.018448065,0.990427204,0,0.007,51.15
3/31/2016,0.180735853,0.099691602,0.011833895,0.985051253,4.62,0.009,49.9
6/30/2016,0.162626403,0.105970356,0.017557833,0.944511785,10.03,0.01,50.632
9/30/2016,0.154386209,0.11323509,0.018420687,0.976641935,14.56,0.015,52.88
12/31/2016,0.337304593,0.122856553,0.023276634,0.994916884,40.11,0.021,59.33
3/31/2017,0.162434758,0.126110876,0.010297644,1.041762673,9.81,0.024,60.618
6/30/2017,0.174271229,0.141951838,0.020419659,1.046692607,31.54,0.016,62.617
9/30/2017,0.153413961,0.122750214,0.024092944,1.193191312,26.3,0.022,63.72
12/31/2017,0.244454158,0.023713255,0.02491531,1.108525346,24.89,0.021,66.6
3/31/2018,0.150698603,0.03992016,0.014748281,1.149702026,12.64,0.024,64.54
6/30/2018,0.198724876,0.057164469,0.030905554,1.161644476,25.82,0.029,61.49
9/30/2018,0.205527692,0.072671006,0.030519688,1.15971422,32.89,0.023,66.33
12/31/2018,0.267283088,0.068917321,0.009246318,1.148533149,6,0.019,57.72
3/31/2019,0.178501088,0.078988287,0.028609931,1.125826355,23.58,0.019,63.62
6/30/2019,0.193149475,0.092452645,0.035822946,1.082362559,30.33,0.016,70.71
9/30/2019,0.182071216,0.1062482,0.031193013,1.103148971,26.75,0.017,72.04
12/31/2019,0.200149855,0.127001967,0.047578908,1.149154589,40.82,0.023,71.33
3/31/2020,0.125147001,0.117992944,-0.007252058,1.150927487,-6.42,0.015,49.57
6/30/2020,-0.012353909,0.029520218,0.008791484,0.162026726,19.95,0.006,55.01
9/30/2020,-0.002425579,0.034038288,0.011386188,0.168184905,18.62,0.014,55.74
12/31/2020,0.014468338,0.047448221,0.018987216,0.199510258,34.18,0.014,67.5
3/31/2021,-0.003534736,0.056186758,0.015245975,0.19013938,28.54,0.026,74.26
6/30/2021,-0.000623624,0.061316948,0.013591343,0.194775596,27,0.054,77.405
9/30/2021,0.031501043,0.067702458,0.016288928,0.190792152,36,0.054,78.2
12/31/2021,0.046284396,0.071988796,0.011830615,0.184588058,38.61,0.07,83.572
3/31/2022,0.002563386,0.076277174,0.010779368,0.153927833,19.53,0.085,91.22
6/30/2022,0.016364527,0.080042463,0.009358158,0.123816166,24.84,0.091,82.97
9/30/2022,0.027572228,0.081542372,0.007448041,0.102882995,18.79,0.082,79.09
12/31/2022,0.02948897,0.080208157,-0.000445174,0.112148735,-1.31,0.065,91.4
3/31/2023,0.023803371,0.07241508,0.00038763,0.105513761,-0.07,0.05,85.62
6/30/2023,0.027047014,0.07039071,0.004724668,0.100642108,8.19,0.03,87.89
9/30/2023,0.032445069,0.073565579,0.008080863,0.097659379,13.89,0.037,91.65
12/31/2023,0.021026124,0.065050736,-9.92383E-05,0.101976652,-1.71,0.034,100.125
3/31/2024,0.016639841,0.06344679,0.004367071,0.102231962,7.35,0.035,117.39
6/30/2024,0.02957534,0.062325498,0.005910565,0.098722215,9.98,0.03,112.92
