Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.104310684,0.5808464,0.030124206,0.669136961,11.92,0.008,50.01
3/31/2015,0.143994297,0.624628728,0.043661637,0.688296059,20.11,-0.0001,49.49
6/30/2015,0.120082697,0.61838856,0.036122437,0.651930557,15.63,0.0001,50.532
9/30/2015,0.119724667,0.616565109,0.02600993,0.557332396,12,0,48.604
12/31/2015,0.073342117,0.620443566,0.032608696,0.568451868,12.87,0.007,51.15
3/31/2016,0.090412621,0.632171227,0.040434687,0.596196179,15.72,0.009,49.9
6/30/2016,0.078889135,0.650088515,0.040163753,0.589657902,15.02,0.01,50.632
9/30/2016,0.075389476,0.651105785,0.031158078,0.582040676,12.06,0.015,52.88
12/31/2016,0.044090159,0.681033535,0.03479934,0.526262796,13.15,0.021,59.33
3/31/2017,0.073435605,0.664557963,0.042648532,0.535951417,13.83,0.024,60.618
6/30/2017,0.078849913,0.66428351,0.039296369,0.571959897,12.75,0.016,62.617
9/30/2017,0.071152869,0.665972575,0.030319959,0.567799984,9.88,0.022,63.72
12/31/2017,0.063635029,0.643203289,0.035360272,0.573034573,11.9,0.021,66.6
3/31/2018,0.100472426,0.64605454,0.045558726,0.600464141,15.92,0.024,64.54
6/30/2018,0.092584716,0.667848197,0.035729477,0.583520431,11.5,0.029,61.49
9/30/2018,0.058639784,0.671872781,0.028586303,0.554631742,6.54,0.023,66.33
12/31/2018,0.046806933,0.664890166,0.029752526,0.541946549,3.37,0.019,57.72
3/31/2019,0.230148986,0.485847961,0.033248167,0.360525484,8.78,0.019,63.62
6/30/2019,0.035620874,0.458992403,0.023352846,0.350603474,4.82,0.016,70.71
9/30/2019,0.027398141,0.476283886,0.017236389,0.334635193,4.09,0.017,72.04
12/31/2019,0.012405523,0.484708359,0.039098128,0.339241479,5.05,0.023,71.33
3/31/2020,0.028352075,0.493453538,0.036125004,0.311236424,8.83,0.015,49.57
6/30/2020,0.067425161,0.499238397,0.029469365,0.352946124,6.9,0.006,55.01
9/30/2020,0.054527095,0.486582418,0.018359291,0.365748673,4.55,0.014,55.74
12/31/2020,0.048382704,0.492359829,0.029683198,0.389255538,5.18,0.014,67.5
3/31/2021,0.044185542,0.519939268,0.044278499,0.42316003,12.08,0.026,74.26
6/30/2021,0.053318363,0.534002974,0.03941978,0.452377804,11.93,0.054,77.405
9/30/2021,0.036929234,0.533290886,0.024528531,0.428163159,7.64,0.054,78.2
12/31/2021,0.046818658,0.534750494,0.035332093,0.484416818,9.78,0.07,83.572
3/31/2022,0.035650677,0.561505581,0.04473403,0.495118054,13.81,0.085,91.22
6/30/2022,0.034479665,0.594497608,0.042553828,0.484704524,12.41,0.091,82.97
9/30/2022,0.008806171,0.619461012,0.026480967,0.440401223,7.16,0.082,79.09
12/31/2022,0.025547445,0.460194043,0.027043569,0.322163944,5.79,0.065,91.4
3/31/2023,0.034897258,0.609726992,0.05093428,0.483377947,13.11,0.05,85.62
6/30/2023,0.021238672,0.472018211,0.032792166,0.352601156,10.4,0.03,87.89
9/30/2023,0.034875,0.458479167,0.022145833,0.318174329,7.36,0.037,91.65
12/31/2023,0.040662086,0.473849677,0.029085988,0.346887269,7.88,0.034,100.125
3/31/2024,0.055473808,0.493063146,0.042377869,0.361144492,12.62,0.035,117.39
6/30/2024,0.064991459,0.505813834,0.035582721,0.387283732,10.94,0.03,112.92
