Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.078257329,0.160268342,0.022347604,0.367410785,19.27,0.008,50.01
3/31/2015,0.092455638,0.162531156,0.017696514,0.365973881,14.64,-0.0001,49.49
6/30/2015,0.100600601,0.160217035,0.019116844,0.362279764,15.9,0.0001,50.532
9/30/2015,0.099478871,0.164055453,0.015513613,0.35882887,13.2,0,48.604
12/31/2015,0.083812334,0.157181663,0.018384252,0.35141627,15.5,0.007,51.15
3/31/2016,0.101051364,0.158778725,0.013723065,0.353705825,12.31,0.009,49.9
6/30/2016,0.097743914,0.157425371,0.010013142,0.350946906,9.26,0.01,50.632
9/30/2016,0.099170162,0.154159603,0.008738586,0.341941407,8.13,0.015,52.88
12/31/2016,0.083947589,0.153763312,0.017189183,0.337815664,15.09,0.021,59.33
3/31/2017,0.096119043,0.159231277,0.019479475,0.349590974,18.27,0.024,60.618
6/30/2017,0.093723085,0.161052058,0.016298719,0.349045851,13.66,0.016,62.617
9/30/2017,0.099321912,0.157116071,0.007417872,0.335838051,7.97,0.022,63.72
12/31/2017,0.085928012,0.155861606,0.018813467,0.338567426,20.36,0.021,66.6
3/31/2018,0.102571919,0.193994822,0.022927101,0.355381387,25.43,0.024,64.54
6/30/2018,0.096326446,0.20108846,0.021257264,0.349012288,22.18,0.029,61.49
9/30/2018,0.098869225,0.210829088,0.025755314,0.360822278,27.87,0.023,66.33
12/31/2018,0.064901771,0.180075148,0.006187869,0.310532092,6.37,0.019,57.72
3/31/2019,0.094898669,0.191566018,0.033060389,0.337696478,33.98,0.019,63.62
6/30/2019,0.088258904,0.200218221,0.025153924,0.358748312,27.24,0.016,70.71
9/30/2019,0.088116575,0.203580951,0.01958969,0.361706419,22.23,0.017,72.04
12/31/2019,0.070219082,0.194496549,0.025240844,0.33890081,29.17,0.023,71.33
3/31/2020,0.090951746,0.200231049,0.016399182,0.349668969,19.09,0.015,49.57
6/30/2020,0.072189678,0.218866781,0.039137461,0.390092662,41.23,0.006,55.01
9/30/2020,0.09304829,0.229412794,0.031483042,0.403691635,35.1,0.014,55.74
12/31/2020,0.042165122,0.208352835,0.033729602,0.362069698,38.48,0.014,67.5
3/31/2021,0.085213948,0.224420222,0.029413114,0.374908044,34.12,0.026,74.26
6/30/2021,0.080208811,0.220568859,0.01512374,0.365129328,18.72,0.054,77.405
9/30/2021,0.092972817,0.211930926,0.002660497,0.343285239,3.56,0.054,78.2
12/31/2021,0.090332059,0.215655401,0.017657313,0.344643769,24.33,0.07,83.572
3/31/2022,0.08779927,0.210604626,0.006012444,0.29978199,8.19,0.085,91.22
6/30/2022,0.096851773,0.20488112,-0.004764773,0.272676596,-9.09,0.091,82.97
9/30/2022,0.100540226,0.198453472,0.002722313,0.243234345,3.26,0.082,79.09
12/31/2022,0.096404956,0.208321739,0.01441728,0.266743882,17.25,0.065,91.4
3/31/2023,0.108295298,0.199982589,0.007682167,0.265474748,9.76,0.05,85.62
6/30/2023,0.103247935,0.197118573,0.00604497,0.252302443,7.63,0.03,87.89
9/30/2023,0.094683198,0.202923424,0.017279021,0.254845657,21.23,0.037,91.65
12/31/2023,0.08581254,0.211983178,0.029010835,0.296386704,36.92,0.034,100.125
3/31/2024,0.099329636,0.223323559,0.031977732,0.301602666,43.24,0.035,117.39
6/30/2024,0.105113747,0.228923416,0.019715404,0.313065873,27.73,0.03,112.92
