Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,-0.010617612,0.020771578,0.003499818,0.062171402,4.35,0.008,50.01
3/31/2015,-0.001649336,0.022700008,0.002619534,0.058703096,0,-0.0001,49.49
6/30/2015,-0.002381625,0.024538552,0.002883926,0.060090733,4.5,0.0001,50.532
9/30/2015,0.0114783,0.024999505,0.002839202,0.058606353,4.33,0,48.604
12/31/2015,-0.00789009,0.025670282,0.002240635,0.068070966,17.74,0.007,51.15
3/31/2016,-0.016400708,0.025676405,0.001686148,0.074432897,4.21,0.009,49.9
6/30/2016,-0.013644929,0.026795875,0.002823636,0.074681704,2.59,0.01,50.632
9/30/2016,0.001776872,0.027993704,0.002289652,0.062460528,5.83,0.015,52.88
12/31/2016,-0.011357408,0.028823688,0.002188458,0.062599365,13.72,0.021,59.33
3/31/2017,-0.012263257,0.028484229,0.000746994,0.063669088,6.48,0.024,60.618
6/30/2017,-0.014883131,0.030518882,0.003679072,0.065620596,2.89,0.016,62.617
9/30/2017,0.005596441,0.034454705,0.003108867,0.070099341,10.21,0.022,63.72
12/31/2017,-0.00079549,0.034830422,0.002040553,0.067105937,23.18,0.021,66.6
3/31/2018,0.000590345,0.035021833,0.00030615,0.063002744,6.04,0.024,64.54
6/30/2018,0.001047708,0.036469247,0.002233977,0.060698806,1.76,0.029,61.49
9/30/2018,0.010267729,0.037382925,0.001646468,0.064005211,6.23,0.023,66.33
12/31/2018,-0.008718699,0.036459584,0.001342244,0.069847356,10.99,0.019,57.72
3/31/2019,-0.014609333,0.035777187,0.001003633,0.076574035,4.02,0.019,63.62
6/30/2019,-0.015997724,0.036436374,0.001950033,0.080938641,3.22,0.016,70.71
9/30/2019,0.002114769,0.036797643,0.001525846,0.076508736,5.64,0.017,72.04
12/31/2019,-0.0109567,0.03682678,-0.000384566,0.075152589,0.03,0.023,71.33
3/31/2020,-0.024628927,0.032036723,-0.002547556,0.078348033,0.03,0.015,49.57
6/30/2020,-0.022136072,0.033317646,0.001635606,0.079187971,0.05,0.006,55.01
9/30/2020,-0.00148503,0.032686596,0.000976909,0.078176575,4.59,0.014,55.74
12/31/2020,-0.008386606,0.036493695,0.003760691,0.069270151,-0.08,0.014,67.5
3/31/2021,-0.013340011,0.037570929,0.002928348,0.073812816,10.21,0.026,74.26
6/30/2021,-0.005840773,0.038481335,0.001936559,0.071904996,8.46,0.054,77.405
9/30/2021,0.004067911,0.039092047,0.002610972,0.071554126,5.87,0.054,78.2
12/31/2021,0.006149879,0.041180276,-0.000748235,0.053610083,4.81,0.07,83.572
3/31/2022,0.019803076,0.050513299,-0.001525304,0.043376067,0.73,0.085,91.22
6/30/2022,0.031973158,0.050754254,-0.000185908,0.026007605,-0.38,0.091,82.97
9/30/2022,0.023879982,0.04602709,-0.002082641,0.04857482,-1.07,0.082,79.09
12/31/2022,0.023078691,0.046115085,0.00260409,0.047940227,0.06,0.065,91.4
3/31/2023,0.020805847,0.046975207,0.000890573,0.044104281,5.09,0.05,85.62
6/30/2023,0.021592534,0.046227985,-0.001553018,0.041184031,1.38,0.03,87.89
9/30/2023,0.021540015,0.044863359,0.005778487,0.04308614,-2.51,0.037,91.65
12/31/2023,0.01709921,0.045484918,0.001915067,0.042236674,-0.29,0.034,100.125
3/31/2024,0.011670927,0.047171684,0.001978479,0.043943067,0,0.035,117.39
6/30/2024,0.037549948,0.044384525,0.001365261,0.044763157,0,0.03,112.92
