Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.040639128,0.264372611,0.015056559,0.317425424,16.87,0.008,50.01
3/31/2015,0.082373334,0.271747281,0.01207506,0.319189661,13.48,-0.0001,49.49
6/30/2015,0.088310513,0.280571294,0.011488826,0.311066118,12.7,0.0001,50.532
9/30/2015,0.081921457,0.286583097,0.013720498,0.307811519,14.9,0,48.604
12/31/2015,0.044707738,0.298900024,0.01301605,0.3081242,13.73,0.007,51.15
3/31/2016,0.046410307,0.299508261,0.009913454,0.311763036,11.08,0.009,49.9
6/30/2016,0.044150089,0.301827304,0.009566015,0.317938558,10.54,0.01,50.632
9/30/2016,0.038234407,0.305904443,0.010079096,0.31192883,11.64,0.015,52.88
12/31/2016,0.046156916,0.321173126,0.012629059,0.301477462,15.47,0.021,59.33
3/31/2017,0.049621713,0.322215199,0.008385516,0.304145091,9.54,0.024,60.618
6/30/2017,0.052489067,0.321577107,0.008590714,0.302724239,9.59,0.016,62.617
9/30/2017,0.049477045,0.317416188,0.003978487,0.294614821,4.37,0.022,63.72
12/31/2017,0.049834272,0.32335746,0.009209242,0.297559936,10.25,0.021,66.6
3/31/2018,0.055557699,0.327761488,0.008362591,0.284756558,9.74,0.024,64.54
6/30/2018,0.056354627,0.331288699,0.006964636,0.279641533,8.01,0.029,61.49
9/30/2018,0.051403391,0.333355685,0.00854488,0.274136458,10.37,0.023,66.33
12/31/2018,0.054598831,0.337743325,0.007991711,0.281463996,9.57,0.019,57.72
3/31/2019,0.056636145,0.333765362,0.009837197,0.293585506,11.99,0.019,63.62
6/30/2019,0.060420735,0.332820617,0.0069447,0.304152503,8.47,0.016,70.71
9/30/2019,0.055614517,0.329432788,0.004680654,0.302561618,6.14,0.017,72.04
12/31/2019,0.051851583,0.335782133,0.010506529,0.308188503,13.94,0.023,71.33
3/31/2020,0.060409737,0.341066925,0.008333638,0.299221199,9.57,0.015,49.57
6/30/2020,0.060077468,0.32706883,0.008870569,0.311861935,0,0.006,55.01
9/30/2020,0.05259314,0.32374725,0.00921948,0.314553566,12.33,0.014,55.74
12/31/2020,0.050195266,0.332045836,0.014550718,0.333485605,20.47,0.014,67.5
3/31/2021,0.052660811,0.335677422,0.008313965,0.318477293,11.87,0.026,74.26
6/30/2021,0.053766314,0.333987425,0.010137025,0.321799499,14.63,0.054,77.405
9/30/2021,0.048961941,0.335012344,0.007232449,0.308721485,10.03,0.054,78.2
12/31/2021,0.050669899,0.344952103,0.014427307,0.315432577,19.75,0.07,83.572
3/31/2022,0.053553359,0.357182609,0.010700553,0.274346934,14.59,0.085,91.22
6/30/2022,0.06133617,0.36611286,0.006390078,0.244085666,8.47,0.091,82.97
9/30/2022,0.061644375,0.375420979,0.005388525,0.210844075,7,0.082,79.09
12/31/2022,0.066489798,0.376055376,0.009289906,0.228979258,12.22,0.065,91.4
3/31/2023,0.072596999,0.374079019,0.008584561,0.241888772,11.55,0.05,85.62
6/30/2023,0.076708716,0.365139791,0.000364924,0.221388197,0.48,0.03,87.89
9/30/2023,0.071961708,0.364117182,0.004695841,0.197010039,5.82,0.037,91.65
12/31/2023,0.06957564,0.361896522,0.016804521,0.246603402,21.6,0.034,100.125
3/31/2024,0.07370693,0.364830076,0.011521859,0.244384108,14.98,0.035,117.39
6/30/2024,0.080098983,0.361698179,0.005830723,0.238020928,7.69,0.03,112.92
