Date,Working Capital/Total Assets,RetainedEarnings/TotalAssets,EBIT/TotalAssets,BookValueofEquity/TotalLiabilities,Interest Coverage,CPI,IAK
12/31/2014,0.136819856,0.11692554,-0.00666293,0.158025516,-10.81,0.008,50.01
3/31/2015,0.134882171,0.118590812,0.005408236,0.159920482,9.02,-0.0001,49.49
6/30/2015,0.13098676,0.124070203,0.00579837,0.160102273,9.42,0.0001,50.532
9/30/2015,0.124328499,0.127048647,0.005479318,0.162141224,8.85,0,48.604
12/31/2015,0.129656231,0.132009114,0.005869824,0.166936416,9.14,0.007,51.15
3/31/2016,0.128038665,0.131697005,0.005531887,0.1681496,8.88,0.009,49.9
6/30/2016,0.12450159,0.130816093,0.005991888,0.167416264,9.02,0.01,50.632
9/30/2016,0.129958532,0.133667162,0.005904076,0.17162291,8.35,0.015,52.88
12/31/2016,0.136702076,0.141164315,0.006635239,0.169290595,10.33,0.021,59.33
3/31/2017,0.136545382,0.14277489,0.005919232,0.170488796,9.3,0.024,60.618
6/30/2017,0.135374397,0.143999874,0.006334606,0.172329603,10.06,0.016,62.617
9/30/2017,0.131064477,0.146177475,0.006377143,0.173832257,10.15,0.022,63.72
12/31/2017,0.132116914,0.149063471,0.006020652,0.175888166,9.61,0.021,66.6
3/31/2018,0.137681711,0.155176792,0.006051228,0.177526956,9.49,0.024,64.54
6/30/2018,0.137163885,0.160533616,0.006368753,0.178495843,9.37,0.029,61.49
9/30/2018,0.14206747,0.15535743,-0.005383133,0.158527507,-7.85,0.023,66.33
12/31/2018,0.144072015,0.159399444,0.005683949,0.161903331,8.37,0.019,57.72
3/31/2019,0.137101467,0.15773912,0.006185664,0.165162866,9.39,0.019,63.62
6/30/2019,0.134572626,0.156567037,0.005992953,0.167633133,9.26,0.016,70.71
9/30/2019,0.126260529,0.156699922,0.005536472,0.168027353,7.49,0.017,72.04
12/31/2019,0.125459239,0.160103264,0.006358468,0.174677465,9.1,0.023,71.33
3/31/2020,0.130082956,0.165483042,0.003792702,0.176525669,5.42,0.015,49.57
6/30/2020,0.121092273,0.158992858,0.005739846,0.179780063,8.11,0.006,55.01
9/30/2020,0.124378017,0.16076764,0.005013215,0.185477828,7.06,0.014,55.74
12/31/2020,0.210831705,0.159572962,0.002411293,0.181926199,3.73,0.014,67.5
3/31/2021,0.234373421,0.164070058,0.003511558,0.180108031,5.48,0.026,74.26
6/30/2021,0.217721161,0.162241555,0.005495142,0.182893418,6.8,0.054,77.405
9/30/2021,0.213812006,0.166506133,0.006610669,0.186919973,10.17,0.054,78.2
12/31/2021,0.210412745,0.169048434,0.003455702,0.194483722,8.69,0.07,83.572
3/31/2022,0.217799976,0.181189072,0.00515405,0.190209314,7.3,0.085,91.22
6/30/2022,0.226770805,0.195719333,0.007709003,0.181687135,10.27,0.091,82.97
9/30/2022,0.233284046,0.208618792,0.011382194,0.165878139,14.65,0.082,79.09
12/31/2022,0.224662709,0.214901307,0.006879916,0.166653947,8.91,0.065,91.4
3/31/2023,0.220908625,0.215141612,0.008000128,0.173894238,10.38,0.05,85.62
6/30/2023,0.221289416,0.222247351,0.008841109,0.175582522,11.19,0.03,87.89
9/30/2023,0.216392294,0.231657076,0.005175548,0.191075969,6.38,0.037,91.65
12/31/2023,0.212471741,0.180728796,0.007555134,0.180042534,9.71,0.034,100.125
3/31/2024,0.211837473,0.188100115,0.008724875,0.195530726,11.01,0.035,117.39
6/30/2024,0.210220166,0.194619947,0.008790536,0.202888717,10.93,0.03,112.92
