Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,5840,6942,11641,12558,19147,12825,15547,18554,20158,23227,22747,30552,21367,21640,26593,20193,24908,31135,27526,25562,28404,34511,34684,38830,31238,38627,44731,48211,64123
Market Cap Growth,,,,18.86%,67.69%,7.88%,52.47%,-33.02%,21.23%,19.34%,8.65%,15.22%,-2.07%,34.31%,-30.06%,1.28%,22.89%,-24.07%,23.35%,25.00%,-11.59%,-7.14%,11.12%,21.50%,0.50%,11.95%,-19.55%,23.65%,15.80%,7.78%,20.33%
Enterprise Value,,323,5985,7229,11863,12960,19617,13180,15480,18911,17774,23325,22970,30454,22147,21916,27510,21229,27219,33489,28150,26183,28905,36309,36125,40503,33996,41532,48230,51269,70711
PE Ratio,,,14.82,11.87,23.90,21.99,27.87,18.67,18.94,24.16,15.92,15.66,15.34,18.70,17.04,14.46,11.42,10.43,8.69,9.86,9.33,10.09,10.68,7.50,11.88,11.75,6.54,9.13,10.13,10.35,12.16
PS Ratio,,,0.82,0.96,1.64,1.45,1.97,1.34,1.52,1.62,1.52,1.62,1.56,1.99,1.29,1.19,1.28,0.91,0.98,1.30,1.21,1.23,1.26,1.59,1.59,1.74,1.41,1.79,2.34,2.58,3.44
PB Ratio,,,2.75,2.02,3.09,3.25,4.08,2.36,2.43,2.79,2.66,2.93,2.73,3.47,3.22,2.57,2.40,1.56,1.56,2.13,1.50,1.44,1.39,1.40,1.48,1.34,0.93,1.16,2.22,2.19,2.48
P/FCF Ratio,,,2.17,2.66,4.66,4.48,5.90,4.50,5.12,5.47,4.49,5.24,5.17,6.56,4.30,3.51,3.81,1.86,1.67,2.95,4.20,3.77,4.74,5.63,5.77,7.12,5.24,7.65,11.53,15.11,21.74
P/OCF Ratio,,,2.17,2.66,4.66,4.48,5.90,4.50,5.12,5.47,4.49,5.24,5.17,6.56,4.30,3.51,3.81,1.86,1.67,2.95,4.20,3.77,4.74,5.63,5.77,7.12,5.24,7.65,11.53,15.11,21.74
EV/Sales Ratio,,0.04,0.84,1.00,1.67,1.50,2.02,1.37,1.51,1.65,1.34,1.62,1.57,1.98,1.34,1.20,1.33,0.96,1.07,1.40,1.24,1.25,1.28,1.68,1.66,1.82,1.54,1.93,2.52,2.74,3.66
EV/EBITDA Ratio,,0.52,8.38,8.22,21.03,16.28,19.03,11.98,12.10,15.50,9.90,10.37,10.06,12.06,11.40,9.50,7.42,6.75,5.97,6.55,5.85,6.31,6.67,8.53,8.59,8.67,7.72,7.63,9.47,9.40,10.88
