Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,50823,76322,101458,167365,228221,207431,150907,172855,171042,177098,186296,147863,4223,4036,7787,44062,52114,75163,78409,76658,67082,53560,34864,44655,32617,47211,46986,47563,50582
Market Cap Growth,,,,50.17%,32.93%,64.96%,36.36%,-9.11%,-27.25%,14.54%,-1.05%,3.54%,5.19%,-20.63%,-97.14%,-4.44%,92.96%,465.84%,18.27%,44.23%,4.32%,-2.23%,-12.49%,-20.16%,-34.91%,28.08%,-26.96%,44.74%,-0.48%,1.23%,18.31%
Enterprise Value,,19797,77324,104202,137538,206333,293330,284282,230789,268493,288024,294706,357138,334668,196739,145643,112690,117841,99463,114615,107868,104278,96126,82838,66531,77149,67324,75176,72122,56629,59584
PE Ratio,,,17.54,20.57,23.69,27.06,34.38,38.68,26.34,21.32,17.38,16.90,13.26,23.85,-0.04,-0.33,3.81,2.22,15.16,8.27,10.41,34.91,-79.01,-8.80,-5810.67,13.43,-5.46,4.57,4.61,13.16,
PS Ratio,,,2.01,2.64,3.18,3.88,4.05,3.36,2.28,2.18,1.75,1.63,1.64,1.43,-0.62,0.05,0.11,0.68,0.73,1.09,1.22,1.31,1.28,1.08,0.74,0.90,0.75,0.91,0.86,1.02,1.19
PB Ratio,,,2.31,3.18,3.37,5.03,4.81,3.98,2.55,2.50,2.15,2.05,1.83,1.54,0.08,0.06,0.09,0.43,0.53,0.75,0.73,0.86,0.88,0.82,0.62,0.68,0.49,0.72,1.15,1.05,1.16
P/FCF Ratio,,,6.61,34.24,20.43,15.25,35.87,45.03,11.48,5.96,6.81,10.51,-1186.60,4.63,-3.69,0.22,0.47,-543.98,14.18,12.82,15.66,26.65,19.16,-6.85,-88.49,-24.71,31.42,7.59,11.37,7.62,7.75
P/OCF Ratio,,,5.31,22.23,13.64,13.24,25.13,23.57,8.29,5.20,5.81,7.56,29.80,4.51,-34.62,0.22,0.47,-543.98,14.18,12.82,15.66,26.65,19.16,-6.85,-88.49,-24.71,31.42,7.59,11.37,7.62,7.75
EV/Sales Ratio,,0.85,3.06,3.61,4.31,4.78,5.21,4.60,3.49,3.38,2.95,2.71,3.15,3.23,-28.76,1.93,1.55,1.81,1.40,1.66,1.67,1.79,1.84,1.67,1.40,1.55,1.54,1.44,1.32,1.21,1.30
EV/EBITDA Ratio,,4.71,16.05,17.02,19.60,20.33,27.03,31.11,24.73,19.85,17.69,17.40,12.84,12.19,-2.45,10.41,3.79,11.04,8.09,7.03,6.49,11.38,20.51,12.78,9.76,7.05,-36.85,4.03,3.84,6.31,6.62
EV/EBIT Ratio,,5.71,19.27,19.90,22.67,22.88,30.52,36.91,30.18,23.02,20.22,20.00,14.73,27.39,-2.11,75.86,4.74,35.69,20.10,9.89,8.86,22.99,161.29,31.74,45.66,13.01,-11.32,5.33,5.02,11.90,11.77
EV/FCF Ratio,,4.33,10.06,46.75,27.70,18.80,46.11,61.72,17.56,9.26,11.46,17.49,-2274.76,10.48,-171.82,7.84,6.79,-1454.83,27.06,19.54,21.54,36.25,27.45,-10.60,-168.86,-42.69,64.86,12.08,17.45,9.07,9.05
Debt / Equity Ratio,,1.00,1.20,1.17,1.21,1.17,1.38,1.49,1.37,1.39,1.49,1.38,1.70,1.97,3.82,2.09,1.25,0.74,0.49,0.41,0.29,0.33,0.41,0.49,0.61,0.54,0.57,0.46,0.66,0.23,0.22
Debt / EBITDA Ratio,,4.73,5.51,4.57,5.18,3.85,6.05,8.49,8.68,7.14,7.31,7.06,6.20,6.89,-2.50,10.43,3.58,7.05,3.94,2.56,1.88,3.19,6.60,4.88,5.07,3.23,-20.54,1.62,1.45,1.18,2.20
Debt / FCF Ratio,,4.35,3.46,12.55,7.33,3.56,10.32,16.84,6.17,3.33,4.74,7.09,-1098.29,5.92,-175.68,7.86,6.41,-929.05,13.19,7.11,6.23,10.17,8.83,-4.05,-87.66,-19.56,36.16,4.85,6.57,1.70,1.51
Interest Coverage,,,,,,,,,,,,,6.63,2.57,-5.94,0.13,3.53,1.35,2.13,5.41,7.09,3.54,0.47,2.23,1.11,4.19,-4.08,10.81,12.78,4.19,0.89
Asset Turnover,,,0.18,0.18,0.17,0.17,0.18,0.15,0.12,0.13,0.13,0.13,0.12,0.10,-0.01,0.09,0.09,0.11,0.13,0.13,0.12,0.12,0.10,0.10,0.10,0.10,0.08,0.09,0.10,0.09,0.09
Return on Equity (ROE),,,13.80%,15.90%,16.10%,19.30%,17.40%,11.50%,10.20%,12.10%,12.90%,12.10%,15.00%,6.10%,-141.60%,-19.90%,2.60%,21.70%,3.40%,9.20%,7.00%,2.20%,-1.00%,-8.50%,0.00%,5.20%,-9.40%,15.90%,22.50%,8.40%,-1.60%
Return on Assets (ROA),,,2.10%,2.40%,2.20%,2.40%,2.10%,1.30%,1.10%,1.30%,1.30%,1.20%,1.50%,0.60%,-10.00%,-1.50%,0.30%,3.40%,0.60%,1.70%,1.40%,0.40%,-0.20%,-1.20%,0.00%,0.60%,-1.10%,1.70%,1.90%,0.70%,-0.20%
Return on Capital (ROIC),,5.70%,5.24%,6.16%,5.63%,7.29%,6.12%,4.37%,4.17%,4.99%,5.16%,5.26%,6.31%,3.76%,-34.39%,0.02%,8.33%,60.51%,4.68%,8.23%,7.56%,3.02%,1.18%,-11.46%,-0.07%,5.00%,-5.61%,12.67%,17.81%,8.91%,10.65%
Earnings Yield,,,5.70%,4.86%,4.22%,3.70%,2.91%,2.59%,3.80%,4.69%,5.75%,5.92%,7.54%,4.19%,-2360.51%,-303.41%,26.27%,44.96%,6.60%,12.09%,9.60%,2.86%,-1.27%,-11.36%,-0.02%,7.45%,-18.31%,21.90%,21.70%,7.60%,-1.33%
FCF Yield,,,15.12%,2.92%,4.89%,6.56%,2.79%,2.22%,8.71%,16.77%,14.69%,9.52%,-0.08%,21.60%,-27.11%,460.51%,213.14%,-0.18%,7.05%,7.80%,6.39%,3.75%,5.22%,-14.60%,-1.13%,-4.05%,3.18%,13.18%,8.80%,13.13%,12.91%
Dividend Yield,0.40%,0.30%,0.40%,0.30%,0.20%,0.20%,0.10%,0.20%,0.30%,1.00%,0.40%,0.80%,0.90%,1.30%,39.50%,0.00%,0.00%,35.70%,0.00%,0.40%,0.90%,1.30%,2.00%,2.10%,3.20%,2.50%,3.40%,2.30%,2.00%,2.10%,2.04%
Payout Ratio,6.30%,6.10%,7.40%,6.20%,6.00%,5.30%,5.50%,7.70%,8.10%,20.90%,7.40%,13.60%,11.70%,30.40%,-1.60%,0.00%,0.00%,75.20%,0.00%,3.20%,9.50%,47.90%,-164.10%,-19.60%,-12800.00%,33.80%,-18.60%,10.60%,9.80%,27.90%,-115.60%
Buyback Yield / Dilution,,0.18%,0.59%,-15.94%,-0.78%,-13.69%,0.45%,-0.45%,0.26%,0.23%,0.15%,0.38%,0.15%,0.95%,-1.40%,-2.74%,-0.98%,-1216.84%,6.24%,12.21%,2.27%,7.81%,18.24%,14.71%,2.19%,2.27%,2.27%,0.51%,8.90%,7.96%,8.09%
Total Shareholder Return,0.40%,0.48%,0.99%,-15.64%,-0.58%,-13.49%,0.55%,-0.25%,0.56%,1.23%,0.55%,1.18%,1.05%,2.25%,38.10%,-2.74%,-0.98%,-1181.14%,6.24%,12.61%,3.17%,9.11%,20.24%,16.81%,5.39%,4.77%,5.67%,2.81%,10.90%,10.06%,10.13%
