Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,516,568,763,1190,2504,2921,2585,2926,3003,2940,2899,2271,2461,2292,3083,3775,4310,6173,7597,7234,9246,11441,13535,17763,23792,35169,39752,48552,63377
Market Cap Growth,,,,10.01%,34.28%,55.98%,110.50%,16.67%,-11.53%,13.22%,2.62%,-2.11%,-1.39%,-21.64%,8.37%,-6.90%,34.52%,22.45%,14.18%,43.23%,23.07%,-4.79%,27.81%,23.74%,18.30%,31.23%,33.95%,47.82%,13.03%,22.14%,20.44%
Enterprise Value,,-200,319,343,550,924,2152,2699,2256,2416,2445,2173,2088,1807,2248,2113,2783,3476,4010,6303,8308,7795,10156,12269,14909,20086,25083,37295,45428,55897,70933
PE Ratio,,,11.35,9.86,13.00,14.29,26.94,23.32,19.90,20.02,15.93,95.45,22.56,16.36,31.84,17.82,17.71,26.20,22.10,22.98,25.04,20.27,23.30,23.77,21.37,26.56,29.06,38.78,35.68,50.08,56.22
PS Ratio,,,1.05,1.08,1.26,1.67,3.13,3.29,2.44,2.40,2.09,2.06,1.97,1.40,1.50,1.33,1.65,1.77,1.71,1.94,1.64,1.34,1.63,1.83,1.95,2.47,3.40,4.28,4.65,4.82,6.07
PB Ratio,,,3.86,3.31,3.71,4.76,7.61,7.86,4.89,4.73,3.95,3.82,3.36,3.18,3.33,2.57,2.79,3.04,2.60,2.96,2.35,1.99,2.57,2.70,3.01,3.45,3.85,4.13,4.35,4.51,5.50
P/FCF Ratio,,,14.21,9.39,16.70,15.85,16.83,29.21,24.78,14.37,12.10,17.71,40.43,10.73,19.14,12.19,15.08,15.85,14.76,22.13,21.40,12.32,21.41,15.78,21.13,16.88,13.93,27.83,32.93,26.41,27.30
P/OCF Ratio,,,11.01,7.81,12.79,12.77,14.78,22.22,17.27,12.78,10.83,15.52,27.69,9.00,15.33,10.83,13.43,13.29,12.57,16.57,17.40,10.54,14.23,13.39,17.69,14.91,13.17,25.26,28.60,23.90,25.49
EV/Sales Ratio,,-0.45,0.65,0.65,0.91,1.30,2.69,3.04,2.13,1.98,1.70,1.52,1.42,1.11,1.37,1.22,1.49,1.63,1.59,1.98,1.80,1.45,1.79,1.96,2.15,2.79,3.58,4.54,5.31,5.55,6.83
EV/EBITDA Ratio,,-2.55,4.01,3.52,5.48,6.39,14.05,15.39,9.92,9.98,8.17,30.92,9.51,6.64,9.16,6.59,8.15,9.55,9.35,12.51,13.50,11.16,13.35,14.71,14.99,16.29,15.77,21.69,20.82,25.62,21.63
EV/EBIT Ratio,,-2.94,4.66,4.00,6.32,7.28,16.09,17.72,11.57,12.02,9.95,134.16,12.80,9.02,14.22,8.99,11.20,13.98,13.91,19.39,23.31,21.40,24.78,27.37,25.91,26.47,24.40,32.35,28.71,37.63,28.36
EV/FCF Ratio,,-5.21,8.77,5.67,12.04,12.32,14.46,26.99,21.63,11.86,9.85,13.09,29.12,8.54,17.48,11.24,13.62,14.60,13.73,22.60,23.40,13.28,23.52,16.92,23.27,19.09,14.69,29.51,37.63,30.41,30.40
