Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,25521,38808,31589,19378,31856,24029,26002,30268,35491,35072,40690,29809,17558,16116,17157,13852,19402,24807,29465,24048,27294,37573,28461,36429,33426,33727,35962,36631,51560
Market Cap Growth,,,,52.06%,-18.60%,-38.66%,64.39%,-24.57%,8.21%,16.40%,17.26%,-1.18%,16.02%,-26.74%,-41.10%,-8.21%,6.46%,-19.27%,40.07%,27.86%,18.78%,-18.39%,13.50%,37.66%,-24.25%,27.99%,-8.24%,0.90%,6.63%,1.86%,47.02%
Enterprise Value,,1138,26791,40284,33077,21975,34965,27687,29780,34978,40411,40059,44909,35027,22802,21414,22503,18984,24653,30333,33948,28677,33205,43306,34413,42722,40940,40940,43190,43851,61063
PE Ratio,,,12.30,12.50,9.59,7.12,14.41,20.75,22.93,11.19,11.16,19.87,8.15,6.43,-10.46,18.87,18.83,17.60,8.41,10.96,10.73,11.70,15.50,10.93,14.15,7.79,6.12,22.49,-25.80,-115.92,17.77
PS Ratio,,,1.05,1.56,1.22,0.72,1.09,0.83,0.88,0.94,1.05,0.99,1.14,0.81,0.60,0.50,0.55,0.42,0.58,0.72,0.84,0.67,0.73,0.95,0.72,0.88,0.80,0.67,0.70,0.64,0.85
PB Ratio,,,1.90,2.49,1.83,1.17,1.83,1.40,1.49,1.47,1.63,1.74,1.86,1.36,1.39,0.97,0.90,0.76,0.94,1.16,1.32,1.20,1.33,1.67,1.34,1.40,1.11,1.34,2.06,2.06,3.11
P/FCF Ratio,,,8.77,12.16,11.69,9.43,22.26,11.45,6.22,5.48,6.74,6.48,8.31,5.78,4.85,3.92,4.86,8.23,7.01,6.15,9.99,7.26,7.42,9.36,5.81,7.76,6.45,7.07,7.32,9.19,8.24
P/OCF Ratio,,,8.41,11.61,10.93,8.55,18.40,10.52,5.89,5.32,6.49,6.26,8.05,5.49,4.49,3.75,4.65,7.18,6.35,5.85,9.11,6.65,6.84,8.71,5.50,7.10,6.09,6.59,7.02,8.66,7.96
EV/Sales Ratio,,0.05,1.10,1.61,1.28,0.82,1.20,0.96,1.01,1.09,1.19,1.13,1.25,0.95,0.78,0.67,0.72,0.58,0.74,0.88,0.96,0.80,0.89,1.10,0.86,1.03,0.98,0.81,0.84,0.77,1.01
EV/EBITDA Ratio,,0.45,9.67,8.94,6.87,5.52,10.97,20.17,21.05,9.15,8.57,17.04,6.11,5.21,-7.48,13.82,14.42,12.03,6.06,7.34,6.89,7.27,9.68,8.07,9.91,6.16,5.15,9.47,-72.59,57.70,12.63
EV/EBIT Ratio,,0.44,9.61,8.89,6.84,5.50,10.81,18.72,20.16,9.14,8.56,16.57,5.96,5.01,-8.53,13.06,15.34,14.32,6.70,8.06,7.45,8.02,10.89,8.87,11.63,6.79,5.63,12.65,-29.95,783.05,14.44
EV/FCF Ratio,,0.43,9.21,12.62,12.24,10.69,24.43,13.19,7.13,6.33,7.67,7.41,9.18,6.79,6.30,5.21,6.38,11.28,8.90,7.52,11.52,8.66,9.02,10.79,7.03,9.10,7.90,8.58,8.80,11.00,9.75
