Year Ending,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,526,995,1725,2204,2239,3012,4245,3948,3307,2957,2552,3415,3245,3662,4565,4731,4525,6290,7174,7695,11123,13467,19849,16135,20238,30349
Market Cap Growth,,,,89.38%,73.32%,27.73%,1.58%,34.53%,40.97%,-6.99%,-16.25%,-10.57%,-13.69%,33.80%,-4.99%,12.85%,24.67%,3.64%,-4.36%,39.00%,14.05%,7.27%,44.55%,21.07%,47.39%,-18.71%,25.43%,30.62%
Enterprise Value,,-21,491,939,1757,2117,2124,2916,4182,3859,3250,2986,2459,3262,3071,3719,4581,5189,4983,6567,7301,8412,11871,14446,21346,19611,23502,33739
PE Ratio,,,18.59,30.35,32.00,26.51,20.29,23.37,28.20,22.91,17.32,17.80,16.65,21.11,19.79,19.90,21.03,22.87,18.60,24.43,17.95,22.35,27.91,28.03,33.81,24.02,23.25,30.65
PS Ratio,,,2.21,3.75,4.73,4.84,4.06,4.66,5.40,4.50,3.45,3.03,2.64,3.51,3.20,3.05,3.35,3.00,2.73,3.56,3.81,3.82,4.65,5.15,6.51,4.51,4.75,6.74
PB Ratio,,,5.10,8.41,9.84,5.63,4.50,4.82,5.55,4.25,3.01,2.38,1.86,2.27,1.97,2.03,2.27,2.24,2.11,2.67,2.78,2.57,3.32,3.59,4.73,3.50,3.63,5.06
P/FCF Ratio,,,13.12,25.88,28.50,32.52,16.99,18.10,20.81,18.66,17.28,8.90,12.06,11.89,14.26,17.40,12.05,12.66,12.10,15.79,17.00,14.49,17.75,20.66,25.43,18.15,19.33,33.46
P/OCF Ratio,,,11.89,23.55,24.67,31.43,15.68,17.69,19.74,17.53,15.36,8.65,11.52,11.53,13.66,16.62,11.72,12.29,11.85,15.30,16.23,13.56,16.40,18.89,24.54,18.31,20.05,30.67
EV/Sales Ratio,,-0.12,2.07,3.54,4.81,4.65,3.86,4.51,5.32,4.40,3.39,3.05,2.54,3.35,3.03,3.10,3.36,3.29,3.00,3.72,3.88,4.18,4.96,5.53,7.00,5.49,5.52,7.58
EV/EBITDA Ratio,,-0.43,7.90,13.50,15.04,13.37,10.32,11.89,13.85,11.31,8.59,8.60,7.40,9.47,8.73,9.30,9.97,10.99,9.06,11.51,12.25,13.73,16.53,17.66,21.77,16.30,15.24,22.53
EV/EBIT Ratio,,-0.54,10.24,17.33,18.61,15.45,11.80,13.62,16.17,13.15,9.99,10.40,9.13,11.63,10.79,11.59,12.25,14.09,11.28,14.18,14.96,16.72,20.13,21.15,25.79,19.28,17.59,26.21
EV/FCF Ratio,,-0.71,12.26,24.42,29.03,31.24,16.12,17.53,20.50,18.24,16.98,8.99,11.62,11.36,13.49,17.68,12.09,13.88,13.32,16.49,17.31,15.84,18.94,22.16,27.35,22.05,22.44,37.01
Debt / Equity Ratio,,0.27,0.09,0.13,0.57,0.22,0.12,0.39,0.35,0.26,0.22,0.21,0.20,0.17,0.15,0.25,0.24,0.57,0.53,0.45,0.38,0.50,0.51,0.60,0.52,0.90,0.71,0.71
Debt / EBITDA Ratio,,0.45,0.14,0.22,0.85,0.54,0.29,0.99,0.89,0.72,0.63,0.75,0.80,0.73,0.71,1.13,1.04,2.54,2.08,1.88,1.64,2.46,2.40,2.77,2.25,3.44,2.58,2.52
Debt / FCF Ratio,,0.74,0.22,0.39,1.64,1.25,0.45,1.46,1.32,1.15,1.25,0.78,1.26,0.88,1.10,2.14,1.27,3.21,3.06,2.70,2.31,2.84,2.75,3.48,2.82,4.65,3.80,4.02
Interest Coverage,32.81,54.03,35.27,42.82,16.56,29.42,49.70,29.92,17.87,21.97,23.57,19.55,18.45,19.39,20.14,19.94,22.75,12.96,11.26,11.73,12.74,12.40,9.26,11.58,12.74,7.20,7.03,7.78
Quick Ratio,,0.94,0.88,0.89,0.74,1.08,1.06,1.40,1.01,1.04,0.96,0.91,1.19,1.32,1.38,1.22,0.95,1.18,1.10,1.17,1.10,1.14,1.15,1.19,0.89,0.74,0.65,0.72
Current Ratio,,1.02,0.95,0.94,0.78,1.14,1.14,1.48,1.06,1.10,1.06,1.00,1.28,1.39,1.47,1.34,1.02,1.24,1.16,1.20,1.13,1.22,1.22,1.26,1.25,1.09,1.03,1.13
Asset Turnover,,,1.00,0.98,0.90,0.63,0.66,0.59,0.52,0.50,0.51,0.47,0.44,0.42,0.40,0.39,0.40,0.34,0.33,0.34,0.32,0.34,0.33,0.31,0.32,0.28,0.30,0.30
Return on Equity (ROE),,,30.30%,28.50%,36.70%,22.60%,24.00%,22.20%,21.10%,19.80%,18.30%,13.90%,11.50%,11.10%,10.30%,10.50%,11.20%,9.90%,11.40%,11.30%,16.10%,11.90%,12.30%,13.20%,14.60%,15.30%,16.80%,17.60%
Return on Assets (ROA),,,11.90%,12.10%,13.30%,11.60%,13.30%,11.70%,9.90%,9.80%,10.10%,8.00%,6.90%,6.90%,6.50%,5.90%,6.30%,4.50%,4.90%,4.90%,6.80%,5.80%,5.40%,5.70%,6.20%,5.30%,6.20%,6.70%
Return on Capital (ROIC),,22.64%,26.51%,25.69%,21.30%,18.36%,20.18%,15.37%,15.42%,15.38%,14.92%,11.66%,9.90%,9.64%,9.03%,8.62%,9.19%,6.95%,8.16%,8.36%,12.42%,8.36%,8.79%,8.67%,10.44%,8.58%,10.80%,11.24%
Earnings Yield,,,5.38%,3.29%,3.13%,3.77%,4.93%,4.28%,3.55%,4.36%,5.77%,5.62%,6.01%,4.74%,5.05%,5.03%,4.76%,4.37%,5.38%,4.09%,5.57%,4.47%,3.58%,3.57%,2.96%,4.16%,4.30%,3.22%
FCF Yield,,,7.62%,3.86%,3.51%,3.07%,5.89%,5.52%,4.81%,5.36%,5.79%,11.24%,8.29%,8.41%,7.01%,5.75%,8.30%,7.90%,8.27%,6.33%,5.88%,6.90%,5.63%,4.84%,3.93%,5.51%,5.17%,2.99%
Dividend Yield,0.10%,0.10%,0.20%,0.10%,0.10%,0.30%,0.40%,0.30%,0.30%,0.70%,1.10%,1.40%,1.70%,1.30%,1.40%,1.40%,1.20%,1.20%,1.40%,1.10%,1.10%,1.10%,0.80%,0.70%,0.50%,0.70%,0.70%,0.49%
Payout Ratio,2.30%,2.90%,3.50%,3.80%,4.70%,8.10%,7.40%,7.70%,7.90%,17.10%,18.40%,24.20%,28.00%,27.50%,28.30%,27.00%,24.70%,28.70%,26.30%,27.40%,19.40%,24.60%,22.90%,20.50%,18.30%,17.70%,15.50%,14.98%
Buyback Yield / Dilution,,-4.04%,-8.62%,-0.71%,-1.82%,-7.63%,-1.26%,-0.79%,-0.64%,-0.89%,3.31%,-0.39%,-0.46%,-1.32%,-0.68%,-1.24%,-0.43%,-0.19%,-0.02%,0.54%,0.57%,-0.14%,-0.91%,-0.82%,0.57%,-0.28%,-0.49%,-1.04%
Total Shareholder Return,0.10%,-3.94%,-8.42%,-0.61%,-1.72%,-7.33%,-0.86%,-0.49%,-0.34%,-0.19%,4.41%,1.01%,1.24%,-0.02%,0.72%,0.16%,0.77%,1.01%,1.38%,1.64%,1.67%,0.96%,-0.11%,-0.12%,1.07%,0.42%,0.21%,-0.55%
