Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,3589,7727,6115,5118,6364,6162,6064,6698,7438,7806,7850,6564,4720,4269,5157,4937,6371,8580,8474,9695,12480,12300,12599,17179,14058,18359,16094,16234,22092
Market Cap Growth,,,,115.29%,-20.86%,-16.30%,24.34%,-3.17%,-1.59%,10.45%,11.05%,4.95%,0.56%,-16.39%,-28.08%,-9.56%,20.80%,-4.27%,29.04%,34.67%,-1.24%,14.41%,28.72%,-1.44%,2.43%,36.35%,-18.17%,30.60%,-12.34%,0.87%,20.85%
Enterprise Value,,281,3871,7986,6528,5353,6923,6723,6555,7210,7923,8478,8488,7198,4551,4551,5628,5424,6815,9086,8754,10007,12549,12494,12681,17297,14057,18117,15721,16201,22180
PE Ratio,,,16.04,25.81,25.32,20.07,53.94,31.93,25.48,17.91,12.74,12.97,8.44,7.68,11.00,9.88,13.75,30.10,15.13,16.60,16.14,15.29,21.12,11.77,43.90,8.60,11.56,6.19,-33.05,8.81,10.37
PS Ratio,,,1.98,3.98,2.98,2.40,2.73,2.41,2.13,2.11,2.06,2.07,1.73,1.54,1.23,1.09,1.37,1.30,1.55,1.89,1.71,1.89,2.29,2.15,2.33,2.17,1.87,1.91,2.45,1.62,2.08
PB Ratio,,,1.14,1.64,1.09,0.94,1.06,1.03,1.08,1.08,1.19,1.28,1.15,1.11,1.13,0.90,1.02,0.98,1.17,1.41,1.29,1.51,1.77,1.49,1.61,1.74,1.30,1.40,1.52,1.34,1.73
P/FCF Ratio,,,12.35,18.82,27.08,8.60,20.27,11.67,9.47,8.61,9.41,10.26,13.94,10.34,10.54,8.84,10.03,20.57,10.08,10.87,9.81,9.10,11.32,11.87,10.85,14.51,9.56,9.34,7.90,7.98,9.60
P/OCF Ratio,,,11.64,18.10,22.35,7.34,17.78,11.35,9.09,8.21,9.04,9.70,12.76,9.31,9.75,8.13,9.71,19.99,9.99,10.78,9.71,9.02,11.19,11.69,10.67,14.22,9.43,9.27,7.84,7.91,9.51
EV/Sales Ratio,,0.17,2.14,4.11,3.18,2.52,2.97,2.63,2.31,2.27,2.19,2.25,1.87,1.69,1.19,1.17,1.49,1.43,1.66,2.01,1.77,1.95,2.30,2.18,2.35,2.18,1.87,1.88,2.40,1.62,2.08
EV/EBITDA Ratio,,0.87,12.50,18.72,18.82,14.43,42.22,23.59,19.51,13.25,9.15,9.35,5.98,5.62,7.28,6.74,9.49,20.16,10.26,11.11,10.61,10.15,13.74,14.91,34.55,6.66,8.46,4.68,-30.59,6.63,7.79
EV/EBIT Ratio,,0.90,12.80,19.23,19.48,15.08,47.42,25.86,20.88,14.03,9.45,9.70,6.14,5.79,7.68,7.14,10.20,23.89,10.99,11.83,11.31,10.71,14.51,15.96,41.71,6.85,9.05,4.83,-24.53,6.95,8.11
EV/FCF Ratio,,0.74,13.32,19.46,28.91,9.00,22.05,12.73,10.24,9.27,10.03,11.14,15.08,11.33,10.16,9.42,10.95,22.60,10.78,11.52,10.13,9.40,11.39,12.06,10.92,14.61,9.56,9.22,7.72,7.96,9.64
Debt / Equity Ratio,,0.11,0.11,0.07,0.08,0.11,0.10,0.10,0.11,0.10,0.13,0.13,0.12,0.15,0.20,0.18,0.17,0.18,0.17,0.15,0.13,0.13,0.12,0.10,0.11,0.09,0.08,0.07,0.08,0.07,0.07
Debt / EBITDA Ratio,,0.93,1.10,0.79,1.36,1.55,3.77,2.14,1.79,1.11,0.91,0.87,0.59,0.67,1.34,1.24,1.44,3.44,1.40,1.15,1.06,0.87,0.93,1.02,2.36,0.34,0.54,0.23,-1.73,0.36,0.31
