Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,6612,7898,7402,7180,7101,6522,5724,5389,6847,8378,10924,9160,4423,6457,7282,7203,7546,11568,10450,9500,11225,14386,11983,12165,10573,11962,11453,11461,13731
Market Cap Growth,,,,19.44%,-6.28%,-2.99%,-1.10%,-8.15%,-12.23%,-5.86%,27.05%,22.36%,30.39%,-16.14%,-51.72%,45.99%,12.79%,-1.09%,4.76%,53.30%,-9.66%,-9.09%,18.17%,28.16%,-16.70%,1.52%,-13.08%,13.13%,-4.25%,0.06%,19.48%
Enterprise Value,,3578,9220,10412,10345,9908,9667,8947,7890,7154,9009,9972,12996,11223,6396,8620,9856,9736,9960,13933,12819,11673,13664,16889,14353,14602,12930,14205,13759,14147,16336
PE Ratio,,,6.85,8.18,26.25,-55.23,6.01,-3.97,33.48,-3.80,16.11,31.73,9.86,10.76,-13.91,21.74,11.84,11.77,12.02,12.35,15.12,19.83,13.07,16.00,14.74,12.17,15.32,10.10,16.79,9.51,10.79
PS Ratio,,,0.39,0.46,0.43,0.44,0.46,0.50,0.47,0.46,0.69,0.85,1.05,0.93,0.57,0.76,0.79,0.81,0.81,1.17,1.08,1.04,1.20,1.51,1.18,1.13,0.98,1.00,0.96,0.86,1.00
PB Ratio,,,0.94,0.95,0.81,0.81,0.74,0.80,0.61,0.60,0.76,0.94,1.12,0.90,0.64,0.61,0.67,0.63,0.61,0.91,0.82,0.81,0.94,1.18,1.07,1.00,0.83,0.93,1.34,1.16,1.39
P/FCF Ratio,,,15.93,-16.70,-6.94,-2.34,-4.74,-14.21,6.01,2.73,3.55,3.94,5.16,8.49,3.04,5.40,-51.28,4.45,6.53,10.39,7.63,7.53,8.15,12.49,10.62,10.92,6.03,6.07,4.67,5.22,5.77
P/OCF Ratio,,,10.67,-40.92,-9.18,-2.54,-5.28,-10.89,5.50,2.64,3.48,3.86,4.86,7.39,2.84,5.13,-81.82,4.23,6.04,9.61,7.26,6.85,7.93,11.47,9.77,10.67,5.96,5.99,4.58,5.02,5.57
EV/Sales Ratio,,0.24,0.54,0.61,0.60,0.60,0.63,0.68,0.64,0.61,0.91,1.01,1.25,1.14,0.82,1.02,1.07,1.09,1.06,1.40,1.32,1.28,1.46,1.77,1.42,1.36,1.20,1.19,1.16,1.06,1.18
EV/EBITDA Ratio,,2.66,5.40,5.97,12.82,51.61,4.57,-4.31,16.20,-3.40,13.75,29.59,7.40,8.18,-16.07,12.49,7.83,8.79,8.57,8.90,10.05,14.81,9.95,10.83,12.15,10.27,12.89,8.72,14.08,8.23,8.92
EV/EBIT Ratio,,2.92,5.97,6.69,18.88,-619.28,4.99,-4.01,20.28,-3.26,15.53,35.24,7.61,8.58,-13.44,14.27,8.35,9.46,9.60,9.52,10.74,16.58,10.54,11.48,13.02,10.78,13.71,9.02,14.86,8.60,9.32
EV/FCF Ratio,,4.78,22.22,-22.01,-9.69,-3.22,-6.46,-19.49,8.29,3.63,4.68,4.69,6.13,10.40,4.40,7.21,-69.41,6.02,8.62,12.52,9.36,9.25,9.92,14.66,12.72,13.11,7.38,7.21,5.62,6.44,6.86
Debt / Equity Ratio,,0.56,0.41,0.35,0.35,0.32,0.28,0.32,0.24,0.21,0.25,0.19,0.22,0.21,0.30,0.22,0.24,0.23,0.21,0.20,0.20,0.22,0.23,0.23,0.24,0.22,0.22,0.22,0.33,0.31,0.30
Debt / EBITDA Ratio,,2.83,1.68,1.66,3.92,15.01,1.29,-1.24,4.71,-0.90,3.45,5.01,1.23,1.57,-5.17,3.34,2.11,2.35,2.21,1.64,2.01,3.25,1.97,1.83,2.27,1.88,2.77,1.71,2.85,1.76,1.62
Debt / FCF Ratio,,5.07,6.90,-6.12,-2.96,-0.94,-1.82,-5.59,2.41,0.97,1.17,0.80,1.02,2.00,1.42,1.93,-18.67,1.61,2.22,2.30,1.87,2.03,1.97,2.48,2.38,2.40,1.58,1.41,1.14,1.38,1.25
Interest Coverage,-0.90,6.73,7.73,7.86,2.50,-0.08,9.41,-14.20,2.59,-16.87,4.68,2.28,13.04,9.34,-3.55,4.72,7.52,5.88,6.10,8.82,6.52,4.54,8.15,9.14,7.99,10.34,7.73,13.94,8.27,12.95,12.79
Asset Turnover,,,0.28,0.28,0.27,0.26,0.24,0.20,0.19,0.18,0.16,0.16,0.17,0.17,0.14,0.16,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.21,0.22
Return on Equity (ROE),,,14.00%,12.70%,3.20%,-1.40%,12.90%,-19.10%,2.00%,-15.30%,4.80%,2.80%,12.00%,8.40%,-3.80%,3.20%,5.30%,5.30%,5.10%,7.60%,5.40%,3.90%,7.20%,7.50%,7.10%,8.40%,5.90%,9.40%,7.40%,13.40%,13.50%
Return on Assets (ROA),,,1.60%,1.60%,0.50%,-0.20%,1.90%,-2.50%,0.30%,-2.10%,0.70%,0.40%,1.90%,1.40%,-0.60%,0.50%,1.10%,1.10%,1.10%,1.60%,1.20%,0.90%,1.50%,1.60%,1.40%,1.70%,1.10%,1.80%,1.10%,1.90%,2.00%
Return on Capital (ROIC),,8.44%,11.23%,9.94%,3.95%,1.62%,10.81%,-20.19%,3.16%,-20.34%,5.21%,4.46%,10.49%,8.06%,-4.79%,4.54%,6.30%,5.32%,5.01%,6.84%,6.19%,4.29%,6.67%,6.68%,6.69%,7.43%,5.12%,8.18%,6.85%,10.10%,10.81%
Earnings Yield,,,14.59%,12.23%,3.81%,-1.81%,16.64%,-25.18%,2.99%,-26.29%,6.21%,3.15%,10.14%,9.29%,-7.19%,4.60%,8.45%,8.50%,8.32%,8.10%,6.61%,5.04%,7.65%,6.25%,6.78%,8.22%,6.53%,9.90%,5.95%,10.51%,9.32%
FCF Yield,,,6.28%,-5.99%,-14.42%,-42.80%,-21.08%,-7.04%,16.63%,36.61%,28.14%,25.35%,19.40%,11.78%,32.88%,18.51%,-1.95%,22.46%,15.32%,9.62%,13.10%,13.28%,12.27%,8.01%,9.41%,9.16%,16.57%,16.48%,21.39%,19.15%,17.34%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,2.70%,0.00%,0.00%,1.50%,2.10%,1.90%,5.20%,2.80%,7.20%,5.80%,7.50%,7.60%,8.90%,5.10%,8.50%,6.80%,3.47%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.20%,-38.10%,0.00%,0.00%,17.60%,25.80%,23.00%,78.10%,56.50%,94.30%,93.40%,110.40%,92.40%,137.00%,52.10%,143.40%,64.90%,37.45%
Buyback Yield / Dilution,,,,,0.27%,0.38%,0.33%,-5.66%,-15.26%,-1.52%,-12.78%,,-2.46%,-3.62%,0.88%,0.11%,-0.15%,-0.04%,-0.07%,-0.15%,-0.15%,-0.04%,-0.15%,-0.37%,-0.15%,-0.04%,0.04%,-0.15%,0.11%,0.11%,-0.09%
Total Shareholder Return,,,,,0.27%,0.38%,0.33%,-5.66%,-15.26%,-1.52%,-12.78%,,-2.46%,-2.62%,3.58%,0.11%,-0.15%,1.46%,2.03%,1.75%,5.05%,2.76%,7.05%,5.43%,7.35%,7.56%,8.94%,4.95%,8.61%,6.91%,3.40%
