Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,,,,,,,,205.77,304.09,424.22,493.31,434.00,427.77,395.99,370.27,361.82,359.98,417.51,430.38,395.30,468.61,474.55,387.04,425.09,418.89,447.70,461.05,465.11,498.24
Market Cap Growth,,,,,,,,,,,47.78%,39.51%,16.29%,-12.02%,-1.44%,-7.43%,-6.50%,-2.28%,-0.51%,15.98%,3.08%,-8.15%,18.55%,1.27%,-18.44%,9.83%,-1.46%,6.88%,2.98%,0.88%,-9.46%
Enterprise Value,,3.25,4.80,7.09,29.27,33.08,34.82,23.52,18.68,225.64,327.67,451.34,523.71,460.64,441.40,398.53,410.01,423.54,412.64,452.87,453.30,453.16,518.02,500.72,399.44,415.77,405.80,424.99,470.92,476.31,500.76
PE Ratio,,,,,,,,,,11.25,9.62,11.48,12.27,11.34,16.75,21.03,32.29,798.81,15.59,15.86,29.60,18.83,15.21,66.69,-11.81,9.02,7.93,17.73,-235.30,105.10,67.61
PS Ratio,,,,,,,,,,0.96,1.06,1.33,1.50,1.27,1.15,1.02,0.91,0.76,0.70,0.76,0.73,0.62,0.68,0.64,0.50,0.52,0.54,0.55,0.54,0.50,0.52
PB Ratio,,,,,,,,,,0.99,1.25,1.53,1.54,1.23,1.18,1.03,0.97,0.94,0.90,1.05,1.03,0.97,1.07,1.06,0.97,0.94,0.81,0.84,0.95,0.97,1.03
P/FCF Ratio,,,,,,,,,,6.72,9.08,8.80,14.99,17.04,8.28,11.94,17.34,17.36,14.86,9.33,10.15,5.81,7.86,5.94,6.08,5.58,4.15,5.74,6.87,16.27,11.84
P/OCF Ratio,,,,,,,,,,6.64,8.94,8.67,14.62,16.17,8.09,11.61,16.83,17.16,14.42,9.07,9.67,5.80,7.81,5.86,6.07,5.57,4.14,5.83,6.87,16.25,11.84
EV/Sales Ratio,,0.03,0.04,0.06,0.22,0.20,0.20,0.13,0.09,1.05,1.14,1.41,1.59,1.35,1.19,1.03,1.00,0.89,0.80,0.83,0.77,0.71,0.75,0.68,0.52,0.51,0.52,0.52,0.56,0.51,0.52
EV/EBITDA Ratio,,0.26,0.42,0.46,2.17,5.12,2.17,2.25,0.99,7.99,7.03,7.83,8.43,7.92,12.15,15.96,29.74,-837.09,12.08,12.11,21.26,12.79,10.45,25.27,-10.16,6.47,5.70,11.46,258.18,47.59,37.29
