Year Ending,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,,4225,4163,3151,3760,3101,3105,3491,5307,8103,9574,9622,9235,10719,8653,12475,11480,14847,10238,13886,16998
Market Cap Growth,,,,,-1.48%,-24.30%,19.31%,-17.51%,0.13%,12.44%,51.99%,52.70%,18.15%,0.50%,-4.01%,16.06%,-19.27%,44.17%,-7.98%,29.33%,-31.05%,35.63%,37.81%
Enterprise Value,,-342,1039,6929,3978,3749,4795,3761,3476,3742,5519,7457,11677,11635,9173,10368,8232,12379,11837,13997,11608,15400,17891
PE Ratio,,,,4.38,9.51,24.28,-21.00,13.95,8.39,9.46,8.74,20.16,16.42,18.26,14.21,13.90,13.78,11.75,8.05,5.31,7.91,26.86,18.49
PS Ratio,,,,0.44,0.44,0.58,0.88,0.56,0.57,0.73,0.74,0.95,1.19,1.44,1.27,1.40,1.14,1.47,1.07,0.95,0.89,1.18,1.33
PB Ratio,,,,1.29,1.20,0.97,1.34,0.93,0.91,0.96,1.24,1.60,1.60,1.67,1.54,2.41,1.87,2.32,1.38,1.58,1.67,2.01,2.36
P/FCF Ratio,,,,4.13,10.46,13.59,-40.43,9.62,23.07,47.18,9.81,23.90,24.93,12.56,10.52,18.11,9.82,12.12,7.82,3.75,2.43,2.19,2.78
P/OCF Ratio,,,,3.21,5.79,9.35,817.30,8.15,16.47,31.74,8.56,16.74,16.12,10.12,7.95,14.54,9.18,11.13,7.27,3.63,2.35,2.14,2.72
EV/Sales Ratio,,-0.04,0.13,0.72,0.42,0.69,1.13,0.68,0.64,0.78,0.77,0.87,1.46,1.75,1.26,1.35,1.08,1.46,1.10,0.89,1.00,1.31,1.41
EV/EBITDA Ratio,,-0.20,0.66,3.27,2.73,10.33,-49.18,7.78,4.99,5.91,5.22,8.20,7.80,9.06,6.15,7.18,8.46,7.76,5.54,3.37,4.96,10.43,8.56
EV/EBIT Ratio,,-0.24,0.85,4.05,3.98,16.09,-19.95,10.57,5.74,6.72,5.96,10.65,11.43,13.31,8.65,9.84,10.41,8.74,6.44,3.76,6.28,17.44,12.06
EV/FCF Ratio,,-0.32,1.10,6.78,10.00,16.17,-51.56,11.67,25.83,50.56,10.20,22.00,30.41,15.19,10.45,17.51,9.34,12.03,8.06,3.54,2.75,2.43,2.91
Debt / Equity Ratio,,0.02,0.29,0.98,0.14,0.36,0.48,0.26,0.28,0.25,0.31,0.26,0.47,0.49,0.16,0.17,0.18,0.24,0.37,0.37,0.60,0.62,0.63
Debt / EBITDA Ratio,,0.03,0.88,1.52,0.34,3.22,-13.85,1.78,1.37,1.45,1.27,1.46,1.87,2.18,0.66,0.53,0.86,0.80,1.44,0.84,1.56,2.90,2.25
Debt / FCF Ratio,,0.05,1.45,3.15,1.23,5.04,-14.52,2.67,7.07,12.38,2.48,3.90,7.30,3.65,1.12,1.28,0.95,1.24,2.10,0.89,0.87,0.67,0.74
Interest Coverage,90.53,33.52,25.97,9.92,4.76,4.40,-4.10,9.69,13.12,9.77,12.51,7.53,8.05,11.97,16.58,21.96,18.40,30.15,20.43,32.67,16.07,5.07,7.37
