Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,3527,5908,4953,3822,4853,4884,4326,5154,6177,5770,6253,5580,3801,3638,4782,4423,4905,7066,6969,7050,8752,10472,8313,11397,9939,9464,11726,11456,9855
Market Cap Growth,,,,67.52%,-16.17%,-22.82%,26.96%,0.63%,-11.41%,19.13%,19.85%,-6.59%,8.37%,-10.77%,-31.88%,-4.28%,31.44%,-7.51%,10.89%,44.06%,-1.38%,1.16%,24.15%,19.65%,-20.62%,37.10%,-12.80%,-4.78%,23.90%,-2.30%,-27.52%
Enterprise Value,,981,4359,6808,5687,4598,5513,5765,5217,5867,6877,6486,7004,6360,4657,4437,5405,5354,6152,8249,8133,8222,10074,11814,9857,12969,11767,11398,13710,13469,12295
PE Ratio,,,11.33,17.49,20.26,13.95,13.41,13.70,11.28,11.98,13.18,11.65,12.06,10.58,8.40,8.99,9.59,8.90,9.27,13.37,12.84,13.37,15.92,7.20,11.85,14.98,13.58,9.18,13.11,11.80,9.91
PS Ratio,,,1.75,2.85,2.30,1.72,1.93,1.80,1.57,1.76,2.01,1.85,1.83,1.60,1.19,1.17,1.42,1.31,1.37,2.02,1.93,1.87,2.22,2.52,1.93,2.52,2.10,1.85,2.24,2.10,1.80
PB Ratio,,,2.16,3.06,2.19,1.92,2.20,1.96,1.52,1.59,1.81,1.68,1.81,1.68,1.71,1.07,1.19,1.15,1.13,1.87,1.48,1.74,1.92,1.68,1.54,1.56,1.13,1.10,2.97,2.55,1.88
P/FCF Ratio,,,11.19,14.58,12.89,7.48,9.38,7.94,6.67,6.96,8.09,6.75,7.24,6.71,5.27,3.75,4.69,5.16,5.23,6.37,8.16,6.51,6.37,7.43,6.74,8.62,6.93,6.76,8.41,8.00,7.24
P/OCF Ratio,,,10.77,14.41,12.72,7.47,9.29,7.91,6.65,6.96,8.05,6.73,7.23,6.56,5.20,3.73,4.65,5.15,5.20,6.31,8.06,6.29,6.26,7.33,6.51,8.36,6.73,6.58,8.24,7.73,6.98
EV/Sales Ratio,,0.47,2.16,3.29,2.64,2.06,2.19,2.13,1.89,2.00,2.24,2.07,2.05,1.82,1.46,1.42,1.61,1.59,1.71,2.36,2.25,2.18,2.56,2.84,2.29,2.86,2.48,2.23,2.62,2.47,2.17
EV/EBITDA Ratio,,2.57,8.32,12.42,12.50,9.98,9.08,9.49,8.20,8.27,8.93,8.18,8.27,7.36,6.52,6.66,6.58,6.68,7.27,9.63,9.29,9.63,11.64,12.96,10.34,12.77,11.97,8.39,11.50,10.39,8.61
EV/EBIT Ratio,,2.57,8.32,12.42,12.50,9.98,9.08,9.49,8.20,8.27,8.93,8.18,8.27,7.36,6.52,6.66,6.58,6.68,7.27,9.63,9.29,9.63,11.64,12.96,10.34,12.77,11.97,8.39,11.50,10.39,8.73
EV/FCF Ratio,,3.12,13.83,16.80,14.80,8.99,10.66,9.37,8.04,7.93,9.01,7.59,8.11,7.64,6.45,4.58,5.30,6.25,6.56,7.44,9.52,7.59,7.33,8.39,8.00,9.81,8.20,8.14,9.83,9.40,9.09
Debt / Equity Ratio,,0.62,0.51,0.47,0.33,0.40,0.32,0.35,0.31,0.22,0.21,0.21,0.22,0.24,0.41,0.30,0.25,0.26,0.30,0.32,0.26,0.30,0.31,0.23,0.31,0.23,0.22,0.23,0.53,0.47,0.44
Debt / EBITDA Ratio,,2.57,1.59,1.66,1.62,1.71,1.14,1.46,1.41,1.02,0.92,0.93,0.91,0.93,1.26,1.55,1.20,1.27,1.55,1.42,1.41,1.45,1.61,1.60,1.75,1.62,1.96,1.49,1.74,1.63,1.63
Debt / FCF Ratio,,3.12,2.64,2.25,1.92,1.55,1.34,1.44,1.38,0.98,0.93,0.86,0.89,0.96,1.25,1.06,0.97,1.18,1.39,1.10,1.44,1.14,1.02,1.04,1.35,1.25,1.34,1.45,1.49,1.48,1.69
Interest Coverage,6.33,4.71,7.11,7.63,8.08,8.80,11.15,13.58,10.97,12.63,13.63,13.01,11.58,12.79,11.30,9.52,10.87,10.28,10.51,10.65,11.50,11.14,10.39,10.78,10.59,12.05,11.34,16.27,13.19,12.67,12.58
Asset Turnover,,,0.21,0.20,0.19,0.19,0.20,0.22,0.23,0.22,0.22,0.22,0.23,0.23,0.22,0.21,0.20,0.20,0.20,0.19,0.18,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.20,0.20,0.20
Return on Equity (ROE),,,19.40%,19.00%,10.10%,13.30%,17.30%,14.60%,14.30%,13.70%,14.10%,14.60%,15.70%,15.90%,16.90%,14.30%,12.50%,12.60%,12.80%,13.50%,12.10%,12.00%,11.60%,27.40%,12.60%,11.10%,9.30%,12.20%,17.40%,22.90%,21.60%
Return on Assets (ROA),,,3.20%,3.20%,2.10%,2.40%,2.80%,2.90%,3.10%,3.30%,3.40%,3.40%,3.50%,3.50%,3.20%,2.70%,3.00%,3.00%,3.00%,2.90%,2.80%,2.60%,2.60%,6.40%,3.00%,3.00%,2.70%,3.50%,3.40%,3.60%,3.80%
Return on Capital (ROIC),,9.43%,12.96%,11.57%,10.29%,10.96%,13.95%,12.12%,11.25%,11.78%,12.36%,12.88%,13.43%,13.87%,15.37%,9.93%,11.05%,11.30%,10.32%,11.38%,9.86%,10.81%,10.08%,20.93%,10.94%,9.28%,7.50%,10.30%,16.06%,15.96%,15.10%
Earnings Yield,,,8.83%,5.72%,4.94%,7.17%,7.46%,7.30%,8.86%,8.35%,7.59%,8.59%,8.29%,9.45%,11.90%,11.13%,10.43%,11.24%,10.79%,7.48%,7.79%,7.48%,6.28%,13.89%,8.44%,6.68%,7.36%,10.90%,7.63%,8.47%,10.66%
FCF Yield,,,8.94%,6.86%,7.76%,13.37%,10.66%,12.60%,14.99%,14.36%,12.36%,14.81%,13.82%,14.91%,18.98%,26.65%,21.32%,19.38%,19.13%,15.69%,12.26%,15.36%,15.69%,13.45%,14.83%,11.60%,14.44%,14.79%,11.89%,12.51%,13.81%
Dividend Yield,4.00%,1.90%,2.90%,1.40%,19.00%,1.20%,0.90%,0.90%,1.00%,0.80%,0.80%,0.80%,0.80%,0.90%,1.50%,1.00%,1.00%,1.00%,1.10%,1.10%,0.90%,0.70%,0.80%,0.70%,0.80%,0.60%,0.80%,0.80%,0.70%,0.70%,0.88%
Payout Ratio,37.60%,42.60%,33.10%,24.30%,383.50%,17.50%,12.70%,12.60%,11.30%,10.10%,10.40%,9.30%,9.20%,9.30%,13.40%,8.60%,9.90%,9.70%,10.40%,14.60%,12.40%,9.70%,12.40%,4.80%,10.30%,9.90%,10.70%,7.70%,9.00%,8.60%,8.67%
Buyback Yield / Dilution,,,,-0.26%,-0.17%,6.22%,4.02%,1.64%,4.62%,4.44%,4.48%,4.00%,5.50%,6.01%,7.75%,2.64%,3.30%,15.11%,6.88%,4.75%,5.15%,4.13%,3.79%,2.70%,3.38%,2.92%,3.35%,3.52%,3.67%,3.24%,3.50%
Total Shareholder Return,4.00%,1.90%,2.90%,1.14%,18.83%,7.42%,4.92%,2.54%,5.62%,5.24%,5.28%,4.80%,6.30%,6.91%,9.25%,3.64%,4.30%,16.11%,7.98%,5.85%,6.05%,4.83%,4.59%,3.40%,4.18%,3.52%,4.15%,4.32%,4.37%,3.94%,4.38%
