Year Ending,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,,4727.06,2810.93,2617.86,952.00
Market Cap Growth,,,,,-40.54%,-6.87%,11.55%
Enterprise Value,,-194.96,-230.08,4258.59,2435.30,2027.88,1357.66
PE Ratio,,,,-101.97,87.63,158.14,99.16
PS Ratio,,,,7.64,3.57,2.62,0.81
PB Ratio,,,,-14.60,47.44,28.24,9.62
P/FCF Ratio,,,,-4340.74,256.64,24.40,5.83
P/OCF Ratio,,,,111.80,50.80,19.58,5.13
EV/Sales Ratio,,-0.49,-0.46,6.88,3.09,2.03,1.23
EV/EBITDA Ratio,,-9.55,-8.28,-275.28,29.76,28.36,12.74
EV/EBIT Ratio,,-17.02,-14.40,-113.22,65.70,144.82,21.12
EV/FCF Ratio,,-4.79,-4.97,-3910.55,222.34,18.90,8.31
Debt / Equity Ratio,,0.24,0.59,-0.42,3.19,1.95,1.53
Debt / EBITDA Ratio,,1.28,2.48,-8.76,2.31,2.53,1.95
Debt / FCF Ratio,,0.64,1.49,-124.43,17.26,1.69,0.89
Interest Coverage,,,16.18,-18.87,,,
Quick Ratio,,1.12,1.14,1.58,1.17,1.26,0.79
Current Ratio,,1.31,1.33,1.81,1.40,1.48,1.04
Asset Turnover,,,0.95,0.75,0.65,0.66,0.68
Return on Equity (ROE),,,8.90%,44.90%,42.10%,22.30%,24.30%
Return on Assets (ROA),,,1.90%,-5.60%,2.70%,1.10%,1.30%
Return on Capital (ROIC),,2.92%,5.77%,5.35%,-22.33%,2.09%,14.78%
Earnings Yield,,,,-0.98%,1.14%,0.63%,2.16%
FCF Yield,,,,-0.02%,0.39%,4.10%,17.16%
Buyback Yield / Dilution,,,-32.16%,-82227.00%,-308.31%,-1.24%,-61.67%
Total Shareholder Return,,,-32.16%,-82227.00%,-308.31%,-1.24%,-61.67%
