Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,7955,11045,12511,10500,15927,15404,11592,16700,20357,25800,29573,27364,4935,8909,11776,7243,9791,16198,17988,17802,17999,20076,15946,21903,17551,23498,24121,24176,35748
Market Cap Growth,,,,38.85%,13.27%,-16.07%,51.68%,-3.28%,-24.75%,44.07%,21.90%,26.73%,14.63%,-7.47%,-81.96%,80.51%,32.18%,-38.49%,35.17%,65.44%,11.05%,-1.04%,1.11%,11.54%,-20.57%,37.36%,-19.87%,33.88%,2.65%,0.23%,33.08%
Enterprise Value,,1813,9375,13678,15217,13147,19040,19027,15594,21898,24138,29294,32510,30669,10555,13742,16703,11192,14657,21314,23698,22713,22581,24894,20503,26489,21664,28105,28134,28349,40387
PE Ratio,,,-80.35,8.29,12.33,12.18,16.35,30.38,11.59,-183.51,9.63,11.35,10.77,9.28,-1.79,-8.79,10.51,10.81,-122.38,92.03,22.54,10.58,20.09,-6.41,8.85,10.61,10.23,10.00,13.42,9.74,12.82
PS Ratio,,,0.63,0.82,0.83,0.78,1.08,0.96,0.71,0.89,0.90,0.95,1.12,1.06,0.54,0.37,0.53,0.33,0.44,0.78,0.97,1.11,1.11,1.17,0.84,1.06,0.86,1.05,1.08,0.99,1.44
PB Ratio,,,1.76,1.94,2.10,2.09,2.13,1.71,1.08,1.44,1.43,1.68,1.57,1.43,0.53,0.50,0.58,0.34,0.44,0.86,0.96,1.01,1.07,1.49,1.22,1.35,0.95,1.32,1.76,1.58,2.34
P/FCF Ratio,,,8.60,5.71,15.66,13.62,7.13,7.51,4.85,4.39,8.30,7.33,5.43,4.57,1.18,3.00,3.56,3.19,3.74,13.81,10.19,7.27,9.77,10.37,5.86,6.47,4.67,5.93,6.29,6.04,6.48
P/OCF Ratio,,,8.00,5.40,13.79,11.01,6.54,6.81,4.50,4.29,7.73,6.91,5.25,4.57,1.18,3.00,3.56,3.19,3.65,13.09,9.54,6.46,8.71,9.18,5.61,6.28,4.53,5.74,6.02,5.73,6.23
EV/Sales Ratio,,0.15,0.75,1.02,1.01,0.97,1.29,1.19,0.95,1.17,1.06,1.08,1.23,1.18,1.14,0.56,0.76,0.51,0.66,1.03,1.27,1.42,1.39,1.45,1.08,1.28,1.06,1.26,1.26,1.16,1.58
EV/EBITDA Ratio,,2.20,-39.56,7.81,10.20,10.89,13.34,48.54,10.85,-364.96,7.98,7.71,7.25,6.06,-2.72,-17.64,5.04,7.39,25.40,21.14,13.17,8.44,15.52,-17.40,7.22,8.10,7.42,7.36,9.08,7.47,9.72
