Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,959,1272,1212,805,866,864,626,597,817,815,870,821,359,490,713,547,786,1272,1391,1350,1721,1793,1533,1800,1741,1606,1528,1335,1507
Market Cap Growth,,,,32.68%,-4.71%,-33.59%,7.61%,-0.23%,-27.53%,-4.70%,36.85%,-0.27%,6.76%,-5.60%,-56.27%,36.44%,45.47%,-23.17%,43.58%,61.82%,9.34%,-2.90%,27.43%,4.22%,-14.51%,17.38%,-3.26%,-7.78%,-4.81%,-12.63%,10.30%
Enterprise Value,94,165,1079,1413,1350,931,994,983,711,767,986,1005,1088,1007,587,720,944,778,1009,1492,1617,1582,1951,2083,1819,2207,2156,1974,1984,1852,2102
PE Ratio,,,14.83,15.22,14.21,18.09,41.56,33.78,55.26,31.45,14.50,10.54,8.81,9.92,32.88,6.67,8.89,7.76,7.57,11.47,13.34,14.45,20.54,10.58,83.59,9.76,13.06,9.42,77.19,29.67,18.97
PS Ratio,,,1.36,1.70,1.56,1.04,1.11,1.07,0.81,0.70,0.93,0.93,0.98,0.93,0.43,0.52,0.73,0.55,0.78,1.23,1.31,1.25,1.52,1.53,1.29,1.26,1.33,1.21,1.11,0.90,0.99
PB Ratio,,,1.98,2.51,2.44,2.01,2.02,1.88,1.18,1.13,1.42,1.40,1.32,1.18,0.80,0.68,0.81,0.52,0.63,1.16,1.04,1.07,1.33,1.19,1.19,1.15,0.97,0.89,1.39,1.14,1.26
P/FCF Ratio,,,6.89,12.18,9.41,5.43,6.97,5.81,4.06,4.90,4.88,4.93,4.68,4.07,2.20,2.74,4.52,4.72,3.87,6.18,6.27,6.50,8.14,6.99,7.63,14.10,6.70,7.84,8.91,4.42,5.79
P/OCF Ratio,,,6.89,12.18,9.41,5.43,6.97,5.81,4.06,4.90,4.88,4.93,4.68,4.07,2.20,2.74,4.52,4.72,3.87,6.18,6.27,6.50,8.14,6.99,7.63,14.10,6.70,7.84,8.91,4.42,5.79
EV/Sales Ratio,0.14,0.24,1.53,1.89,1.73,1.20,1.27,1.22,0.92,0.90,1.12,1.14,1.23,1.14,0.70,0.77,0.97,0.78,1.00,1.45,1.52,1.46,1.73,1.78,1.53,1.54,1.65,1.49,1.44,1.24,1.35
EV/EBITDA Ratio,1.00,1.45,10.58,11.26,10.69,9.03,49.88,26.15,43.93,30.04,12.88,9.77,7.09,7.68,40.14,6.13,7.61,7.14,6.17,8.86,10.09,11.10,15.48,19.42,45.60,8.25,10.88,8.15,31.24,16.96,13.29
EV/EBIT Ratio,1.00,1.45,10.58,11.26,10.69,9.03,49.88,26.15,43.93,30.04,12.88,9.77,7.09,7.68,40.14,6.13,7.61,7.14,6.17,8.86,10.09,11.10,15.48,20.70,55.91,8.76,12.33,8.81,55.25,22.31,15.94
EV/FCF Ratio,0.59,1.08,7.75,13.53,10.48,6.28,8.00,6.60,4.61,6.29,5.90,6.09,5.86,4.99,3.61,4.02,5.99,6.71,4.97,7.24,7.29,7.62,9.23,8.12,9.06,17.30,8.30,9.64,11.57,6.13,8.00
Debt / Equity Ratio,0.24,0.37,0.28,0.28,0.30,0.37,0.35,0.33,0.27,0.32,0.29,0.33,0.35,0.29,0.53,0.33,0.27,0.23,0.19,0.22,0.18,0.20,0.19,0.20,0.23,0.28,0.24,0.28,0.45,0.46,0.45
Debt / EBITDA Ratio,1.06,1.54,1.31,1.13,1.19,1.44,7.46,4.06,8.94,6.65,2.22,1.85,1.51,1.52,16.23,2.02,1.91,2.18,1.46,1.41,1.48,1.73,1.96,2.77,7.46,1.62,2.21,2.07,7.84,5.00,3.45
Debt / FCF Ratio,0.63,1.14,0.96,1.36,1.16,1.00,1.20,1.03,0.94,1.39,1.01,1.16,1.25,0.99,1.46,1.33,1.51,2.05,1.17,1.16,1.07,1.19,1.17,1.16,1.48,3.39,1.68,2.45,2.90,1.81,2.08
Interest Coverage,9.91,9.84,9.70,13.34,13.31,10.60,1.95,4.06,1.90,4.03,11.23,11.59,11.67,9.33,1.01,8.41,8.90,7.78,11.47,11.82,11.29,10.87,10.67,8.42,2.50,16.15,11.50,16.12,1.85,2.79,3.94
Asset Turnover,,0.20,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.14,0.14,0.14,0.16,0.14,0.14,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.10,0.09,0.10,0.11,0.11
