Year Ending,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,,3951,2889,4070,7417
Market Cap Growth,,,,,-26.89%,40.90%,124.29%
Enterprise Value,,757,-584,6970,4006,5426,13105
PE Ratio,,,,1.16,0.47,4.53,3.58
PS Ratio,,,,0.62,0.29,1.29,1.78
PB Ratio,,,,0.38,0.33,0.40,0.80
P/FCF Ratio,,,,0.70,0.55,0.77,1.33
P/OCF Ratio,,,,0.70,0.55,0.77,1.33
EV/Sales Ratio,,0.22,-0.16,1.10,0.41,1.72,2.93
EV/EBITDA Ratio,,-0.99,0.24,1.69,0.51,4.83,3.41
EV/EBIT Ratio,,-0.99,0.24,1.69,0.51,4.83,3.41
EV/FCF Ratio,,0.17,-0.16,1.23,0.77,1.02,2.31
Debt / Equity Ratio,,0.39,0.15,0.54,0.63,0.40,0.58
Debt / EBITDA Ratio,,-3.51,-0.60,1.37,0.69,3.60,2.04
Debt / FCF Ratio,,0.62,0.39,0.99,1.04,0.76,1.04
Interest Coverage,27.96,-7.75,-27.27,111.35,69.06,6.07,21.28
Asset Turnover,,,0.01,0.02,0.03,0.01,0.01
Return on Equity (ROE),,,-20.10%,33.30%,67.30%,9.70%,22.50%
Return on Assets (ROA),,,-0.50%,0.90%,1.90%,0.30%,0.70%
Return on Capital (ROIC),,-7.47%,-22.12%,22.87%,44.89%,8.01%,15.18%
Earnings Yield,,,,86.47%,214.13%,22.09%,29.64%
FCF Yield,,,,143.80%,180.21%,130.45%,74.99%
Dividend Yield,,,,1.20%,6.30%,3.60%,2.84%
Payout Ratio,0.00%,0.00%,0.00%,1.40%,3.00%,16.90%,10.15%
Buyback Yield / Dilution,,,,,12.10%,4.26%,4.38%
Total Shareholder Return,,,,1.20%,18.40%,7.86%,7.22%
