Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,2082,2426,2843,2722,2758,2660,1978,2798,3117,3103,3364,3108,993,1375,1508,1766,1721,2276,1902,1909,2268,3545,4298,5165,5025,3742,3143,3119,4100
Market Cap Growth,,,,16.52%,17.21%,-4.28%,1.35%,-3.57%,-25.65%,41.50%,11.38%,-0.45%,8.42%,-7.61%,-68.04%,38.42%,9.67%,17.11%,-2.53%,32.23%,-16.45%,0.39%,18.77%,56.33%,21.24%,20.18%,-2.71%,-25.53%,-16.01%,-0.76%,23.68%
Enterprise Value,,91,2125,2492,2951,2814,2914,2887,2338,3228,3537,3562,3710,3565,1370,1793,2001,2125,2237,2817,2578,2498,2903,4092,5132,5807,5992,4716,4318,4444,5987
PE Ratio,,,15.71,20.57,5.57,13.54,30.31,6.98,-241.16,22.64,12.98,12.14,11.72,15.13,-33.56,8.35,8.48,23.71,16.65,10.46,16.61,22.28,134.98,29.32,22.61,9.73,12.26,-30.25,-10.97,-11.46,79.45
PS Ratio,,,1.37,1.59,1.36,1.50,1.41,1.05,0.86,0.95,1.02,1.10,1.18,1.07,0.36,0.50,0.57,0.71,0.70,0.94,0.87,0.82,0.90,1.30,1.15,1.02,0.97,0.65,0.57,0.63,0.88
PB Ratio,,,1.41,1.58,1.56,1.59,1.62,1.39,1.10,1.54,1.53,1.44,1.47,1.36,0.60,0.72,0.71,0.83,0.80,1.11,0.91,0.96,1.15,1.68,1.41,1.30,1.10,0.93,1.18,1.25,1.53
P/FCF Ratio,,,12.41,17.14,21.94,228.70,37.48,14.10,5.00,4.96,11.16,9.70,12.51,13.14,20.65,8.88,23.49,-56.79,26.00,10.38,14.36,8.64,9.94,15.39,9.10,11.51,12.58,12.65,-12.87,-16.50,-58.67
P/OCF Ratio,,,12.20,15.79,20.16,168.00,34.69,13.87,5.00,4.78,10.45,8.24,10.98,12.33,14.35,8.41,25.78,-70.64,26.20,18.64,14.23,8.88,9.43,14.73,7.97,9.67,11.22,10.67,-14.95,-23.24,-1591.41
EV/Sales Ratio,,0.06,1.39,1.63,1.41,1.55,1.49,1.14,1.02,1.10,1.16,1.26,1.30,1.23,0.50,0.65,0.76,0.85,0.91,1.16,1.17,1.07,1.15,1.50,1.38,1.15,1.15,0.82,0.78,0.90,1.28
EV/EBITDA Ratio,,0.36,9.98,12.39,3.75,8.89,15.04,4.86,268.71,15.06,8.65,7.77,6.89,8.87,22.76,5.92,6.17,12.08,9.53,6.47,9.55,11.01,26.04,16.00,13.67,6.77,7.33,287.55,-68.64,66.53,14.01
EV/EBIT Ratio,,0.39,11.29,13.99,3.87,9.60,16.05,4.86,5844.34,15.90,8.92,8.14,7.19,9.36,33.09,6.27,6.45,12.88,10.19,6.74,10.16,11.71,29.66,16.86,14.26,7.04,7.67,-157.72,-38.07,198.40,15.87
EV/FCF Ratio,,0.64,12.67,17.61,22.77,236.49,39.59,15.30,5.91,5.72,12.67,11.14,13.79,15.07,28.48,11.58,31.16,-68.34,33.78,12.84,19.47,11.31,12.72,17.77,10.86,12.94,15.00,15.94,-17.68,-23.51,-78.38
Debt / Equity Ratio,,0.07,0.04,0.05,0.06,0.07,0.11,0.13,0.21,0.27,0.25,0.23,0.22,0.24,0.34,0.29,0.29,0.29,0.28,0.30,0.36,0.38,0.38,0.28,0.30,0.20,0.26,0.28,0.52,0.55,0.52
Debt / EBITDA Ratio,,0.39,0.28,0.40,0.15,0.37,0.93,0.43,43.34,2.31,1.23,1.10,0.94,1.39,9.32,1.85,1.88,3.47,2.60,1.39,2.79,3.31,6.74,2.32,2.42,0.91,1.43,68.41,-22.05,20.80,3.34
Debt / FCF Ratio,,0.70,0.36,0.57,0.90,9.82,2.45,1.35,0.95,0.88,1.80,1.58,1.88,2.37,11.66,3.63,9.50,-19.63,9.24,2.77,5.68,3.40,3.29,2.57,1.92,1.73,2.94,3.79,-5.68,-7.35,-21.36
Interest Coverage,13.21,8.98,12.14,13.60,55.70,20.37,5.02,26.73,0.01,4.48,6.91,4.29,4.60,3.03,0.35,4.62,4.54,1.97,2.57,4.16,2.77,1.98,1.08,3.01,2.26,5.04,2.88,-0.14,-0.44,0.06,1.17
Asset Turnover,,,0.31,0.31,0.37,0.30,0.32,0.37,0.31,0.35,0.34,0.31,0.31,0.30,0.30,0.32,0.31,0.31,0.31,0.31,0.28,0.29,0.31,0.33,0.37,0.40,0.38,0.39,0.40,0.38,0.37
Return on Equity (ROE),,,8.80%,7.90%,28.70%,10.90%,5.40%,19.90%,-0.40%,7.00%,12.30%,12.00%,13.00%,8.90%,-1.50%,9.30%,8.50%,3.50%,4.80%,10.60%,5.40%,4.20%,0.80%,5.90%,7.40%,14.30%,9.70%,-2.90%,-10.10%,-10.90%,2.00%
Return on Assets (ROA),,,2.70%,2.40%,9.10%,3.30%,1.50%,5.50%,-0.10%,1.50%,2.70%,2.80%,3.10%,2.20%,-0.30%,1.90%,2.10%,0.90%,1.30%,2.80%,1.40%,1.10%,0.20%,1.50%,1.90%,4.20%,3.00%,-0.80%,-2.10%,-2.10%,0.40%
Return on Capital (ROIC),,8.40%,6.85%,6.77%,24.64%,9.88%,6.27%,17.34%,0.11%,6.91%,10.95%,11.83%,12.43%,9.94%,1.23%,8.59%,7.96%,5.13%,5.79%,10.70%,6.26%,6.41%,7.60%,6.66%,8.56%,14.05%,10.95%,-0.58%,-2.70%,0.57%,8.91%
Earnings Yield,,,6.36%,4.86%,17.97%,7.39%,3.30%,14.32%,-0.41%,4.42%,7.71%,8.23%,8.53%,6.61%,-2.98%,11.98%,11.80%,4.22%,6.01%,9.56%,6.02%,4.49%,0.74%,3.41%,4.42%,10.28%,8.16%,-3.31%,-9.12%,-8.72%,1.26%
