Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,5417,7920,8266,7819,9064,9202,5591,7185,8150,9187,18418,15674,4821,7516,8809,5858,7123,13542,14982,12438,15147,16821,10960,11703,9723,12335,5198,4576,5700
Market Cap Growth,,,,46.21%,4.36%,-5.41%,15.92%,1.52%,-39.24%,28.51%,13.43%,12.72%,100.48%,-14.90%,-69.24%,55.90%,17.21%,-33.50%,21.59%,90.12%,10.63%,-16.98%,21.78%,11.06%,-34.84%,6.78%,-16.92%,26.86%,-57.86%,-11.98%,21.06%
Enterprise Value,,-487,5088,4934,7604,7840,8907,7793,5566,6977,8091,8328,20912,19177,4779,8891,11818,7039,8532,16999,16583,14845,17770,20537,14454,15507,14697,16348,8310,7160,10624
PE Ratio,,,10.55,8.48,16.22,16.99,14.59,16.86,114.56,14.04,11.53,11.06,14.00,12.90,84.58,-14.45,11.99,26.51,5.43,10.89,9.89,10.78,12.71,8.09,6.68,13.21,19.49,3.27,3.83,-6.08,3.48
PS Ratio,,,1.14,1.62,1.36,1.15,1.32,1.44,1.21,1.36,1.52,1.68,2.07,1.63,0.52,0.88,0.85,0.55,0.62,1.13,1.11,0.92,1.14,1.18,0.67,0.68,0.56,0.70,0.28,0.39,0.42
PB Ratio,,,1.21,1.59,1.53,1.83,1.83,1.75,1.05,1.24,1.32,1.44,1.51,1.34,0.60,0.64,0.69,0.45,0.48,1.01,0.95,0.91,1.05,0.97,0.76,0.59,0.43,0.59,1.02,0.66,0.82
P/FCF Ratio,,,3.94,7.66,3.68,3.35,4.54,7.25,11.27,7.71,7.94,7.60,6.04,8.02,3.83,8.02,5.12,4.59,5.61,16.95,5.93,5.55,11.91,21.35,5.64,-4.36,18.21,-56.84,1.44,-2.21,-1.31
P/OCF Ratio,,,3.94,7.66,3.68,3.35,4.54,7.25,11.27,7.71,7.94,7.60,6.04,8.02,3.83,8.02,5.12,4.59,5.61,16.95,5.93,5.55,11.91,21.35,5.64,-4.36,18.21,-56.84,1.44,-2.21,-1.31
EV/Sales Ratio,,-0.11,1.07,1.01,1.25,1.15,1.30,1.22,1.20,1.32,1.51,1.52,2.36,1.99,0.52,1.05,1.13,0.66,0.74,1.42,1.22,1.09,1.33,1.44,0.88,0.90,0.84,0.92,0.44,0.61,0.78
EV/EBITDA Ratio,,-0.73,6.82,4.75,9.34,11.14,9.13,9.60,130.12,7.86,7.28,7.17,10.32,9.71,22.65,-22.57,8.12,8.92,4.57,8.97,7.32,8.72,9.93,14.85,6.62,12.46,20.79,3.33,4.14,-8.76,2.11
EV/EBIT Ratio,,-0.73,6.82,4.75,9.34,11.14,9.13,9.60,130.12,7.86,7.28,7.17,10.32,9.71,22.65,-22.57,8.12,8.92,4.57,8.97,7.32,8.72,9.93,14.85,6.62,12.46,20.79,3.33,4.14,-8.76,2.11
EV/FCF Ratio,,-0.22,3.70,4.77,3.38,3.36,4.46,6.14,11.22,7.49,7.88,6.89,6.86,9.81,3.80,9.49,6.87,5.52,6.72,21.28,6.56,6.62,13.97,26.06,7.44,-5.77,27.52,-75.34,2.30,-3.45,-1.49
Debt / Equity Ratio,,0.25,0.18,0.16,0.33,0.45,0.36,0.32,0.31,0.26,0.26,0.23,0.34,0.44,0.70,0.46,0.45,0.43,0.38,0.43,0.35,0.41,0.37,0.31,0.41,0.32,0.29,0.32,1.27,0.86,0.78
Debt / EBITDA Ratio,,1.63,1.09,0.78,2.18,2.72,1.81,2.08,38.93,1.69,1.44,1.25,2.03,2.62,26.28,-13.71,3.95,7.21,3.02,3.07,2.44,3.26,2.99,3.86,2.68,5.11,9.45,1.35,3.21,-7.28,2.17
Debt / FCF Ratio,,0.50,0.59,0.78,0.79,0.82,0.89,1.33,3.36,1.61,1.56,1.20,1.35,2.64,4.41,5.76,3.34,4.46,4.44,7.29,2.19,2.48,4.20,6.78,3.01,-2.37,12.51,-30.53,1.79,-2.87,-1.53
Interest Coverage,8.60,9.21,8.80,11.23,6.96,5.26,6.99,6.70,0.44,9.33,11.11,13.36,8.89,6.95,0.75,-2.00,5.00,2.68,6.84,7.15,8.48,6.26,5.40,5.47,7.35,3.82,2.49,18.20,7.10,-2.47,8.55
Asset Turnover,,,0.07,0.06,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.06,0.03,0.04
Return on Equity (ROE),,,11.60%,20.30%,9.70%,9.80%,13.80%,10.50%,0.90%,9.00%,11.90%,13.30%,12.50%,10.20%,0.60%,-5.20%,5.70%,1.60%,9.10%,9.00%,9.90%,7.80%,7.80%,12.90%,10.80%,4.80%,2.40%,18.10%,17.40%,-13.30%,27.10%
