Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,1445,3045,2398,1216,2375,2368,2042,2533,3265,3179,2884,2726,2519,2150,2357,2502,2179,2732,3119,2569,3328,2957,2862,2697,2890,2938,1894,2066,3726
Market Cap Growth,,,,110.66%,-21.23%,-49.30%,95.32%,-0.32%,-13.73%,24.02%,28.91%,-2.65%,-9.29%,-5.48%,-7.60%,-14.62%,9.61%,6.14%,-12.88%,25.36%,14.16%,-17.63%,29.54%,-11.15%,-3.22%,-5.74%,7.15%,1.65%,-35.54%,9.09%,75.55%
Enterprise Value,,22,1517,3117,2475,1300,2477,2493,2158,2621,3379,3253,2978,2816,2642,2236,2443,2430,2161,2656,3119,2595,3428,3037,2919,2823,2958,3010,2024,2103,3751
PE Ratio,,,13.67,19.48,13.51,9.10,21.72,22.48,30.90,13.74,11.41,12.55,13.42,11.46,-10.40,5.34,15.49,13.09,18.64,24.36,17.53,34.49,45.56,20.41,-499.58,8.43,7.72,11.85,-3.69,21.45,11.74
PS Ratio,,,1.75,2.70,1.96,0.95,1.74,1.57,1.14,1.12,1.22,1.06,0.91,0.86,1.04,0.69,0.85,0.90,0.78,0.97,1.04,0.85,1.03,0.87,0.85,0.68,0.76,0.74,0.52,0.45,0.75
PB Ratio,,,2.25,3.81,2.61,1.34,2.30,2.21,1.86,2.02,2.24,1.98,1.67,1.46,1.69,1.21,1.31,1.35,1.18,1.50,1.66,1.41,1.90,1.68,1.77,1.50,1.42,1.37,1.24,1.33,2.29
P/FCF Ratio,,,7.57,11.41,12.86,6.73,16.30,13.01,6.48,6.17,7.80,6.84,8.93,15.66,156.55,14.05,36.69,17.44,16.15,14.23,14.13,15.09,12.11,9.01,8.05,5.62,5.11,6.38,5.97,4.63,4.84
P/OCF Ratio,,,7.35,11.17,12.41,6.43,15.52,11.87,5.96,5.70,7.35,6.28,7.87,12.66,38.99,11.38,25.68,15.78,14.72,13.02,12.65,13.50,11.41,8.66,7.46,5.19,4.77,5.86,5.37,4.56,4.61
EV/Sales Ratio,,0.03,1.84,2.76,2.02,1.02,1.81,1.65,1.21,1.16,1.27,1.09,0.94,0.89,1.09,0.72,0.88,0.88,0.78,0.94,1.04,0.86,1.06,0.89,0.86,0.71,0.78,0.75,0.56,0.45,0.75
EV/EBITDA Ratio,,0.18,10.63,14.17,10.08,7.21,17.35,17.68,28.77,9.89,7.89,8.59,8.61,8.05,-6.31,3.64,10.62,8.34,12.43,16.20,11.21,21.34,26.79,12.78,64.56,6.14,5.44,7.61,-3.54,10.74,7.70
EV/EBIT Ratio,,0.19,10.94,14.51,10.31,7.49,18.24,18.81,33.32,10.53,8.20,9.04,9.26,8.70,-5.92,3.87,12.91,9.70,15.79,19.91,12.47,35.19,45.89,16.66,-214.97,7.15,6.22,9.51,-3.10,17.01,9.01
EV/FCF Ratio,,0.17,7.95,11.68,13.27,7.19,17.00,13.70,6.84,6.38,8.07,7.00,9.22,16.18,164.21,14.61,38.03,16.94,16.02,13.83,14.13,15.24,12.48,9.25,8.21,5.89,5.23,6.54,6.38,4.71,4.82
Debt / Equity Ratio,,0.04,0.12,0.09,0.09,0.10,0.10,0.12,0.12,0.10,0.09,0.09,0.08,0.07,0.11,0.15,0.15,0.08,0.08,0.10,0.15,0.16,0.18,0.21,0.23,0.23,0.20,0.19,0.28,0.38,0.36
Debt / EBITDA Ratio,,0.21,0.53,0.34,0.32,0.51,0.76,0.92,1.72,0.47,0.32,0.38,0.41,0.40,-0.38,0.44,1.16,0.48,0.81,1.16,1.04,2.39,2.50,1.56,8.22,0.91,0.77,1.03,-0.74,3.00,1.21
