Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,491,858,998,868,1326,1549,2020,2496,3584,3107,4639,4890,2933,3338,3674,3988,4171,8107,9532,12323,12655,15825,14413,15790,14237,16867,17721,18769,20592
Market Cap Growth,,,,74.60%,16.37%,-13.09%,52.78%,16.83%,30.45%,23.54%,43.60%,-13.33%,49.32%,5.41%,-40.01%,13.77%,10.08%,8.55%,4.59%,94.34%,17.58%,29.28%,2.70%,25.04%,-8.92%,9.55%,-9.84%,18.47%,5.06%,5.92%,10.98%
Enterprise Value,,88,595,1100,1240,1057,1799,1783,2217,2886,4061,3622,4942,5093,2988,3451,3945,4507,4691,7598,9303,11492,13145,16423,15026,15824,12504,16347,16603,18217,22692
PE Ratio,,,10.53,17.01,17.43,21.37,-48.05,-12.32,26.82,20.22,21.67,21.00,11.82,12.05,-49.92,16.55,13.77,28.08,16.46,28.85,29.68,21.15,27.77,40.03,-112.44,8.82,17.85,7.07,-70.24,9.58,10.36
PS Ratio,,,1.34,2.05,2.34,1.66,1.21,1.11,1.14,1.19,1.59,1.41,1.84,1.92,1.48,1.61,1.65,1.52,1.39,1.88,1.86,2.30,2.26,2.61,2.11,1.66,1.46,1.31,1.52,1.19,1.30
PB Ratio,,,1.83,2.40,2.35,2.26,1.76,1.43,1.74,1.81,2.16,1.82,2.02,1.85,1.35,1.20,1.16,1.18,1.07,1.22,1.25,1.57,1.50,1.67,1.59,1.43,1.11,1.15,1.35,1.25,1.35
P/FCF Ratio,,,5.44,12.16,26.82,-250.20,19.05,9.93,4.10,4.00,5.24,6.05,9.27,10.14,7.73,12.81,20.28,15.88,12.02,11.62,15.02,21.57,26.87,20.19,18.33,13.72,8.70,7.92,7.22,7.42,7.70
P/OCF Ratio,,,5.21,12.50,24.99,1555.02,14.86,9.42,3.98,3.95,5.19,5.72,9.10,9.85,7.39,11.82,16.45,12.81,10.63,10.87,13.30,18.92,23.67,18.43,16.14,12.39,8.19,7.42,6.54,6.73,6.91
EV/Sales Ratio,,0.26,1.62,2.62,2.91,2.02,1.64,1.28,1.25,1.38,1.80,1.65,1.96,2.00,1.51,1.67,1.77,1.71,1.56,1.76,1.81,2.14,2.34,2.71,2.20,1.66,1.28,1.27,1.42,1.15,1.40
EV/EBITDA Ratio,,1.31,10.63,11.73,12.03,11.55,54.60,-19.46,11.92,10.58,13.03,12.66,7.57,7.69,-36.99,12.19,9.35,13.23,9.63,11.46,12.26,10.89,13.85,39.28,39.92,5.82,8.51,4.51,55.62,6.09,7.06
EV/EBIT Ratio,,1.57,13.22,12.72,12.95,13.44,3318.27,-13.35,14.05,12.36,14.49,14.50,7.99,8.08,-26.69,13.70,10.71,16.69,11.73,16.07,16.75,13.46,17.41,76.65,101.17,6.46,10.76,4.97,-242.65,6.66,7.69
EV/FCF Ratio,,0.48,6.58,15.59,33.31,-304.68,25.85,11.43,4.50,4.63,5.94,7.06,9.87,10.57,7.88,13.24,21.77,17.94,13.52,10.89,14.66,20.11,27.91,20.95,19.11,13.75,7.64,7.68,6.76,7.21,8.47
Debt / Equity Ratio,,0.50,0.43,0.68,0.57,0.83,0.96,0.49,0.55,0.55,0.52,0.50,0.37,0.26,0.32,0.35,0.32,0.38,0.38,0.34,0.30,0.29,0.30,0.33,0.33,0.32,0.27,0.30,0.31,0.25,0.28
Debt / EBITDA Ratio,,1.58,2.05,2.59,2.36,3.48,21.95,-5.79,3.44,2.79,2.74,2.97,1.32,1.03,-8.60,3.41,2.41,3.80,3.06,3.40,2.97,2.12,2.71,7.41,8.00,1.30,2.37,1.20,13.75,1.26,1.40
Debt / FCF Ratio,,0.58,1.27,3.45,6.53,-91.69,10.39,3.40,1.30,1.22,1.25,1.65,1.71,1.41,1.83,3.70,5.61,5.15,4.30,3.23,3.55,3.92,5.47,3.95,3.83,3.07,2.13,2.05,1.67,1.50,1.64
Interest Coverage,4.35,6.67,5.62,4.30,4.69,3.12,0.01,-2.75,3.93,4.49,4.99,3.91,9.49,11.01,-2.32,4.67,5.00,3.13,4.31,4.15,4.73,7.22,5.81,1.62,0.96,14.26,6.55,17.93,-0.35,14.77,15.48
Asset Turnover,,,0.25,0.23,0.22,0.21,0.21,0.23,0.26,0.26,0.25,0.23,0.26,0.25,0.20,0.21,0.21,0.23,0.25,0.21,0.21,0.21,0.22,0.21,0.21,0.26,0.25,0.28,0.24,0.30,0.29
Return on Equity (ROE),,,19.40%,15.80%,14.20%,10.10%,-3.90%,-12.80%,6.70%,9.50%,10.90%,8.90%,20.30%,16.20%,-2.40%,8.10%,8.90%,4.30%,6.80%,4.80%,4.50%,7.50%,5.40%,4.40%,-1.40%,17.10%,7.00%,17.10%,-1.90%,13.80%,13.70%
Return on Assets (ROA),,,3.20%,2.80%,3.00%,1.60%,-0.50%,-2.10%,1.10%,1.50%,1.80%,1.50%,4.00%,4.00%,-0.60%,2.00%,2.50%,1.30%,2.10%,1.30%,1.30%,2.30%,1.70%,1.40%,-0.40%,4.90%,2.00%,5.20%,-0.50%,3.70%,3.70%
Return on Capital (ROIC),,12.68%,14.82%,10.95%,10.89%,8.52%,0.04%,-8.26%,5.61%,7.41%,8.24%,7.78%,13.91%,13.44%,-3.88%,6.89%,7.98%,4.57%,6.21%,4.17%,4.15%,6.77%,5.32%,8.30%,0.33%,13.34%,6.48%,13.25%,-0.54%,12.22%,11.36%
Earnings Yield,,,9.50%,5.88%,5.74%,4.68%,-2.08%,-8.12%,3.73%,4.95%,4.61%,4.76%,8.46%,8.30%,-2.00%,6.04%,7.26%,3.56%,6.07%,3.47%,3.37%,4.73%,3.60%,2.50%,-0.89%,11.34%,5.60%,14.15%,-1.42%,10.44%,9.83%
FCF Yield,,,18.40%,8.22%,3.73%,-0.40%,5.25%,10.07%,24.39%,24.98%,19.08%,16.52%,10.79%,9.86%,12.93%,7.81%,4.93%,6.30%,8.32%,8.61%,6.66%,4.64%,3.72%,4.95%,5.46%,7.29%,11.49%,12.62%,13.85%,13.47%,12.98%
Buyback Yield / Dilution,,,,-0.67%,-0.36%,-1.49%,-30.84%,-17.68%,-14.07%,-0.15%,-0.01%,0.49%,1.39%,-3.05%,1.46%,-0.05%,1.02%,1.01%,-0.07%,-45.14%,0.07%,0.07%,-0.30%,0.71%,0.05%,0.52%,0.25%,0.80%,1.59%,1.72%,1.99%
Total Shareholder Return,,,,-0.67%,-0.36%,-1.49%,-30.84%,-17.68%,-14.07%,-0.15%,-0.01%,0.49%,1.39%,-3.05%,1.46%,-0.05%,1.02%,1.01%,-0.07%,-45.14%,0.07%,0.07%,-0.30%,0.71%,0.05%,0.52%,0.25%,0.80%,1.59%,1.72%,1.99%
