Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,7561,12664,15037,25530,32185,29524,24818,25393,17336,17300,16897,13768,12477,11647,14858,17011,18765,26539,30961,28925,34849,41538,40171,56225,59341,87761,82080,93422,110335
Market Cap Growth,,,,67.50%,18.73%,69.78%,26.07%,-8.27%,-15.94%,2.32%,-31.73%,-0.21%,-2.33%,-18.52%,-9.38%,-6.65%,27.56%,14.49%,10.31%,41.43%,16.66%,-6.57%,20.48%,19.19%,-3.29%,39.97%,5.54%,47.89%,-6.47%,13.82%,16.71%
Enterprise Value,,654,8112,13717,18251,28590,34629,32078,27706,28085,21293,20822,19853,15499,14394,13532,15998,17826,19382,27191,32382,31965,38630,45820,44929,69294,70831,99171,83450,94706,123510
PE Ratio,,,16.46,29.18,18.89,35.17,27.25,30.31,18.18,16.49,98.50,42.82,17.07,5.56,-170.91,51.31,17.38,17.13,15.96,19.56,21.13,18.09,19.71,27.84,24.35,32.28,29.44,27.92,26.91,24.87,27.71
PS Ratio,,,1.72,2.11,2.09,2.79,3.12,2.99,2.39,2.27,1.48,1.72,1.63,1.24,1.16,1.19,1.41,1.48,1.57,2.16,2.39,2.24,2.64,2.96,2.69,3.38,3.45,4.43,3.96,4.11,4.62
PB Ratio,,,4.00,3.92,4.11,6.12,6.16,5.71,4.95,4.66,3.43,3.23,2.90,1.76,2.18,2.00,2.33,2.89,2.87,3.36,4.39,4.44,5.63,5.65,5.35,7.22,6.52,7.97,7.80,7.66,7.95
P/FCF Ratio,,,47.26,59.46,19.58,46.00,40.95,28.75,26.63,17.65,10.10,173.00,27.48,-20.55,22.08,34.06,32.51,11.91,18.62,28.08,17.65,18.48,19.82,25.98,18.98,28.98,19.56,28.22,27.41,24.32,29.27
P/OCF Ratio,,,23.85,30.52,13.03,24.76,24.80,20.22,18.56,13.60,8.38,43.36,21.50,-45.44,13.27,18.20,20.58,9.98,14.19,19.79,14.61,15.32,17.36,21.94,16.54,23.81,17.55,24.96,23.69,21.94,26.72
EV/Sales Ratio,,0.17,1.84,2.28,2.54,3.12,3.36,3.25,2.67,2.51,1.82,2.07,1.92,1.39,1.34,1.38,1.52,1.55,1.63,2.22,2.50,2.48,2.92,3.27,3.01,4.16,4.11,5.00,4.03,4.17,5.16
EV/EBITDA Ratio,,0.77,9.33,13.44,10.63,14.94,13.93,14.01,10.53,9.80,19.53,15.76,9.67,4.45,21.68,15.85,9.70,9.16,8.82,10.98,12.44,11.19,12.54,13.71,14.94,17.80,16.19,17.41,14.80,14.44,17.05
EV/EBIT Ratio,,0.92,11.12,16.69,12.63,19.28,15.88,18.13,12.19,11.34,33.59,25.06,12.69,5.10,55.36,27.67,12.38,11.04,10.48,12.84,14.61,13.14,14.62,16.01,17.87,23.63,21.61,21.46,18.49,17.04,18.96
EV/FCF Ratio,,3.61,50.70,64.40,23.76,51.51,44.06,31.23,29.73,19.52,12.41,208.22,32.28,-23.13,25.48,39.57,35.01,12.48,19.23,28.77,18.46,20.43,21.97,28.66,21.22,35.72,23.35,31.89,27.86,24.65,32.77
Debt / Equity Ratio,,0.59,0.45,0.46,1.05,0.84,0.51,0.60,0.68,0.62,1.05,1.03,0.85,0.49,0.63,0.62,0.48,0.50,0.45,0.37,0.48,0.68,0.78,0.75,0.78,1.83,1.49,1.20,1.28,1.27,1.08
Debt / EBITDA Ratio,,1.16,0.98,1.45,2.23,1.82,1.08,1.35,1.31,1.17,4.89,4.20,2.42,1.11,5.42,4.21,1.84,1.50,1.33,1.19,1.30,1.55,1.56,1.64,1.94,3.65,3.10,2.31,2.39,2.35,2.08
Debt / FCF Ratio,,5.42,5.32,6.93,4.98,6.28,3.41,3.01,3.68,2.33,3.10,55.42,8.08,-5.77,6.38,10.50,6.64,2.05,2.89,3.13,1.93,2.82,2.73,3.43,2.75,7.33,4.48,4.23,4.50,4.02,3.92
Interest Coverage,13.27,11.35,11.84,7.68,10.32,6.36,8.83,9.03,14.20,13.38,2.89,2.50,5.17,11.39,1.18,2.03,5.55,8.11,10.22,12.68,13.43,14.93,13.98,12.08,8.67,5.60,6.37,10.41,9.62,9.62,9.82
Quick Ratio,,0.93,0.89,0.82,0.51,0.63,0.74,0.73,0.78,0.92,0.89,1.09,0.80,1.43,1.31,1.19,1.59,1.34,1.50,1.47,1.45,1.31,1.14,1.25,1.09,0.96,1.13,1.10,1.01,1.04,1.08
Current Ratio,,1.07,1.12,1.10,0.66,0.75,0.88,0.86,0.95,1.05,1.05,1.21,1.18,1.56,1.41,1.33,1.70,1.51,1.67,1.65,1.51,1.36,1.20,1.31,1.21,1.06,1.24,1.24,1.06,1.10,1.14
Asset Turnover,,,0.99,0.80,0.77,0.74,0.76,0.73,0.78,0.77,0.71,0.57,0.58,0.64,0.67,0.65,0.69,0.76,0.77,0.75,0.74,0.74,0.73,0.71,0.70,0.53,0.53,0.60,0.58,0.51,0.49
Return on Equity (ROE),,,25.80%,13.60%,22.30%,17.80%,24.50%,18.80%,26.80%,28.60%,3.20%,7.80%,16.70%,37.60%,-1.10%,3.90%,13.80%,15.50%,18.40%,19.10%,18.90%,24.30%,27.00%,21.40%,21.60%,22.20%,24.30%,31.20%,29.20%,32.30%,31.20%
Return on Assets (ROA),,,10.40%,5.80%,8.50%,5.90%,8.70%,7.20%,10.30%,10.60%,1.10%,2.30%,5.60%,14.30%,-0.50%,1.50%,5.60%,6.50%,7.60%,8.30%,8.40%,9.10%,9.70%,7.60%,7.70%,5.60%,6.20%,9.50%,8.50%,8.50%,8.30%
Return on Capital (ROIC),,16.28%,17.95%,10.28%,11.57%,11.13%,16.82%,13.21%,17.39%,18.68%,2.44%,4.38%,6.89%,6.52%,-13.29%,7.56%,8.06%,13.05%,13.63%,13.30%,15.75%,15.59%,15.93%,11.75%,15.36%,8.80%,9.86%,13.42%,13.45%,14.42%,14.96%
Earnings Yield,,,6.07%,3.43%,5.29%,2.84%,3.67%,3.30%,5.50%,6.06%,1.02%,2.34%,5.86%,17.98%,-0.59%,1.95%,5.75%,5.84%,6.27%,5.11%,4.73%,5.53%,5.07%,3.59%,4.11%,3.10%,3.40%,3.58%,3.72%,4.02%,3.65%
FCF Yield,,,2.12%,1.68%,5.11%,2.17%,2.44%,3.48%,3.76%,5.67%,9.90%,0.58%,3.64%,-4.87%,4.53%,2.94%,3.08%,8.39%,5.37%,3.56%,5.67%,5.41%,5.04%,3.85%,5.27%,3.45%,5.11%,3.54%,3.65%,4.11%,3.42%
