Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,2329,3451,3068,1721,3769,3331,3375,4598,4613,4812,5366,3560,2766,2415,3281,2403,2762,4481,3811,4862,4979,5619,5540,6791,5993,7546,7349,8243,9285
Market Cap Growth,,,,48.20%,-11.11%,-43.92%,119.08%,-11.62%,1.32%,36.21%,0.34%,4.30%,11.52%,-33.64%,-22.32%,-12.69%,35.85%,-26.75%,14.93%,62.26%,-14.97%,27.60%,2.40%,12.85%,-1.40%,22.57%,-11.75%,25.92%,-2.62%,12.17%,13.99%
Enterprise Value,,301,2448,3567,3190,1911,3974,3452,3480,4688,4696,4886,5438,3571,2935,2684,3628,3223,3234,4897,4639,5655,6362,6942,6422,7686,6841,8977,8865,9632,11109
PE Ratio,,,10.11,11.58,9.48,7.59,12.67,9.60,8.59,10.00,10.61,8.73,11.54,13.07,-4.95,-24.37,108.99,-17.10,-40.26,10.01,9.30,11.52,10.66,10.03,14.95,6.43,10.73,4.92,10.71,13.77,15.34
PS Ratio,,,1.29,1.76,1.41,0.82,1.82,1.40,1.23,1.40,1.32,1.26,1.41,0.87,0.85,0.64,0.80,0.52,0.56,0.82,0.69,0.84,0.84,0.90,0.89,0.91,0.84,0.81,0.91,1.14,1.30
PB Ratio,,,1.23,1.60,1.33,0.78,1.55,1.20,1.07,1.29,1.19,1.20,1.23,0.78,0.74,0.62,0.80,0.64,0.77,1.19,0.97,1.25,1.12,1.19,1.08,1.13,0.97,1.10,1.19,1.29,1.56
P/FCF Ratio,,,7.70,9.08,9.91,6.61,11.34,6.48,5.42,6.58,6.10,6.00,5.34,4.13,4.89,4.53,-11.62,-25.32,5.19,6.53,-21.03,7.07,7.81,12.41,7.29,7.25,5.06,5.75,6.28,9.36,9.02
P/OCF Ratio,,,7.47,8.91,9.20,6.27,10.95,6.33,5.29,6.38,5.95,5.77,5.34,4.13,4.89,4.53,-11.62,-25.32,5.19,6.53,-21.03,7.07,7.81,12.41,7.29,7.25,5.06,5.75,6.28,9.36,9.02
EV/Sales Ratio,,0.18,1.36,1.82,1.47,0.91,1.92,1.45,1.26,1.43,1.34,1.28,1.43,0.87,0.91,0.71,0.88,0.69,0.65,0.90,0.84,0.98,1.08,1.11,1.03,1.03,0.95,0.96,1.10,1.33,1.46
EV/EBITDA Ratio,,0.88,6.90,8.10,6.60,5.72,8.84,6.57,6.11,6.82,7.12,6.46,7.88,9.26,-3.60,-10.77,60.88,-18.61,-35.07,7.05,7.31,8.40,8.64,8.81,13.37,5.64,9.35,4.54,9.59,11.78,11.93
EV/EBIT Ratio,,0.88,6.90,8.10,6.60,5.72,8.84,6.57,6.11,6.82,7.12,6.46,7.88,9.26,-3.60,-10.77,60.88,-18.61,-35.07,7.05,7.31,8.40,8.64,8.81,13.37,5.64,9.35,4.54,9.59,11.78,12.40
EV/FCF Ratio,,0.76,8.09,9.39,10.30,7.34,11.96,6.72,5.58,6.71,6.21,6.09,5.41,4.14,5.19,5.04,-12.86,-33.96,6.08,7.13,-25.60,8.22,9.98,15.33,8.44,8.21,5.77,6.84,7.57,10.94,10.78
Debt / Equity Ratio,,0.20,0.08,0.07,0.06,0.09,0.10,0.06,0.04,0.04,0.04,0.04,0.03,0.01,0.06,0.09,0.12,0.24,0.16,0.15,0.25,0.25,0.34,0.31,0.19,0.16,0.16,0.23,0.26,0.25,0.33
Debt / EBITDA Ratio,,0.93,0.43,0.32,0.30,0.62,0.53,0.30,0.25,0.20,0.22,0.19,0.21,0.17,-0.29,-1.39,7.97,-5.27,-6.21,0.82,1.52,1.41,2.08,1.84,2.04,0.71,1.32,0.80,1.73,1.95,2.25
Debt / FCF Ratio,,0.81,0.51,0.38,0.47,0.80,0.72,0.31,0.23,0.20,0.19,0.18,0.14,0.07,0.41,0.65,-1.68,-9.62,1.08,0.83,-5.33,1.38,2.40,3.20,1.29,1.04,0.82,1.21,1.36,1.81,1.93
Interest Coverage,10.63,12.75,22.18,32.88,33.83,23.05,21.21,27.80,64.69,83.89,74.13,79.66,69.69,52.82,-302.37,-10.30,1.86,-2.73,-2.55,32.15,24.80,16.08,14.66,12.51,11.38,34.06,16.75,35.20,13.85,11.60,12.37
Asset Turnover,,,0.27,0.29,0.31,0.31,0.29,0.31,0.33,0.35,0.34,0.34,0.32,0.32,0.25,0.27,0.28,0.29,0.31,0.33,0.33,0.34,0.32,0.32,0.32,0.36,0.33,0.38,0.32,0.28,0.28
Return on Equity (ROE),,,13.10%,14.60%,14.30%,10.10%,13.00%,13.10%,13.00%,13.20%,11.60%,13.70%,11.00%,6.00%,-13.90%,-2.60%,0.70%,-3.60%,-1.90%,12.10%,10.50%,10.80%,10.70%,12.00%,7.20%,18.10%,9.60%,23.20%,11.00%,9.70%,10.50%
Return on Assets (ROA),,,3.50%,4.40%,4.60%,3.30%,4.20%,4.50%,4.70%,4.90%,4.20%,4.90%,3.90%,2.10%,-4.20%,-0.70%,0.20%,-0.90%,-0.40%,2.70%,2.40%,2.50%,2.60%,2.90%,1.90%,5.10%,2.60%,6.30%,2.70%,2.30%,2.40%
Return on Capital (ROIC),,11.94%,11.86%,13.38%,13.55%,9.78%,11.61%,12.17%,12.11%,12.61%,11.00%,13.41%,10.45%,6.03%,-20.55%,-5.88%,1.42%,-3.69%,-2.21%,10.65%,8.74%,9.32%,8.37%,9.86%,6.63%,15.61%,8.31%,18.62%,9.52%,8.19%,8.86%
Earnings Yield,,,9.89%,8.64%,10.55%,13.18%,7.89%,10.41%,11.64%,10.00%,9.43%,11.46%,8.66%,7.65%,-20.19%,-4.10%,0.92%,-5.85%,-2.48%,9.99%,10.75%,8.68%,9.38%,9.98%,6.69%,15.56%,9.32%,20.33%,9.34%,7.26%,7.02%
FCF Yield,,,12.99%,11.01%,10.09%,15.13%,8.82%,15.43%,18.46%,15.21%,16.39%,16.66%,18.72%,24.22%,20.45%,22.07%,-8.60%,-3.95%,19.26%,15.32%,-4.76%,14.15%,12.80%,8.06%,13.73%,13.79%,19.77%,17.38%,15.93%,10.68%,11.09%
Dividend Yield,2.20%,1.40%,1.60%,1.30%,1.70%,3.60%,1.70%,2.10%,2.20%,4.40%,2.00%,6.20%,2.50%,4.10%,5.60%,6.80%,5.10%,7.60%,8.30%,4.20%,5.00%,4.00%,3.90%,3.60%,8.70%,8.00%,4.30%,13.80%,8.00%,3.30%,2.86%
Payout Ratio,18.40%,12.90%,16.00%,15.00%,16.40%,27.80%,22.10%,20.30%,19.40%,44.10%,21.00%,54.70%,29.40%,53.40%,-27.80%,-161.90%,530.80%,-127.30%,-327.80%,41.40%,46.30%,45.40%,41.70%,35.50%,141.30%,51.10%,44.90%,66.50%,84.20%,46.20%,43.84%
Buyback Yield / Dilution,,-7.93%,-2.19%,0.14%,1.85%,6.73%,7.39%,1.03%,-1.36%,-0.38%,-0.55%,-0.57%,-0.67%,-0.15%,-0.05%,-1.80%,-2.30%,-5.79%,-0.30%,-0.64%,-0.43%,-0.37%,0.03%,-1.04%,-12.26%,-1.92%,0.49%,-1.19%,0.09%,6.28%,7.07%
Total Shareholder Return,2.20%,-6.53%,-0.59%,1.44%,3.55%,10.33%,9.09%,3.13%,0.84%,4.02%,1.45%,5.63%,1.83%,3.95%,5.55%,5.00%,2.80%,1.81%,8.00%,3.56%,4.57%,3.63%,3.93%,2.56%,-3.56%,6.08%,4.79%,12.61%,8.09%,9.58%,9.93%
