Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,4838,8663,12280,5347,7610,10945,10808,18055,16985,23035,18448,13376,10006,12129,13181,12108,12760,16362,15903,18589,20618,32758,35181,42321,57904,60057,75889,93185,147106
Market Cap Growth,,,,79.07%,41.75%,-56.46%,42.33%,43.82%,-1.25%,67.06%,-5.93%,35.62%,-19.91%,-27.50%,-25.19%,21.22%,8.67%,-8.14%,5.38%,28.23%,-2.81%,16.89%,10.92%,58.88%,7.40%,20.30%,36.82%,3.72%,26.36%,22.79%,57.01%
Enterprise Value,,660,5598,9415,13038,6381,8350,12029,12280,19533,18250,24314,19628,15544,12179,14146,14980,14395,14644,18148,17959,21072,23540,35789,39511,46501,63224,64753,82057,99974,154127
PE Ratio,,,15.74,21.66,26.89,18.11,165.07,26.60,16.20,14.38,10.30,16.53,11.20,11.31,-142.94,11.47,12.34,11.92,14.14,14.04,12.41,14.66,20.00,20.57,13.56,10.73,10.20,18.07,109.26,24.11,18.25
PS Ratio,,,1.39,1.88,2.32,0.87,1.12,1.46,1.16,1.52,1.23,1.61,1.25,0.91,0.78,0.83,0.87,0.77,0.75,0.90,0.82,0.89,0.88,1.22,1.10,1.09,1.36,1.26,1.53,1.50,2.04
PB Ratio,,,2.89,4.06,4.80,1.94,2.65,3.37,2.87,3.59,3.30,3.77,2.69,2.71,2.37,2.11,2.18,2.09,2.12,2.64,2.30,2.55,2.59,3.53,3.25,3.10,3.40,3.29,4.78,4.60,5.42
P/FCF Ratio,,,7.85,14.14,26.24,8.11,11.00,9.44,5.93,7.97,6.88,12.72,10.82,8.07,6.89,8.53,8.12,8.52,8.14,9.28,9.80,8.56,8.17,9.06,5.84,7.11,8.64,7.92,11.51,8.93,9.23
P/OCF Ratio,,,7.42,11.79,19.12,6.73,9.25,8.86,5.65,7.41,6.38,11.55,9.11,7.47,6.46,8.16,7.85,8.08,7.54,8.61,9.22,8.11,7.54,8.72,5.60,6.76,8.39,7.74,11.08,8.76,9.11
EV/Sales Ratio,,0.22,1.61,2.04,2.46,1.04,1.23,1.61,1.32,1.64,1.32,1.70,1.33,1.06,0.95,0.97,0.98,0.91,0.86,1.00,0.93,1.01,1.00,1.33,1.24,1.19,1.48,1.36,1.65,1.61,2.14
EV/EBITDA Ratio,,1.56,10.62,13.85,16.75,11.39,44.60,16.69,10.77,9.55,6.94,10.88,7.51,8.14,902.12,7.93,8.41,8.43,9.53,9.36,8.47,9.73,13.19,14.19,11.02,8.24,8.19,13.59,54.62,18.27,14.26
