Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,270.62,475.30,669.17,451.62,375.86,453.20,598.53,931.34,1141.54,1511.68,1657.95,1794.39,1768.41,1741.01,1861.73,2437.36,2593.43,2989.95,2581.85,2579.03,2992.43,3052.68,2175.48,1944.02,958.70,1365.78,942.74,702.87,811.85
Market Cap Growth,,,,75.63%,40.79%,-32.51%,-16.77%,20.58%,32.07%,55.60%,22.57%,32.43%,9.68%,8.23%,-1.45%,-1.55%,6.93%,30.92%,6.40%,15.29%,-13.65%,-0.11%,16.03%,2.01%,-28.74%,-10.64%,-50.68%,42.46%,-30.97%,-25.44%,-23.54%
Enterprise Value,,-4.24,256.59,463.05,660.15,432.21,367.31,482.54,527.73,994.08,1272.32,1644.42,1807.98,1928.28,1799.88,1750.57,1861.98,2356.64,2599.88,3032.57,2634.81,2685.79,3323.28,3330.00,2382.77,2076.53,1047.75,1668.01,1359.78,1081.28,1221.63
PE Ratio,,,8.69,12.69,14.12,9.67,15.47,36.40,49.03,24.06,15.68,13.32,7.01,10.67,9.95,7.84,8.04,8.49,9.41,10.05,13.14,22.20,19.81,28.46,46.23,1936.28,-5.46,9.48,-2345.13,-18.21,
PS Ratio,,,1.94,2.96,3.46,2.17,1.69,1.19,1.08,1.75,1.88,2.33,2.25,2.54,3.12,2.59,2.69,3.40,3.62,4.04,3.03,3.34,3.44,3.52,2.46,1.94,1.10,1.22,0.85,0.62,0.71
PB Ratio,,,1.11,1.66,2.06,1.39,1.09,1.10,1.19,1.71,1.87,1.98,1.48,1.43,1.24,1.02,1.00,1.13,1.14,1.25,1.20,1.32,1.66,1.91,1.43,1.29,0.71,0.96,0.85,0.63,0.72
P/FCF Ratio,,,3.62,10.34,8.85,9.73,10.34,7.40,3.38,3.29,3.06,4.15,9.07,7.35,10.53,23.09,13.38,15.29,28.42,91.28,27.73,25.38,17.81,18.74,12.98,14.03,11.30,19.48,-27.57,-12.86,-34.79
P/OCF Ratio,,,3.62,10.34,8.85,9.73,10.34,7.40,3.38,3.29,3.06,4.15,9.07,7.35,10.53,23.09,13.38,15.29,28.42,77.46,26.89,23.21,16.72,17.61,12.27,13.12,10.38,18.46,-31.59,-14.09,-49.70
EV/Sales Ratio,,-0.04,1.84,2.88,3.41,2.08,1.65,1.26,0.95,1.86,2.09,2.54,2.45,2.73,3.17,2.60,2.69,3.29,3.63,4.10,3.09,3.48,3.82,3.84,2.69,2.08,1.20,1.48,1.23,0.95,1.06
EV/EBITDA Ratio,,-0.10,6.44,8.87,9.67,6.21,10.61,20.07,17.63,15.27,11.07,9.38,5.72,7.29,6.62,5.12,5.13,5.19,5.97,6.96,8.35,14.95,14.83,19.11,35.89,319.61,-5.82,8.19,26.04,107.96,16.77
EV/EBIT Ratio,,-0.11,6.29,9.42,10.14,6.84,12.98,39.57,35.43,22.60,14.12,10.87,6.08,7.77,7.05,5.43,5.54,5.64,6.53,7.58,9.54,18.72,17.38,22.89,52.78,-170.65,-5.20,10.03,96.06,-67.58,24.09
