Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,824,1361,1043,1774,2840,4028,3472,4577,4892,4865,4344,939,299,605,1073,312,817,2444,3194,2770,3855,4443,3490,5061,3879,3789,2994,4373,5313
Market Cap Growth,,,,65.08%,-23.34%,70.09%,60.10%,41.82%,-13.79%,31.82%,6.87%,-0.56%,-10.69%,-78.39%,-68.21%,102.68%,77.30%,-70.95%,161.98%,199.33%,30.69%,-13.28%,39.18%,15.24%,-21.44%,45.01%,-23.35%,-2.31%,-20.98%,46.03%,18.48%
Enterprise Value,,-4,821,1358,1034,1767,2838,4292,3995,5228,5579,5604,5034,1692,1237,1522,2506,1296,1533,3329,4342,3930,4863,5374,4496,5987,5367,5197,4507,5890,7337
PE Ratio,,,13.99,12.10,7.51,12.25,11.56,11.28,8.24,11.86,9.43,9.30,7.46,-0.73,-0.73,-4.09,-0.59,1.03,-1.81,-12.41,3.33,9.65,12.51,36.69,5.76,7.53,9.86,6.31,4.03,7.25,9.20
PS Ratio,,,3.70,3.49,2.16,3.35,4.65,4.25,3.25,3.58,3.59,3.75,3.27,4.67,0.17,0.46,2.57,0.16,0.91,3.26,2.98,2.32,3.11,3.64,2.74,3.31,2.70,2.85,2.52,3.53,4.28
PB Ratio,,,2.31,3.17,1.12,1.68,2.09,1.75,1.26,1.42,1.33,1.33,1.07,0.35,0.15,0.30,1.25,0.26,1.11,2.60,1.52,1.11,1.34,1.48,1.00,1.25,0.91,0.89,0.76,0.99,1.19
P/FCF Ratio,,,9.76,10.24,5.68,7.12,10.50,8.52,6.37,8.67,12.21,8.12,9.18,3.15,-0.89,25.92,-1.24,-0.35,-1.59,-3.64,-19.39,-201.53,11.14,13.39,5.35,7.59,6.05,6.96,8.08,8.52,30.33
P/OCF Ratio,,,9.76,9.19,5.44,6.78,10.14,8.37,5.92,8.14,11.74,8.01,8.89,3.11,-0.90,21.89,-1.24,-0.35,-1.60,-3.68,-21.84,236.33,10.10,12.32,5.15,7.29,5.89,6.80,7.71,8.26,28.88
EV/Sales Ratio,,-0.02,3.69,3.48,2.14,3.33,4.64,4.53,3.74,4.09,4.09,4.32,3.79,8.41,0.68,1.16,6.00,0.67,1.70,4.44,4.05,3.29,3.93,4.40,3.53,3.92,3.73,3.91,3.79,4.75,5.72
EV/EBITDA Ratio,,-0.05,9.94,8.53,5.11,7.97,7.98,8.16,6.33,8.92,7.04,6.81,5.60,-0.85,-2.05,-8.64,-1.67,2.63,-3.88,-39.56,16.48,6.38,7.65,10.85,5.52,6.12,8.70,5.64,4.06,6.33,7.62
EV/EBIT Ratio,,-0.05,9.94,8.53,5.22,8.05,8.05,8.20,6.34,9.19,7.34,7.15,5.84,-0.84,-1.99,-7.76,-1.63,3.01,-3.42,-21.64,21.98,7.35,8.61,13.12,6.03,6.61,9.75,6.12,4.35,6.87,8.20
EV/FCF Ratio,,-0.06,9.72,10.22,5.63,7.09,10.49,9.08,7.33,9.90,13.92,9.35,10.64,5.68,-3.68,65.20,-2.90,-1.44,-2.99,-4.96,-26.36,-285.89,14.05,16.19,6.90,8.98,8.37,9.54,12.16,11.48,41.89
Debt / Equity Ratio,,,,,,,,0.14,0.20,0.22,0.19,0.20,0.18,0.35,0.50,0.50,1.73,0.89,1.05,0.99,0.57,0.49,0.37,0.34,0.32,0.25,0.37,0.37,0.40,0.35,0.45
Debt / EBITDA Ratio,,,,,,,,0.62,0.86,1.22,0.91,0.91,0.83,-0.48,-1.68,-5.64,-0.99,2.12,-1.96,-11.05,4.52,1.98,1.68,2.07,1.37,1.04,2.56,1.69,1.41,1.65,2.05
Debt / FCF Ratio,,,,,,,,0.69,1.00,1.36,1.79,1.25,1.58,3.20,-3.03,42.59,-1.72,-1.16,-1.51,-1.39,-7.24,-88.72,3.09,3.09,1.71,1.53,2.47,2.87,4.23,3.00,11.41
Interest Coverage,,,,,,,,29.40,21.86,15.16,21.93,18.20,17.89,-37.99,-11.60,-4.27,-36.81,7.00,-8.64,-2.06,2.18,5.87,6.96,6.52,12.13,16.08,7.74,10.07,12.28,9.56,8.60
Asset Turnover,,,0.41,0.58,0.50,0.35,0.30,0.23,0.21,0.21,0.20,0.18,0.17,0.03,0.22,0.16,0.05,0.28,0.15,0.13,0.18,0.20,0.21,0.21,0.21,0.23,0.19,0.17,0.17,0.17,0.17
Return on Equity (ROE),,,18.00%,28.00%,23.60%,16.20%,19.80%,16.50%,16.20%,12.60%,15.00%,14.70%,14.90%,-35.60%,-17.00%,-7.40%,-115.00%,26.40%,-50.60%,-21.50%,59.30%,12.10%,11.00%,4.10%,18.50%,17.40%,9.70%,14.10%,18.90%,14.30%,13.80%
Return on Assets (ROA),,,10.80%,16.60%,14.40%,9.50%,11.90%,8.60%,8.20%,6.30%,7.70%,7.40%,7.60%,-15.80%,-5.00%,-1.80%,-21.40%,4.30%,-7.40%,-3.30%,15.80%,4.80%,5.10%,2.10%,9.80%,10.10%,5.30%,7.60%,10.30%,8.20%,7.80%
Return on Capital (ROIC),,17.01%,17.46%,26.92%,15.26%,12.58%,18.06%,14.16%,11.81%,8.54%,9.40%,9.06%,8.99%,-43.53%,-22.32%,-7.65%,-66.22%,15.81%,-14.62%,-5.28%,135.54%,10.85%,10.35%,4.00%,14.35%,14.49%,7.71%,11.46%,14.74%,11.35%,10.54%
Earnings Yield,,,7.15%,8.26%,13.32%,8.16%,8.65%,8.87%,12.14%,8.43%,10.60%,10.75%,13.40%,-137.41%,-137.53%,-24.44%,-168.32%,96.94%,-55.29%,-8.06%,30.04%,10.36%,8.00%,2.73%,17.36%,13.28%,10.15%,15.85%,24.81%,13.79%,11.36%
FCF Yield,,,10.25%,9.77%,17.60%,14.04%,9.53%,11.73%,15.70%,11.53%,8.19%,12.32%,10.89%,31.74%,-112.48%,3.86%,-80.64%,-288.99%,-62.79%,-27.45%,-5.16%,-0.50%,8.98%,7.47%,18.67%,13.18%,16.54%,14.37%,12.38%,11.74%,3.30%
Dividend Yield,0.70%,0.50%,0.30%,0.20%,0.30%,0.30%,0.20%,0.20%,0.20%,0.20%,0.20%,0.10%,0.10%,0.70%,1.20%,0.10%,0.10%,0.40%,0.20%,0.10%,0.10%,0.10%,0.10%,0.00%,0.10%,0.00%,2.50%,2.60%,4.20%,3.20%,2.78%
Payout Ratio,5.90%,4.70%,4.00%,3.90%,3.20%,3.10%,1.80%,1.60%,1.80%,1.90%,1.50%,1.30%,1.10%,-0.50%,-0.90%,-0.60%,-0.10%,0.40%,-0.30%,-0.80%,0.20%,0.60%,0.70%,1.40%,0.30%,0.30%,24.90%,17.10%,18.10%,23.60%,25.53%
Buyback Yield / Dilution,,,,-0.48%,-0.76%,-62.86%,-0.77%,-20.52%,-8.22%,1.07%,0.55%,9.36%,7.31%,3.29%,-0.88%,-2.09%,-39.98%,-16.71%,0.99%,-25.53%,-40.59%,-5.31%,6.93%,3.86%,0.84%,3.76%,6.51%,3.24%,10.30%,6.17%,3.29%
Total Shareholder Return,0.70%,0.50%,0.30%,-0.28%,-0.46%,-62.56%,-0.57%,-20.32%,-8.02%,1.27%,0.75%,9.46%,7.41%,3.99%,0.32%,-1.99%,-39.88%,-16.31%,1.19%,-25.43%,-40.49%,-5.21%,7.03%,3.86%,0.94%,3.76%,9.01%,5.84%,14.50%,9.37%,6.07%
