Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,356,739,1178,1252,1749,1647,1337,1932,3023,2992,3419,3254,2669,3469,3933,3828,3953,5464,6019,5625,8079,10043,8803,10209,7874,7402,9497,10662,14279
Market Cap Growth,,,,107.85%,59.38%,6.31%,39.63%,-5.84%,-18.81%,44.53%,56.44%,-1.02%,14.27%,-4.82%,-17.98%,29.98%,13.38%,-2.66%,3.25%,38.24%,10.16%,-6.55%,43.63%,24.30%,-12.34%,15.98%,-22.88%,-6.00%,28.31%,12.27%,46.34%
Enterprise Value,,-18,449,809,1270,1412,1950,1743,1577,2246,3276,3663,4814,4626,3562,5023,5536,4932,5160,7240,7445,7296,10808,12311,10383,12339,8427,8301,10531,12119,14840
PE Ratio,,,6.46,13.53,18.98,30.65,22.51,49.83,10.89,11.16,13.62,13.35,11.86,11.07,15.10,8.52,7.34,7.01,6.26,13.05,8.80,11.20,11.52,5.51,12.30,11.74,18.97,6.33,18.37,11.82,16.87
PS Ratio,,,0.46,0.76,0.88,0.78,1.01,0.84,0.56,0.60,0.75,0.65,0.66,0.57,0.47,0.49,0.48,0.43,0.40,0.53,0.55,0.54,0.70,0.80,0.68,0.71,0.54,0.44,0.59,0.57,0.67
PB Ratio,,,0.84,1.48,1.57,1.71,2.03,1.64,1.09,0.99,1.33,1.18,1.21,1.02,1.02,0.90,0.78,0.66,0.57,0.92,0.86,0.92,1.14,1.05,1.04,0.88,0.55,0.57,1.34,1.17,1.47
P/FCF Ratio,,,1.38,1.71,3.37,4.51,9.07,6.75,8.37,3.36,4.25,4.99,4.04,2.96,3.67,2.54,2.13,2.92,2.00,3.16,2.68,2.72,5.69,5.18,5.67,4.49,2.39,1.77,7.07,2.64,1.60
P/OCF Ratio,,,1.38,1.71,3.37,4.51,9.07,6.75,8.37,3.36,4.25,4.99,4.04,2.96,3.67,2.54,2.13,2.92,2.00,3.16,2.58,2.69,5.51,5.07,5.57,4.43,2.37,1.77,7.07,2.64,1.60
EV/Sales Ratio,,-0.03,0.58,0.83,0.94,0.88,1.13,0.89,0.66,0.70,0.81,0.80,0.93,0.81,0.63,0.71,0.67,0.56,0.52,0.70,0.68,0.70,0.94,0.98,0.81,0.86,0.58,0.50,0.65,0.65,0.69
EV/EBITDA Ratio,,-0.25,4.76,7.86,10.59,15.53,11.85,22.52,7.04,7.41,8.53,9.48,9.47,8.61,10.31,7.58,6.17,5.69,5.04,9.53,6.64,7.94,8.94,9.17,10.00,9.11,10.92,5.30,11.17,8.35,10.54
EV/EBIT Ratio,,-0.25,4.76,7.86,10.59,15.53,11.85,22.52,7.04,7.41,8.53,9.48,9.47,8.61,10.31,7.58,6.17,5.69,5.04,9.53,6.74,8.22,9.15,9.55,10.46,9.46,11.66,5.45,11.64,8.60,10.86
EV/FCF Ratio,,-0.11,1.75,1.87,3.64,5.08,10.11,7.15,9.87,3.91,4.61,6.11,5.69,4.21,4.90,3.68,3.00,3.77,2.61,4.19,3.31,3.53,7.61,6.35,6.69,5.43,2.56,1.98,7.84,3.00,1.66
