Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,255,461,345,337,438,442,555,942,1050,1272,1378,1323,1310,1152,1101,1536,1372,2088,2126,2679,2772,2673,3069,4036,4692,5072,5957,6074,7456
Market Cap Growth,,,,80.98%,-25.01%,-2.32%,29.85%,0.81%,25.55%,69.90%,11.47%,21.10%,8.34%,-3.99%,-0.98%,-12.06%,-4.39%,39.48%,-10.66%,52.19%,1.77%,26.04%,3.47%,-3.58%,14.83%,31.51%,16.26%,8.09%,17.45%,1.96%,3.44%
Enterprise Value,,45,301,486,385,414,517,519,609,1090,1197,1387,1478,1451,1410,1252,1201,1555,1428,2199,2245,2816,2902,2797,3188,4139,4780,5183,6134,6137,7579
PE Ratio,,,9.90,15.27,12.23,10.73,15.27,14.23,15.47,13.22,14.38,11.87,10.23,7.52,16.65,12.27,8.59,12.13,13.28,16.54,15.69,19.48,24.12,25.45,47.82,21.06,29.87,18.16,10.21,19.94,22.23
PS Ratio,,,1.64,2.72,2.06,1.50,1.66,1.43,1.45,1.81,1.81,2.23,2.18,2.03,2.34,2.11,1.89,2.48,2.08,2.96,2.74,3.37,3.40,3.35,3.75,4.02,4.77,4.30,3.51,4.02,4.61
PB Ratio,,,1.27,1.73,1.18,1.15,1.34,1.32,1.22,1.70,1.68,1.84,1.82,1.71,1.85,1.38,1.39,1.94,1.72,2.52,2.52,3.25,3.37,3.13,3.80,4.06,4.13,4.13,5.06,4.30,4.74
P/FCF Ratio,,,5.49,14.19,15.92,6.37,8.48,6.31,3.49,5.04,5.64,6.61,8.17,10.67,8.38,9.07,11.24,13.47,63.44,17.56,18.29,18.78,17.32,14.19,14.53,14.95,18.22,13.47,24.32,13.25,17.61
P/OCF Ratio,,,5.20,13.15,14.65,5.78,8.25,5.67,3.42,4.93,5.56,6.42,8.02,10.41,8.12,9.01,10.99,13.02,37.87,15.47,17.27,17.56,15.89,13.53,14.14,14.58,17.82,13.18,23.78,13.08,17.33
EV/Sales Ratio,,0.29,1.93,2.87,2.29,1.83,1.96,1.68,1.59,2.10,2.07,2.44,2.34,2.22,2.51,2.29,2.06,2.51,2.16,3.12,2.90,3.54,3.56,3.51,3.90,4.12,4.86,4.39,3.61,4.06,4.66
EV/EBITDA Ratio,,3.23,7.42,10.70,9.15,8.31,11.07,10.74,11.25,11.06,10.86,9.00,7.50,5.47,12.06,8.83,6.36,8.06,9.40,11.72,11.14,13.44,16.98,28.27,38.85,16.66,23.33,14.42,8.33,15.61,17.77
