Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,557,793,568,472,609,553,665,879,1229,1498,1643,1220,1210,873,971,961,1060,1509,1533,1921,2491,3428,3589,3872,4008,4927,5341,6027,6003
Market Cap Growth,,,,42.41%,-28.32%,-16.88%,28.96%,-9.16%,20.24%,32.12%,39.75%,21.95%,9.69%,-25.75%,-0.85%,-27.84%,11.24%,-1.02%,10.25%,42.40%,1.58%,25.28%,29.68%,37.61%,4.70%,7.91%,3.50%,22.93%,8.41%,12.85%,-1.73%
Enterprise Value,,111,655,902,678,597,764,699,925,1117,1492,1834,1999,1507,1480,1147,1233,1268,1367,1901,1882,2308,2929,3822,4011,4415,4543,5388,5820,6518,6724
PE Ratio,,,10.02,11.39,10.61,8.80,22.96,21.54,15.86,13.25,9.55,10.09,10.05,8.33,27.65,23.99,14.50,43.63,27.92,14.18,10.81,11.58,15.72,20.30,20.06,14.26,16.27,12.49,24.76,16.93,26.94
PS Ratio,,,0.69,1.00,0.68,0.49,0.62,0.52,0.56,0.66,0.79,0.90,0.91,0.70,0.76,0.58,0.62,0.60,0.61,0.79,0.75,0.90,1.09,1.39,1.39,1.36,1.37,1.46,1.50,1.42,1.32
PB Ratio,,,1.17,1.40,0.94,0.83,1.05,0.94,1.02,1.17,1.39,1.53,1.53,1.13,1.36,0.87,0.91,0.91,0.97,1.31,1.20,1.37,1.63,2.00,2.00,1.76,1.46,1.65,2.11,2.04,2.21
P/FCF Ratio,,,6.50,16.92,12.50,8.93,11.66,12.07,3.95,3.23,3.46,3.77,4.39,3.28,5.19,3.98,6.36,8.65,4.96,4.69,7.06,5.26,8.00,9.38,8.18,8.67,7.53,6.58,6.88,8.19,7.35
P/OCF Ratio,,,6.17,15.57,10.04,7.40,9.48,10.51,3.70,3.12,3.35,3.68,4.18,3.16,5.02,3.84,6.10,7.82,4.68,4.49,6.59,5.03,7.56,9.03,7.89,8.11,7.23,6.39,6.66,7.94,7.11
EV/Sales Ratio,,0.13,0.81,1.14,0.81,0.62,0.77,0.66,0.78,0.84,0.96,1.10,1.11,0.87,0.93,0.76,0.79,0.79,0.79,1.00,0.92,1.08,1.28,1.55,1.55,1.55,1.55,1.59,1.64,1.54,1.48
EV/EBITDA Ratio,,1.39,7.77,8.29,8.22,6.94,15.22,14.02,12.18,9.69,7.23,7.55,7.47,6.16,16.65,14.53,9.43,19.92,14.36,8.94,7.09,7.33,9.62,11.29,14.27,10.38,11.56,9.14,16.57,12.60,19.04
EV/EBIT Ratio,,1.50,8.36,8.96,9.27,8.18,19.89,18.59,13.63,10.73,7.87,8.28,8.26,6.99,24.53,22.80,12.46,43.71,24.19,11.24,8.55,9.05,12.07,13.35,16.99,11.93,13.61,10.08,18.83,13.38,20.93
EV/FCF Ratio,,0.64,7.64,19.24,14.90,11.28,14.62,15.24,5.49,4.10,4.20,4.62,5.34,4.05,6.35,5.23,8.08,11.41,6.39,5.90,8.66,6.32,9.41,10.46,9.14,9.89,8.54,7.19,7.50,8.85,8.21
Debt / Equity Ratio,,0.25,0.22,0.20,0.19,0.23,0.28,0.26,0.40,0.32,0.30,0.35,0.34,0.27,0.31,0.27,0.24,0.29,0.28,0.34,0.29,0.28,0.29,0.26,0.25,0.25,0.20,0.17,0.20,0.17,0.17
Debt / EBITDA Ratio,,1.39,1.23,1.05,1.42,1.54,3.26,3.06,3.44,2.06,1.28,1.39,1.35,1.21,3.08,3.48,2.01,4.83,3.23,1.85,1.40,1.23,1.44,1.30,1.56,1.29,1.40,0.86,1.44,0.97,1.44
Debt / FCF Ratio,,0.64,1.21,2.43,2.58,2.51,3.13,3.33,1.55,0.87,0.74,0.85,0.97,0.79,1.17,1.25,1.72,2.77,1.44,1.22,1.72,1.06,1.41,1.20,1.00,1.23,1.04,0.68,0.65,0.68,0.62
Interest Coverage,7.63,7.98,8.52,10.49,7.77,7.72,2.80,2.59,4.49,6.07,12.26,12.59,11.30,9.05,2.94,2.60,5.32,1.59,2.99,6.42,9.55,11.38,10.66,11.76,9.67,10.99,10.82,18.33,10.71,16.92,11.15
Asset Turnover,,,0.37,0.35,0.35,0.39,0.39,0.40,0.40,0.40,0.41,0.40,0.39,0.35,0.32,0.30,0.30,0.29,0.29,0.31,0.31,0.31,0.32,0.33,0.33,0.33,0.31,0.33,0.34,0.37,0.38
Return on Equity (ROE),,,12.20%,13.20%,9.00%,9.20%,4.70%,4.40%,6.70%,9.40%,15.60%,15.80%,16.00%,14.10%,4.50%,3.80%,6.30%,2.00%,3.50%,9.40%,11.40%,12.30%,10.30%,10.10%,10.40%,13.10%,10.30%,13.70%,8.40%,13.00%,7.80%
Return on Assets (ROA),,,2.60%,3.10%,2.20%,2.20%,1.00%,1.00%,1.40%,2.00%,3.40%,3.50%,3.50%,3.00%,0.90%,0.70%,1.30%,0.40%,0.60%,1.70%,2.20%,2.40%,2.20%,2.20%,2.30%,3.20%,2.60%,3.90%,2.10%,3.10%,1.90%
Return on Capital (ROIC),,11.06%,10.89%,11.33%,8.48%,8.84%,5.59%,5.72%,5.92%,7.89%,12.13%,12.16%,12.47%,11.85%,5.73%,5.40%,6.42%,4.45%,4.08%,8.20%,9.61%,10.18%,8.88%,8.57%,8.94%,10.88%,8.25%,12.24%,8.18%,11.22%,7.47%
