Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,141,198,407,195,334,351,379,726,754,883,790,470,426,206,212,223,503,726,893,869,1077,1005,983,967,1292,2144,1159,1608,1949
Market Cap Growth,,,,40.56%,105.81%,-52.15%,71.44%,5.16%,7.99%,91.55%,3.81%,17.12%,-10.51%,-40.47%,-9.34%,-51.76%,2.97%,5.21%,125.75%,44.29%,22.98%,-2.64%,23.89%,-6.66%,-2.22%,-1.61%,33.62%,65.93%,-45.94%,38.68%,52.76%
Enterprise Value,,-4,135,186,378,177,330,304,254,637,683,837,764,470,698,375,130,158,366,565,763,793,998,964,899,861,1080,2291,1506,1955,2428
PE Ratio,,,9.75,12.94,8.65,6.85,551.00,7.21,4.01,5.87,9.14,9.95,18.27,-11.69,-1.72,-4.04,-16.84,94.93,4.61,11.52,30.01,-140.11,19.41,20.66,20.68,12.30,8.34,6.63,7.14,52.81,45.76
PS Ratio,,,0.22,0.28,0.42,0.18,0.36,0.28,0.21,0.32,0.35,0.36,0.32,0.22,0.27,0.12,0.13,0.14,0.26,0.38,0.48,0.43,0.54,0.52,0.52,0.52,0.57,0.66,0.38,0.73,0.84
PB Ratio,,,0.74,0.94,1.56,0.68,1.13,0.89,0.77,1.17,1.08,1.15,0.99,0.62,0.87,0.46,0.49,0.50,0.89,1.11,1.29,1.38,1.68,1.50,1.46,1.29,1.29,1.67,0.85,1.17,1.44
P/FCF Ratio,,,5.48,8.69,6.17,5.98,26.25,4.14,2.86,4.75,5.46,6.28,12.53,-17.55,-3.47,-7.35,6.77,39.07,4.64,10.07,18.61,13.36,10.21,10.91,13.36,6.42,4.95,5.94,8.02,34.71,40.40
P/OCF Ratio,,,3.67,5.50,4.71,3.37,10.46,3.25,2.33,3.82,4.42,5.06,7.52,102.75,-4.07,-12.14,5.14,9.52,4.17,8.33,13.95,10.80,8.76,9.30,11.68,5.81,4.68,5.49,6.04,19.36,21.78
EV/Sales Ratio,,-0.01,0.21,0.26,0.39,0.17,0.35,0.24,0.14,0.28,0.31,0.34,0.31,0.22,0.45,0.22,0.08,0.10,0.19,0.29,0.41,0.39,0.50,0.50,0.48,0.46,0.48,0.70,0.49,0.88,1.04
EV/EBITDA Ratio,,-0.19,3.84,5.02,4.10,2.68,13.54,2.89,1.44,2.82,4.12,4.58,6.93,-29.04,-3.57,-9.72,5.84,4.34,3.57,5.02,10.80,24.89,9.22,10.38,10.01,6.51,4.79,5.00,5.21,15.29,14.84
EV/EBIT Ratio,,-0.34,5.60,7.45,4.87,3.70,96.70,3.67,1.64,3.18,5.08,5.62,10.55,-8.20,-2.95,-5.63,142.45,9.33,4.31,5.98,16.42,514.00,12.77,14.39,13.85,7.85,5.24,5.43,6.50,29.88,24.04
EV/FCF Ratio,,-0.30,5.24,8.20,5.73,5.44,25.94,3.59,1.92,4.17,4.95,5.95,12.11,-17.53,-5.67,-13.42,4.17,27.74,3.37,7.83,15.92,12.18,9.46,10.46,12.22,5.71,4.14,6.34,10.42,42.22,49.74
Debt / Equity Ratio,,0.07,0.06,0.09,0.06,0.07,0.11,0.03,0.03,0.04,0.07,0.12,0.14,0.14,0.73,0.64,0.17,0.17,0.13,0.05,0.10,0.16,0.17,0.16,0.16,0.30,0.22,0.49,0.44,0.42,0.42
Debt / EBITDA Ratio,,0.58,0.35,0.51,0.18,0.29,1.34,0.13,0.08,0.11,0.30,0.48,0.99,-6.72,-1.83,-7.40,3.27,2.09,0.69,0.29,1.01,3.22,0.99,1.18,1.20,1.70,0.98,1.38,2.06,4.54,3.83
Debt / FCF Ratio,,0.91,0.48,0.84,0.25,0.59,2.56,0.16,0.11,0.16,0.36,0.63,1.74,-4.06,-2.91,-10.21,2.34,13.36,0.66,0.46,1.48,1.57,1.01,1.19,1.47,1.49,0.85,1.75,4.12,12.55,11.49
Interest Coverage,24.62,9.99,21.07,18.63,54.60,36.87,1.51,37.36,213.22,277.70,107.74,44.43,11.89,-8.38,-39.49,-16.44,0.17,3.22,16.19,31.96,14.37,0.74,25.52,19.39,16.75,25.26,78.64,83.93,12.58,3.32,4.37
Asset Turnover,,,1.79,1.77,2.09,2.06,1.73,2.02,2.38,2.34,1.94,1.88,1.78,1.46,1.07,1.26,1.42,1.44,1.58,1.49,1.38,1.52,1.50,1.41,1.39,1.24,1.32,1.39,1.11,0.83,0.85
Return on Equity (ROE),,,7.90%,7.60%,19.70%,10.10%,0.20%,14.00%,21.30%,21.50%,12.30%,11.90%,5.50%,-5.10%,-50.60%,-11.60%,-2.90%,0.50%,21.90%,10.00%,4.50%,-1.00%,8.70%,7.40%,7.20%,11.00%,17.90%,27.70%,12.10%,2.20%,3.20%
Return on Assets (ROA),,,3.90%,3.80%,10.20%,5.50%,0.10%,7.70%,12.60%,12.90%,7.40%,6.90%,3.10%,-2.80%,-17.10%,-3.80%,-1.10%,0.20%,9.00%,4.90%,2.20%,-0.50%,4.20%,3.60%,3.50%,5.20%,9.00%,13.80%,5.90%,1.10%,1.60%
Return on Capital (ROIC),,4.48%,7.92%,7.81%,18.45%,10.59%,1.37%,13.35%,19.78%,20.52%,12.27%,12.01%,6.48%,-5.22%,-27.37%,-7.92%,1.64%,0.89%,20.28%,10.41%,4.95%,1.61%,9.00%,5.62%,5.64%,4.51%,12.66%,16.09%,8.95%,1.21%,1.30%
Earnings Yield,,,10.26%,7.73%,11.56%,14.59%,0.18%,13.87%,24.92%,17.04%,10.94%,10.05%,5.47%,-8.55%,-58.03%,-24.78%,-5.94%,1.05%,21.70%,8.68%,3.33%,-0.71%,5.15%,4.84%,4.84%,8.13%,11.99%,15.08%,14.00%,1.89%,2.19%
FCF Yield,,,18.25%,11.50%,16.21%,16.72%,3.81%,24.13%,34.91%,21.04%,18.30%,15.91%,7.98%,-5.70%,-28.85%,-13.60%,14.77%,2.56%,21.56%,9.93%,5.37%,7.49%,9.80%,9.17%,7.49%,15.58%,20.20%,16.85%,12.47%,2.88%,2.48%
Dividend Yield,1.20%,1.00%,1.20%,0.90%,0.50%,1.20%,0.00%,0.00%,0.00%,1.10%,1.10%,1.50%,1.70%,2.90%,0.40%,0.40%,0.40%,0.40%,0.40%,0.30%,0.30%,2.10%,2.60%,2.80%,2.90%,2.90%,2.50%,1.70%,3.90%,3.10%,2.84%
Payout Ratio,11.80%,18.90%,11.20%,11.60%,4.20%,8.20%,0.00%,0.00%,0.00%,6.60%,10.10%,15.30%,31.60%,-33.90%,-0.70%,-1.80%,-7.20%,41.70%,1.80%,3.50%,7.60%,-307.70%,64.50%,57.70%,59.40%,36.00%,19.20%,11.30%,27.50%,165.20%,128.45%
Buyback Yield / Dilution,,-2.42%,-6.58%,-1.94%,-2.61%,-3.19%,-2.56%,-9.13%,-9.04%,-0.86%,-1.22%,-0.26%,-0.32%,0.78%,0.39%,-0.50%,-0.72%,-4.47%,-27.46%,-1.46%,0.13%,4.72%,0.31%,-0.53%,-0.37%,-0.29%,-4.88%,-9.05%,-0.66%,-0.63%,-1.70%
Total Shareholder Return,1.20%,-1.42%,-5.38%,-1.04%,-2.11%,-1.99%,-2.56%,-9.13%,-9.04%,0.24%,-0.12%,1.24%,1.38%,3.68%,0.79%,-0.10%,-0.32%,-4.07%,-27.06%,-1.16%,0.43%,6.82%,2.91%,2.27%,2.53%,2.61%,-2.38%,-7.35%,3.24%,2.47%,1.11%
