Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,1680,2995,3493,3018,3852,2356,534,1632,1748,2243,2489,2378,2195,2223,2108,1568,1727,2619,3140,3518,3872,4591,4943,5384,4356,4663,4806,4342,5585
Market Cap Growth,,,,78.32%,16.64%,-13.61%,27.66%,-38.84%,-77.32%,205.43%,7.11%,28.32%,10.98%,-4.46%,-7.69%,1.27%,-5.19%,-25.59%,10.11%,51.66%,19.91%,12.02%,10.07%,18.57%,7.68%,8.91%,-19.10%,7.06%,3.05%,-9.64%,11.65%
Enterprise Value,,-56,1742,3315,3664,3120,4127,2589,644,1353,1770,2050,2625,2679,2329,2340,2423,1659,2011,3037,3670,3982,4376,5080,4700,5821,5016,5214,5283,4809,6020
PE Ratio,,,9.23,14.32,17.36,10.20,19.27,-760.04,-1.75,18.78,13.95,-6.90,14.62,9.40,106.55,11.27,13.94,42.73,30.89,10.43,11.14,10.61,24.96,24.66,12.64,12.66,12.14,11.03,41.43,123.01,20.70
PS Ratio,,,0.51,1.00,1.15,0.93,1.21,0.71,0.16,0.58,0.64,0.86,0.99,0.89,0.82,0.78,0.67,0.40,0.38,0.55,0.62,0.70,0.96,1.08,1.10,1.10,0.90,0.89,0.88,0.72,0.90
PB Ratio,,,0.97,1.26,1.42,1.35,1.60,0.99,0.26,0.74,0.75,1.15,1.25,1.03,1.16,0.94,0.86,0.63,0.67,1.01,1.10,1.24,1.36,1.53,1.67,1.85,1.36,1.48,2.06,1.76,2.19
P/FCF Ratio,,,11.73,-15.89,223.93,-425.03,12.66,3.76,17.40,-9.08,12.99,15.49,75.43,37.27,10.98,27.38,28.99,7.64,4.46,7.25,5.67,8.27,5.32,6.69,9.18,9.13,6.29,5.72,6.82,12.41,11.11
P/OCF Ratio,,,10.77,-17.29,92.17,131.21,12.11,3.58,12.20,-9.36,12.27,14.65,59.55,32.44,10.48,24.27,25.21,7.07,4.23,6.82,5.56,7.91,5.21,6.52,8.97,8.93,6.16,5.66,6.65,12.01,10.89
EV/Sales Ratio,,-0.02,0.53,1.10,1.21,0.96,1.30,0.78,0.19,0.48,0.65,0.78,1.05,1.00,0.87,0.83,0.77,0.42,0.44,0.63,0.72,0.79,1.08,1.19,1.05,1.19,1.04,1.00,0.97,0.80,0.98
EV/EBITDA Ratio,,-0.20,5.77,10.18,13.12,7.14,18.31,-46.56,-1.24,10.69,10.88,-6.86,9.41,6.96,20.14,7.14,9.03,15.29,14.79,6.99,7.69,7.50,18.53,15.02,9.32,10.08,10.10,9.07,27.78,57.74,15.68
EV/EBIT Ratio,,-0.26,6.77,11.28,14.24,7.75,20.37,-32.94,-1.19,14.90,14.22,-6.20,10.19,7.31,23.17,7.41,9.63,20.28,20.03,7.60,8.28,7.95,21.29,16.48,9.80,10.48,10.48,9.34,29.80,62.46,15.84
EV/FCF Ratio,,-0.48,12.16,-17.59,234.86,-439.44,13.56,4.13,20.98,-7.53,13.15,14.16,79.55,41.99,11.64,28.82,33.33,8.08,5.20,8.41,6.63,9.37,6.01,7.40,8.73,9.87,7.24,6.39,7.50,13.75,12.00
Debt / Equity Ratio,,0.15,0.14,0.22,0.29,0.24,0.23,0.24,0.24,0.22,0.22,0.26,0.25,0.22,0.28,0.18,0.25,0.37,0.33,0.35,0.32,0.28,0.28,0.26,0.26,0.22,0.24,0.25,0.34,0.32,0.31
Debt / EBITDA Ratio,,0.85,0.80,1.64,2.58,1.25,2.47,-10.48,-0.96,3.95,3.13,-1.70,1.82,1.33,4.60,1.32,2.26,8.40,6.25,2.08,1.89,1.51,3.33,2.33,1.54,1.13,1.57,1.36,4.11,9.40,2.04
Debt / FCF Ratio,,1.99,1.68,-2.84,46.21,-76.69,1.83,0.93,16.27,-2.78,3.78,3.51,15.42,8.02,2.66,5.34,8.33,4.44,2.20,2.50,1.63,1.89,1.08,1.15,1.45,1.11,1.13,0.96,1.11,2.24,1.55
Interest Coverage,,,,,,,,,,,,,,,,8.90,5.68,1.49,1.62,6.12,6.74,8.26,4.00,6.82,10.63,14.82,12.90,16.41,5.20,2.26,11.18
Asset Turnover,,,0.18,0.14,0.12,0.11,0.10,0.11,0.12,0.11,0.11,0.14,0.25,0.27,0.28,0.36,0.38,0.37,0.35,0.36,0.37,0.36,0.29,0.28,0.31,0.40,0.37,0.38,0.40,0.42,0.42
Return on Equity (ROE),,,11.00%,10.30%,8.10%,13.00%,8.60%,-0.10%,-13.70%,4.00%,5.50%,-15.10%,9.10%,11.60%,1.00%,8.80%,6.30%,1.50%,2.10%,9.80%,10.20%,11.50%,5.20%,6.30%,13.30%,14.30%,11.80%,13.60%,4.60%,1.50%,11.30%
Return on Assets (ROA),,,1.00%,1.00%,0.80%,1.00%,0.60%,0.00%,-1.10%,0.30%,0.50%,-1.70%,1.70%,2.60%,0.20%,2.50%,1.80%,0.30%,0.40%,1.90%,2.00%,2.40%,1.10%,1.20%,2.70%,3.50%,2.80%,3.00%,0.80%,0.20%,1.90%
Return on Capital (ROIC),,10.32%,11.94%,9.61%,7.38%,12.34%,7.27%,1.48%,-24.61%,2.12%,5.11%,2.90%,7.15%,8.39%,1.39%,6.85%,5.95%,3.09%,3.82%,8.46%,8.84%,10.82%,5.68%,6.32%,8.58%,12.86%,9.96%,11.41%,4.63%,1.90%,8.95%
Earnings Yield,,,10.83%,6.99%,5.76%,9.80%,5.19%,-0.13%,-57.29%,5.33%,7.17%,-14.50%,6.84%,10.64%,0.94%,8.87%,7.17%,2.34%,3.24%,9.58%,8.98%,9.42%,4.01%,4.06%,7.91%,7.90%,8.24%,9.07%,2.41%,0.81%,4.89%
FCF Yield,,,8.53%,-6.29%,0.45%,-0.24%,7.90%,26.58%,5.75%,-11.01%,7.70%,6.46%,1.33%,2.68%,9.11%,3.65%,3.45%,13.08%,22.41%,13.78%,17.63%,12.09%,18.79%,14.94%,10.89%,10.95%,15.90%,17.49%,14.66%,8.06%,9.00%
Dividend Yield,,0.00%,0.60%,0.40%,0.30%,0.40%,0.30%,0.60%,9.90%,0.00%,0.00%,0.60%,0.60%,0.90%,1.00%,1.70%,2.10%,3.20%,3.20%,2.30%,2.10%,2.10%,2.10%,1.90%,1.90%,7.10%,2.30%,2.20%,2.30%,2.70%,2.19%
Payout Ratio,,,5.50%,5.20%,6.00%,4.60%,6.70%,-416.70%,-17.30%,0.00%,0.00%,-4.10%,9.10%,8.20%,112.50%,19.20%,30.10%,140.10%,98.40%,23.90%,23.70%,22.40%,51.80%,46.60%,24.10%,91.30%,27.80%,24.20%,93.90%,331.30%,45.35%
Buyback Yield / Dilution,,1.40%,-1.42%,-9.38%,-10.04%,7.96%,2.70%,1.67%,0.38%,-0.57%,-0.94%,-0.56%,3.74%,-0.39%,0.77%,1.36%,9.39%,1.08%,1.09%,0.88%,0.23%,0.22%,3.57%,0.46%,0.24%,5.66%,5.75%,4.77%,0.84%,-0.28%,-2.10%
Total Shareholder Return,,1.40%,-0.82%,-8.98%,-9.74%,8.36%,3.00%,2.27%,10.28%,-0.57%,-0.94%,0.04%,4.34%,0.51%,1.77%,3.06%,11.49%,4.28%,4.29%,3.18%,2.33%,2.32%,5.67%,2.36%,2.14%,12.76%,8.05%,6.97%,3.14%,2.42%,0.09%
