Year Ending,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,,193,276,454,879,851,1309,4259,5330,1943,1268,2312
Market Cap Growth,,,,,43.32%,64.49%,93.66%,-3.23%,53.86%,225.34%,25.14%,-63.54%,-34.77%,52.27%
Enterprise Value,,-5,-8,132,233,405,825,781,1235,4023,5103,1771,1096,2344
PE Ratio,,,,-9.09,-16.04,-65.84,-585.01,-917.88,-723.68,-729.30,-150.01,-43.50,-28.36,
PS Ratio,,,,1.66,1.88,2.41,3.62,2.80,3.41,8.48,7.63,2.15,1.14,1.93
PB Ratio,,,,3.25,6.09,10.15,18.15,6.59,9.57,12.53,16.04,6.37,4.17,7.65
P/FCF Ratio,,,,-11.72,-18.02,148.13,134.55,-19.23,121.40,302.21,-1088.38,-77.46,3540.62,97.92
P/OCF Ratio,,,,-17.83,-26.48,90.70,90.96,67.10,81.03,197.69,714.64,-242.90,68.01,61.24
EV/Sales Ratio,,-0.09,-0.09,1.14,1.58,2.15,3.40,2.57,3.22,8.01,7.30,1.96,0.99,1.95
EV/EBITDA Ratio,,0.95,1.17,-10.33,-16.36,-144.95,291.00,163.57,231.21,1476.35,-219.53,-61.06,-53.52,114.73
EV/EBIT Ratio,,0.89,1.04,-9.13,-13.88,-60.99,-589.91,2959.18,-4243.70,-925.69,-144.93,-44.36,-33.26,-216.80
EV/FCF Ratio,,1.43,3.18,-8.03,-15.19,132.13,126.20,-17.65,114.51,285.46,-1042.05,-70.60,3062.41,98.11
Debt / Equity Ratio,,-0.37,-0.79,0.25,,0.11,0.19,0.10,0.19,,,0.23,0.42,0.42
Debt / EBITDA Ratio,,-1.82,-3.86,-1.17,,-1.71,3.29,2.69,4.88,,,-2.39,-6.29,13.90
Debt / FCF Ratio,,-2.75,-10.46,-0.91,,1.56,1.43,-0.29,2.42,,,-2.77,360.14,5.40
Interest Coverage,-4.55,-10.82,-12.57,-2.15,-51.59,-30.46,-2.62,0.22,-0.22,-3.15,-3521.00,-9.36,-2.73,-0.35
Quick Ratio,,1.65,1.61,3.70,2.18,2.10,1.84,1.80,1.69,2.23,1.75,1.64,1.65,1.65
Current Ratio,,1.74,1.53,3.76,2.27,2.15,1.89,1.87,1.73,2.24,1.75,1.62,1.63,1.63
Asset Turnover,,,2.11,1.56,1.99,2.46,2.48,1.69,1.61,1.46,1.30,1.40,1.48,1.53
Return on Equity (ROE),,,27.20%,-189.50%,-34.50%,-15.40%,-3.20%,-0.90%,-1.40%,-3.10%,-10.70%,-14.20%,-15.20%,-6.30%
Return on Assets (ROA),,,-20.60%,-28.60%,-23.30%,-9.00%,-1.50%,-0.50%,-0.80%,-1.70%,-6.60%,-6.90%,-6.00%,-2.40%
Return on Capital (ROIC),,32.25%,101.26%,-21.50%,-36.99%,-13.54%,-4.57%,-0.74%,-0.96%,-1.41%,-10.54%,-11.41%,-9.35%,-3.33%
Earnings Yield,,,,-11.00%,-6.23%,-1.52%,-0.17%,-0.11%,-0.14%,-0.14%,-0.67%,-2.30%,-3.53%,-0.81%
FCF Yield,,,,-8.53%,-5.55%,0.68%,0.74%,-5.20%,0.82%,0.33%,-0.09%,-1.29%,0.03%,1.02%
Buyback Yield / Dilution,,-13.65%,-57.19%,-885.85%,-113.68%,-3.22%,-3.72%,-8.02%,-8.40%,-3.50%,-11.93%,-1.56%,-1.65%,-1.84%
Total Shareholder Return,,-13.65%,-57.19%,-885.85%,-113.68%,-3.22%,-3.72%,-8.02%,-8.40%,-3.50%,-11.93%,-1.56%,-1.65%,-1.84%
