Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,4896,6864,8206,7656,11823,9120,7712,9046,24817,30932,37047,34698,26420,27242,25573,24424,27396,32963,35078,34334,34774,37124,31720,35349,35557,38483,43938,43508,60262
Market Cap Growth,,,,40.19%,19.56%,-6.70%,54.42%,-22.86%,-15.44%,17.31%,174.33%,24.64%,19.77%,-6.34%,-23.86%,3.11%,-6.13%,-4.50%,12.17%,20.32%,6.42%,-2.12%,1.28%,6.76%,-14.56%,11.44%,0.59%,8.23%,14.17%,-0.98%,42.73%
Enterprise Value,,672,5548,8054,9320,8964,13418,11099,10110,12080,30868,36445,42348,40669,32251,33514,31984,30815,33416,39015,41053,40298,40904,43351,37911,41413,41386,45012,50431,50889,67380
PE Ratio,,,6.68,7.39,92.20,9.18,11.91,-8.38,-285.62,5.33,25.99,19.07,8.80,7.54,9.04,7.52,7.95,17.13,11.08,8.97,9.50,9.98,11.54,18.06,12.57,13.48,13.18,10.51,15.46,14.55,13.62
PS Ratio,,,0.53,0.83,1.07,1.07,1.49,1.01,0.54,0.60,1.10,1.27,1.48,1.33,1.08,1.10,1.02,0.96,1.06,1.26,1.29,1.28,1.26,1.28,1.05,1.12,1.11,1.11,1.19,1.05,1.33
PB Ratio,,,1.22,1.04,1.24,1.18,1.64,1.78,1.34,0.76,1.17,1.39,1.47,1.30,1.04,0.99,1.00,1.00,1.08,1.33,1.41,1.46,1.50,1.56,1.39,1.36,1.22,1.33,2.04,1.75,2.17
P/FCF Ratio,,,4.03,9.71,-341.91,-57.57,-18.44,9.85,2.64,2.36,4.74,8.56,7.76,6.56,8.42,6.44,8.37,11.26,8.48,8.64,9.50,10.00,7.78,8.95,7.24,6.79,5.45,5.29,6.80,5.64,6.60
P/OCF Ratio,,,3.77,8.10,118.93,-153.12,-21.00,9.24,2.64,2.36,4.74,8.56,7.76,6.56,8.42,6.44,8.37,11.26,8.48,8.64,9.50,10.00,7.78,8.95,7.24,6.79,5.45,5.29,6.80,5.64,6.60
EV/Sales Ratio,,0.13,0.60,0.97,1.21,1.25,1.69,1.23,0.71,0.80,1.37,1.50,1.69,1.56,1.32,1.36,1.27,1.21,1.30,1.49,1.51,1.50,1.48,1.50,1.25,1.31,1.29,1.29,1.37,1.23,1.49
EV/EBITDA Ratio,,0.94,6.28,6.20,931.99,7.66,9.42,-7.35,-29.13,5.03,24.50,14.47,7.00,6.20,7.89,6.58,6.81,17.73,9.43,7.35,7.52,7.88,9.26,13.99,11.44,11.89,11.57,9.38,13.61,13.58,10.03
EV/EBIT Ratio,,1.03,6.28,6.20,931.99,8.51,9.42,-7.35,-29.13,5.03,24.50,14.47,7.00,6.20,7.89,6.58,6.81,17.73,9.43,7.35,7.52,7.88,9.26,13.99,11.44,11.89,11.57,9.38,13.61,13.58,11.24
EV/FCF Ratio,,0.78,4.56,11.39,-388.33,-67.40,-20.93,11.99,3.46,3.15,5.89,10.09,8.87,7.69,10.28,7.92,10.47,14.21,10.35,10.22,11.12,11.74,9.15,10.45,8.66,7.96,6.35,6.19,7.80,6.60,7.39
Debt / Equity Ratio,,0.19,0.17,0.20,0.19,0.23,0.23,0.42,0.47,0.28,0.30,0.26,0.23,0.23,0.24,0.24,0.26,0.27,0.25,0.26,0.26,0.27,0.28,0.28,0.29,0.25,0.22,0.25,0.34,0.32,0.29
Debt / EBITDA Ratio,,0.98,0.78,1.00,126.00,1.25,1.16,-1.41,-7.82,1.41,5.01,2.32,0.95,0.95,1.51,1.28,1.41,3.80,1.79,1.20,1.16,1.24,1.46,2.12,1.98,1.88,1.83,1.52,1.97,2.14,1.34
Debt / FCF Ratio,,0.81,0.57,1.84,-52.50,-11.02,-2.57,2.30,0.93,0.88,1.20,1.62,1.21,1.18,1.97,1.54,2.16,3.05,1.97,1.66,1.72,1.85,1.44,1.58,1.50,1.26,1.00,1.00,1.13,1.04,0.88
Interest Coverage,,,,,,,,,-2.21,14.37,5.34,8.80,18.67,18.97,11.04,13.33,12.10,4.50,9.38,14.70,14.79,13.71,12.17,8.40,9.41,10.12,10.55,14.11,10.56,9.97,15.30
Asset Turnover,,,0.47,0.33,0.23,0.18,0.20,0.25,0.36,0.33,0.23,0.22,0.22,0.23,0.22,0.22,0.23,0.24,0.25,0.25,0.26,0.26,0.27,0.28,0.29,0.29,0.28,0.29,0.32,0.34,0.35
Return on Equity (ROE),,,18.90%,19.40%,1.40%,13.00%,14.40%,-17.30%,-0.50%,22.30%,5.10%,7.40%,17.60%,17.80%,11.40%,13.30%,12.20%,5.70%,9.80%,14.70%,14.60%,14.20%,12.50%,8.70%,11.10%,10.40%,9.90%,12.80%,12.60%,13.30%,17.70%
Return on Assets (ROA),,,3.70%,3.70%,0.30%,2.10%,2.50%,-3.00%,-0.10%,3.70%,1.00%,1.40%,3.70%,4.00%,2.60%,3.30%,3.00%,1.30%,2.40%,3.60%,3.50%,3.40%,3.00%,2.00%,2.40%,2.40%,2.40%,3.10%,2.40%,2.50%,3.50%
