Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,5118,7546,8079,7695,6474,6417,4236,4669,5319,6780,7118,8584,6159,6476,7681,6160,5728,9162,8789,8104,10197,12317,6427,6015,4672,5023,8163,8820,11819
Market Cap Growth,,,,47.45%,7.06%,-4.75%,-15.87%,-0.89%,-33.99%,10.22%,13.93%,27.47%,4.99%,20.60%,-28.25%,5.15%,18.61%,-19.80%,-7.02%,59.94%,-4.06%,-7.79%,25.82%,20.79%,-47.82%,-6.41%,-22.32%,7.52%,62.49%,8.05%,2.97%
Enterprise Value,,541,5568,8125,9516,9644,8385,8459,6263,7339,8277,9974,9656,11075,8559,8954,10484,8926,8862,11679,11468,10793,13096,15178,9304,9257,7821,8391,11473,12104,15440
PE Ratio,,,21.50,12.22,13.09,-42.07,12.01,11.86,10.56,-12.08,-21.02,13.20,17.32,12.64,11.13,7.60,8.74,21.68,6.40,10.82,21.86,9.35,10.95,12.39,12.28,5.47,5.89,5.12,5.80,6.87,9.37
PS Ratio,,,1.26,0.98,0.95,0.83,0.69,0.71,0.46,0.47,0.52,0.66,0.68,0.82,0.62,0.64,0.75,0.60,0.55,0.88,0.84,0.76,0.92,1.09,0.55,0.50,0.36,0.42,0.68,0.71,0.98
PB Ratio,,,2.26,3.10,1.31,1.55,1.16,1.08,0.62,0.64,0.74,0.92,0.92,1.07,0.96,0.76,0.86,0.75,0.67,1.06,1.03,0.94,1.14,1.29,0.75,0.60,0.43,0.44,0.93,0.91,1.15
P/FCF Ratio,,,21.47,5.66,4.70,4.91,5.34,3.62,2.37,3.47,7.12,4.51,4.97,4.90,4.64,5.24,6.42,5.62,4.50,9.89,7.92,6.80,9.84,11.63,4.62,4.13,13.34,3.93,6.20,8.26,9.61
P/OCF Ratio,,,17.48,5.66,4.70,4.91,5.34,3.62,2.37,3.47,7.12,4.51,4.97,4.90,4.64,5.24,6.42,5.16,4.15,8.88,7.18,6.27,9.09,10.58,4.18,3.74,9.96,3.62,5.75,7.33,8.67
EV/Sales Ratio,,0.13,1.37,1.06,1.12,1.03,0.89,0.94,0.68,0.73,0.80,0.97,0.92,1.05,0.86,0.89,1.03,0.87,0.84,1.13,1.09,1.01,1.19,1.34,0.80,0.77,0.59,0.70,0.96,0.98,1.22
EV/EBITDA Ratio,,1.29,14.56,5.80,6.21,15.41,5.23,5.74,4.93,36.49,-208.50,10.13,12.66,8.44,8.16,6.00,6.82,16.01,5.99,8.03,14.38,7.24,8.11,9.10,10.38,5.54,6.18,5.36,5.60,6.23,7.74
EV/EBIT Ratio,,1.29,14.56,8.11,9.15,-348.17,8.31,9.13,8.24,-19.85,-68.86,10.94,13.99,8.89,8.73,6.32,7.17,18.73,6.35,8.53,16.16,7.76,8.65,9.70,11.70,5.94,6.79,5.80,5.92,6.60,8.22
EV/FCF Ratio,,0.74,23.35,6.10,5.54,6.16,6.92,4.78,3.51,5.46,11.08,6.63,6.74,6.33,6.45,7.24,8.76,8.15,6.95,12.61,10.34,9.06,12.63,14.33,6.68,6.36,22.33,6.57,8.71,11.33,12.44
Debt / Equity Ratio,,0.25,0.23,0.26,0.25,0.45,0.36,0.36,0.32,0.38,0.43,0.44,0.34,0.33,0.38,0.30,0.32,0.35,0.37,0.30,0.33,0.32,0.33,0.31,0.34,0.33,0.31,0.30,0.39,0.36,0.33
Debt / EBITDA Ratio,,1.39,1.38,0.45,1.01,3.58,1.26,1.47,1.71,13.87,-77.81,3.31,3.49,2.05,2.33,1.71,1.86,5.17,2.17,1.80,3.49,1.88,1.86,1.76,3.31,1.99,2.64,2.20,1.67,1.76,1.74
