Year Ending,1994-12-31,1995-12-31,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-31,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,Current
Market Capitalization,,,997,1297,902,535,1203,1770,1989,2917,3969,6068,6613,5458,4999,3961,3971,4715,5126,5860,6505,6750,8072,8727,9026,12692,11837,14553,19266,18237,23313
Market Cap Growth,,,,30.07%,-30.42%,-40.71%,124.99%,47.06%,12.40%,46.66%,36.05%,52.89%,8.97%,-17.46%,-8.42%,-20.76%,0.26%,18.73%,8.71%,14.33%,11.01%,3.76%,19.59%,8.10%,3.43%,40.61%,-6.73%,22.94%,32.38%,-5.34%,29.35%
Enterprise Value,,112,1248,1614,1174,847,1473,1861,1992,2458,4124,7012,7140,5945,5158,5185,5125,5609,6456,7215,8393,8208,9817,10338,11036,14331,12200,16253,20653,19720,24731
PE Ratio,,,13.06,14.21,19.53,-14.43,33.21,-19.33,11.36,8.65,9.06,11.14,9.45,7.12,17.78,12.82,8.90,12.05,10.04,11.72,10.03,13.40,13.41,15.89,14.09,18.61,22.31,14.23,13.95,13.20,16.13
PS Ratio,,,0.81,0.93,0.57,0.32,0.68,0.91,0.78,0.80,0.88,1.21,1.23,0.98,1.06,0.89,0.84,0.91,0.88,0.91,0.91,0.94,1.06,1.14,1.17,1.61,1.46,1.54,1.73,1.50,1.92
PB Ratio,,,1.13,1.37,1.05,0.90,1.77,1.90,1.49,1.73,1.88,2.36,1.98,1.52,1.64,1.10,1.07,1.19,1.19,1.35,1.42,1.47,1.60,1.61,1.66,2.09,1.88,2.19,2.86,2.45,2.99
P/FCF Ratio,,,8.52,10.60,4.69,13.06,-57.84,13.49,2.15,2.13,2.52,3.57,4.34,3.85,3.39,13.87,9.89,7.54,8.07,7.74,9.39,8.25,10.12,14.66,15.83,11.72,7.50,6.87,7.66,6.34,7.05
P/OCF Ratio,,,6.08,9.25,4.11,10.90,-90.65,11.55,2.07,2.08,2.46,3.50,4.22,3.76,3.22,12.53,8.80,7.03,7.59,7.15,8.85,7.66,9.52,12.28,14.55,11.10,7.32,6.66,7.50,6.23,6.83
EV/Sales Ratio,,0.11,1.02,1.15,0.74,0.51,0.83,0.96,0.78,0.68,0.91,1.40,1.32,1.06,1.10,1.17,1.08,1.09,1.11,1.13,1.18,1.14,1.28,1.35,1.43,1.81,1.51,1.72,1.85,1.62,1.93
EV/EBITDA Ratio,,0.93,8.01,8.84,8.98,-106.85,13.64,-21.90,6.18,4.37,5.46,7.65,6.24,4.75,10.43,9.44,6.50,7.86,6.93,7.84,7.18,8.66,8.75,10.05,10.11,12.82,12.35,10.48,10.86,10.61,11.07
EV/EBIT Ratio,,1.05,8.47,9.45,10.87,-26.87,17.07,-18.16,6.54,4.53,5.89,8.22,6.62,5.05,12.56,11.03,7.26,8.97,7.80,8.83,7.77,9.52,9.48,11.29,11.48,14.27,14.30,11.43,11.19,10.49,11.79
EV/FCF Ratio,,0.78,10.68,13.20,6.10,20.70,-70.78,14.19,2.15,1.79,2.62,4.12,4.69,4.19,3.50,18.15,12.76,8.98,10.17,9.54,12.11,10.04,12.31,17.37,19.35,13.23,7.73,7.68,8.21,6.86,7.50
Debt / Equity Ratio,,0.34,0.68,0.63,0.76,1.06,0.85,0.67,0.45,0.58,0.52,0.63,0.38,0.40,0.42,0.48,0.49,0.46,0.52,0.51,0.56,0.48,0.50,0.47,0.52,0.44,0.43,0.49,0.42,0.38,0.38
Debt / EBITDA Ratio,,2.64,3.84,3.28,5.03,-79.18,5.36,-7.36,1.85,1.73,1.44,1.76,1.12,1.15,2.62,3.17,2.28,2.53,2.40,2.39,2.19,2.34,2.26,2.49,2.59,2.38,2.77,2.11,1.49,1.53,1.51
Debt / FCF Ratio,,2.20,5.11,4.89,3.42,15.34,-27.80,4.77,0.65,0.71,0.69,0.95,0.84,1.01,0.88,6.09,4.47,2.89,3.52,2.90,3.70,2.72,3.18,4.30,4.96,2.46,1.73,1.54,1.13,0.99,0.88
Interest Coverage,2.22,3.78,4.61,3.49,2.21,-0.62,1.81,-2.24,6.70,9.91,10.55,9.93,11.66,13.24,4.85,5.34,6.60,5.56,6.56,6.63,8.42,6.59,7.35,6.22,6.11,6.55,5.67,9.66,14.16,14.74,16.58
Asset Turnover,,,0.32,0.32,0.32,0.35,0.37,0.36,0.40,0.42,0.42,0.38,0.36,0.34,0.29,0.26,0.27,0.28,0.30,0.32,0.33,0.33,0.33,0.32,0.31,0.30,0.29,0.31,0.34,0.34,0.34
Return on Equity (ROE),,,8.40%,10.10%,5.00%,-5.60%,5.80%,-10.80%,15.90%,21.80%,22.70%,22.90%,23.40%,21.60%,8.70%,9.10%,12.00%,10.10%,12.00%,11.50%,14.20%,11.00%,12.30%,10.30%,11.80%,11.40%,9.00%,15.60%,20.90%,19.60%,20.70%
Return on Assets (ROA),,,2.00%,2.10%,0.90%,-0.80%,0.70%,-1.70%,2.70%,3.90%,4.10%,4.10%,4.60%,4.60%,1.70%,1.80%,2.60%,2.10%,2.60%,2.50%,3.00%,2.30%,2.60%,2.30%,2.60%,2.60%,1.90%,3.30%,4.20%,3.90%,4.10%
Return on Capital (ROIC),,6.89%,7.78%,8.62%,6.67%,-2.33%,6.58%,-6.79%,10.66%,14.17%,15.23%,14.53%,16.62%,16.52%,8.16%,7.13%,9.57%,8.28%,9.21%,9.07%,10.30%,8.71%,9.20%,8.24%,9.35%,9.23%,7.14%,11.57%,15.54%,14.40%,15.39%
Earnings Yield,,,7.66%,7.04%,5.12%,-6.93%,3.01%,-5.17%,8.80%,11.56%,11.04%,8.98%,10.58%,14.04%,5.62%,7.80%,11.24%,8.30%,9.96%,8.53%,9.97%,7.46%,7.46%,6.29%,7.10%,5.37%,4.48%,7.03%,7.17%,7.57%,6.65%
FCF Yield,,,11.73%,9.43%,21.34%,7.65%,-1.73%,7.41%,46.50%,47.02%,39.62%,28.04%,23.04%,25.99%,29.49%,7.21%,10.12%,13.25%,12.39%,12.91%,10.65%,12.11%,9.88%,6.82%,6.32%,8.54%,13.33%,14.55%,13.06%,15.77%,14.19%
Dividend Yield,1.20%,0.90%,1.00%,0.90%,1.40%,2.50%,1.10%,1.00%,0.90%,0.80%,0.60%,0.40%,0.50%,0.70%,0.70%,1.00%,1.00%,0.90%,3.60%,0.90%,2.80%,0.90%,2.30%,2.20%,2.80%,2.40%,0.70%,2.40%,1.20%,2.70%,0.12%
Payout Ratio,30.40%,17.00%,13.30%,13.30%,29.20%,-35.70%,36.10%,-16.40%,10.30%,6.70%,5.40%,4.60%,4.30%,4.90%,13.70%,12.40%,9.00%,11.10%,36.30%,10.60%,28.20%,11.60%,30.70%,35.30%,41.30%,47.00%,16.60%,36.30%,17.80%,37.90%,1.93%
Buyback Yield / Dilution,,,,-0.29%,10.36%,3.29%,0.45%,-29.23%,-1.59%,-10.81%,-0.80%,-0.97%,-0.25%,4.45%,11.94%,0.31%,9.77%,5.47%,0.94%,0.56%,6.03%,2.86%,1.55%,-0.35%,-0.27%,-0.27%,2.97%,0.89%,-0.19%,2.86%,2.46%
Total Shareholder Return,1.20%,0.90%,1.00%,0.61%,11.76%,5.79%,1.55%,-28.23%,-0.69%,-10.01%,-0.20%,-0.57%,0.25%,5.15%,12.64%,1.31%,10.77%,6.37%,4.54%,1.46%,8.83%,3.76%,3.85%,1.85%,2.53%,2.13%,3.67%,3.29%,1.01%,5.56%,2.58%
